,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0940243514732905,0,0,0,0,0.0597623432295025,0,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.188707409029008,0.173864391006464,0,0,0,0.0126835279106139,0,0,0,0.0290293097865543
X2628.HK.Equity,0,0,0,0,0,0.151354320874931,0,0,0,0.52527694957645,0,0,0,0
X3328.HK.Equity,0,0,0,0,2.051471981723e-07,0,0.999997897935923,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,3.23178151551358e-07,0.999997860799542,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0856698592890378,-0.0075391393717847,0,0,0,0.0335417803614388,0,0,0,0.0690765612761022,0.0144196449946979,0,0,0.00703804082287854
X2388.HK.Equity,0,-0.00163464386530386,0,0.129680048858575,0.05683149665255,0,0,0,0,0.0585857786185906,0.0451321693447547,0,0,0
X2318.HK.Equity,0,0,0,0,0.499263565105465,0,0,0,0,0,0.0814116936283118,0.0880652618199489,0,0
X2882.TT.Equity,0.190452791474058,0.0124187323074287,0,0,0.034078899225007,0,0,0,0,0.46265609823664,0,0,0,0
X600036.CH.Equity,0,-0.228979662545415,0,-0.249004369819834,-0.418477554108262,0.386398407173058,0,0,0.076027393536785,0.520175518435162,-0.103135796442329,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.018724275475674,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0611522865419166,0,0.177267518086269,0,0,0,0,0,0.338403527648115,0,0,0,0
