,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0641976717005911,0,0,0,0,0,0,0,0,0.107876854846288,0,0,0.182416033986971,0.015856226989405,0,0,0,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.710315937712012,0,0,0,0,0,0,0,0,0,0,0.0424402776337711,0.0691476016302542,0,0,0,-0.0272471123098284,0,0,0,0.0341314563091861,0.021108289135382,0.0140022641809091,0,0.0095501132529633,0
X2318.HK.EQUITY,0,0,0,0.480678190603759,0,0,0,0,0,0,0,0,0.0657625906138647,0,0,0,0,0,0,0,0,0.104343955417715,0,0,0,0.0124636455951942,0,-0.00961244504626133,-0.0254863977355736,-0.0593498337404199,0
X601318.CH.EQUITY,0,0,0.295945805722738,0,0,0,0,0,0.0212983484777093,0,0,0,0,0.283523942807177,0,0,0,0,0,0,0,0.154948660747274,0.086330503423279,0,0.0507953156805643,0,0,-0.023486423489613,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0.0114693304404325,0.420948096899958,0,0,0,0,0,0,0.102043229611053,0,0,0.215439332287261,0.0411202703628138,0,0,0,0.0183344898092471,0,0,0,0,-0.0132427338532537,0,0.00406707756020288,0,0
X939.HK.EQUITY,0,0.659564015530025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351438165051925,0,0,0,0,0,0.0713070755260006,0.059205902408033,0,0,-2.16840434497101e-19,0.00338116711523266,0,0.01150327637712
X601288.CH.EQUITY,0,0,0,0,0.303695715597084,0,0,0,0,0,0,0,0,0.0260745175916836,0,0,0.1118230094064,0.00107464735255204,0,0,0,0.0512731139654112,0,0,0,0,0,-0.00631456586550404,-0.00332375816923463,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00935666667929015,0,0.128627660671557,0.152322276911877,0,0.136563871178063,0,0,0,0,0,0,0,0,0,0,0,0,0.00685850732107068,0,0.0272415190985387,-0.0159360479534419
X3988.HK.EQUITY,0,0,0.247424971907713,0,0,0.225491129620942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357114249926909,0,0,0,0,-0.0106985210711069,4.33680868994202e-19,0.0744699354464381,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0737908160340718,0,0.153581543655591,0.0843833219842343,0,0.0821956817999866,0.0694776338976988,0,0,0,0.0614416126488624,0,0,0,0,0,0.00809197592860267,0.00895491848161909,0.0358753000621,0.0259976370099802
X600036.CH.EQUITY,0,0.238094269224402,0,0.160487266278382,0,0,0,0,0,0,0,0,0,0,0,0,0.305854789321978,0.0510803041784898,-0.0374118481619635,0,0,-3.46944695195361e-18,0.0376349762774973,0.178411538529164,-0.189019241131276,0,0,0.0197396754459623,-0.0725328319720421,0.11624626120014,0.0726748644080483
X1299.HK.EQUITY,0,0,0,0.0360660169746248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240965947271482,0,0,0,0,0.332253999875811,0,0,0,0.0310646868588429,0.0372752318849278,-0.0464548098672834,0.0915603468519214
X2628.HK.EQUITY,0,0,0,0.253259742607753,0,0,0,0,0,0,0,0,0,0.288253506166116,0,0,0,-0.0388778832349761,0,0,0,0,0,0.01410675284321,0,0,0,-0.0452564786287913,0,2.71050543121376e-20,-0.0394262241021649
X601628.CH.EQUITY,0,0,0,0.400308605152883,0,0,0,0,0,0,0,0,0.111059103752563,0,0,0,0.303999311911966,0.176958971019956,0,0,0,0,0.332857703039011,0,0,0,0,-0.00107229443238835,-0.00966741932693457,0.09336136788571,0
X3328.HK.EQUITY,0,0,0,0,0,0.147241658500202,0,0,0,0,0,0.101936454909522,0.195821457161773,0.0288599489855514,0,0,0,0,0,0,0,0,0,0.0114344217546566,0.0778853468606616,0,0,0,0,0.0126956262502484,0.0112547650147222
X601328.CH.EQUITY,0,0,0,0,0.221306575177962,0,0,0,0,0.0562461102652446,0,0,0,0.0836699344319485,0,0,0.211093918827416,0.0218991713753966,0,0.0870110388694303,0,0.0146774233865996,0,0,0,0.0136522389614027,0,0.00859076699983484,-0.0104210532261063,-0.0113666771019054,0.0433017806376516
X601166.CH.EQUITY,0,0,0,0,0.483727150977029,0,0,0,0,0,0.209651976314622,0,0,0.0166902570106903,0,0,0,0,0,0.281108754116339,0,0.07258297349558,0,0,0,0,-0.00269111954601854,0.000632330317083449,0.0123790305426756,0,0
X601319.CH.EQUITY,0,0,0.476030676525438,0,0,0,0,-0.0519537281560874,0,0,0,-0.0908534486995546,0,0.188365631829601,0,0,0,0,0,0,0,0.293008482075613,0,-0.156340722287474,0,0.290422932464313,0,0.0555472954571304,-0.250803113593679,0,-0.19495427672419
X11.HK.EQUITY,0,0,0.226318794348358,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.124472562596725,0,0,0.0611936439031453,0,0,0,0.106111462140038,0,0.0690088305283832,0,0,0,-0.00141738209751875,0.0176458239292556,-0.0156730036140583,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.181791395513196,0,0,0,0,0.477936384529934,0,0,0,0,0,0,0,0,0,0,-0.00416589458995129,0,-0.0405114666743087,0.0276559596033172
X16.HK.EQUITY,0.250833085249821,0,0,-0.0244091952020384,0,0,0,0,0,0,0,0.0586305219502321,0,-0.0358396065060601,0,0,6.93889390390723e-18,0.0490720427956217,0,0,0,0.207604920039836,0,0,0,0,0,0.0172100156173297,0.0886222931260219,6.05535969311954e-05,0
X000002.CH.EQUITY,0,0,0,0.31400433457803,0,0,0,0,0,0,0,0.0761731177575795,0.374816167898802,0,0,0,0,0.0841898931515849,0,0,0,0,0,0,0,0.0305111953543254,-0.200102369188276,0,0.0697187652192304,0,-0.0540798741875699
X601601.CH.EQUITY,0,0,0,0.146567407729177,0,0,0,0,0,0,0.102930495190849,0,0,0.233576522033037,0,0,0.146132160529643,0.0159702982363871,0,0,0,0,0,0,0,0.0283266091318726,0,-0.00175245142726817,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.38530196813985,0.165149605577805,0,0,0,0,0,0,0,0,0,0,0,0.289639322782054,0,0,-0.0201546550271493,-0.0262531540132015,-0.0161893822319777,0
X2388.HK.EQUITY,0,0,0.188332374888818,6.93889390390723e-18,0,0,0,0,0,-0.198065121774729,0,0,0.0227340192052666,0,0,0,0,0,0,0,0,0,0,0.590476698457192,0,0,0,-4.33680868994202e-19,0.00724961636718811,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.316238113586473,0,0,0,0,0.0333138910451276,0,0,0,0,0,0,0,0,0,0.00293452435062649,-0.0192385154641884,-0.772398467104448,-0.201546237232775
FXI.US.EQUITY,0,0,0,-0.195307185805353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259992162642961,0.0185925603875307,0.0986584978115938,0.0797189359013136
VXFXI.INDEX,0,0.562342385042171,0,-0.181283781404238,0,0,0,0,0,0,-0.935676049668031,0,0,0,0,0,0,-0.0845955380433425,0,0,0,0,0,0,0,0,-3.77679842723993,0,0.0931261144842907,0.46213679045592,0.197641610166972
