,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.639295880170417,0,0,0,0,0,0,0,0,0,0,0.067947263724476,0,0.0435755632541874,0,0,-0.00730269739261571,0,0,0,0,0.00759765389763221,0.0211006485557578,0,0
X601398.CH.EQUITY,0,0,0,0,0.305954746275151,0,0,0,0,0,0,0,0,0,0,0,0.117626163319259,0,0,0,0,0.00961191187993042,0,0.111254007066598,0,0,-0.00350991087673883,0,0,0
X2318.HK.EQUITY,0,0,0,0.441014417650402,0,0,0,0,0,0,0,0,0.0512193088579703,-1.38777878078145e-17,0,0,0,0,-0.0638251251943115,0,0,0.19247553758994,0,0.036228302484326,0,0.0257073035168515,-0.00502034122531868,0,0,-0.0621620891264117
X601318.CH.EQUITY,0,0,0.292003232820292,0,0,0,0,0,0,0,0,0,0.00999438892040419,0.200453866632046,0,0,0.0878166053333177,0,0,0,0,0.163527528810612,0,0.155738834442632,0.0352211826069332,0,-0.0296968173451692,0,0,0
X601939.CH.EQUITY,0,0.206383986522907,0,0,0,0,0.617339914962234,0,0,0,0,0,0,0.031741253542053,0,0,0.103001917373925,0,0.0215721414083745,0,0,0.045688973596821,0,0,0,-0.0195890578199232,-0.000841615016458148,0,0.0413996755056304,0
X939.HK.EQUITY,0.685137051191586,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0442115863034972,0,-0.0591492323619245,0,0,0,0.0259996733297574,0,0.0877561969143544,0,0.0106060016917968,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.376326193803223,0,0,0,0,0,0,0,0,0.0185570446209956,0,0,0.0252498931881949,0,-0.00874924611436968,0,0,0.052224736626195,0,0,0,-0.022217096030431,-0.0187840956432541,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.013505054029011,0,0,0.0508717047508501,0.108947520191218,0,0.165767028076213,0,0,0,0,0,0,0,0.0824145665852533,0.00113306221122212,0,0,0.0113127514312703,0.0427206952276254,0,0
X601988.CH.EQUITY,0,0,0,0.0415540169811399,0,0,0,0,0,0,0,0,0,0.126322426691802,0.0541883660787986,0,0,0,0.0150355282743743,0,0,0.022762011495212,0.100748922490393,0,0,0,0.0197810358110549,0,0.0833002778088864,0
X3988.HK.EQUITY,0,-0.108821182258925,0,0,0,0.245878657150834,0,0,0,0,0,0,0,-0.0516070961065766,0,0,6.93889390390723e-18,0,-0.0390753238887933,0,0,0.0307655753979668,0,0.15257031493415,0.339983258532396,0,-0.00330292002650325,0.15426921875478,0,0.0015647990643514
