,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.303680133311172,0,0,0,0,0,0,0,0,0,0,0,0.116290192791773,0,0,0,0.00579257880400438,0.00998229743640462,0,0.113459702561912,0,0,-0.00354840262550215,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.694813031188929,0,0,0,0,0,0,0,0,0,0,0.0299611667831455,0.0178787206015432,0.0776582671378003,0,0,-0.0235310371998695,0,0,0,0,0.00727300212537661,0.0273676409760693,0,0
X601318.CH.EQUITY,0,0,0,0.292003232820292,0,0,0,0,0,0,0,0,0.200453866632046,0.00999438892040473,0,0,0.0878166053333181,0,0,0,0,0.163527528810612,0,0.155738834442632,0.0352211826069329,0,-0.0296968173451691,0,0,0
X2318.HK.EQUITY,0,0,0.423644679241405,0,0,0,0,0,0,0,0,0,0,0.0363805562455159,0,0,0,0,-0.0735544453817354,0,0,0.226572673192158,0,0.0594730195014691,0,0.0467738060855258,0,0,0,-0.0561184355254121
X601939.CH.EQUITY,0.206392810584883,0,0,0,0,0,0.617335350479935,0,0,0,0,0,0.031743613226037,0,0,0,0.102996609728051,0,0.0215712752903135,0,0,0.0456894533657869,0,0,0,-0.019588661347702,-0.000841648938098932,0,0.0414010909379414,0
X939.HK.EQUITY,0,0.685166747141401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475206172256083,0,-0.0611020216156522,0,0.0035711326312686,0,0.0242833831172845,0,0.0865824063028309,0,0.0108432281186029,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.37630469599199,0,0,0,0,0,0,0,0.0185581502166285,0,0,0,0.0252573247425834,0,-0.00874804631755574,0,0,0.0522322055887096,0,0,0,-0.022208294398273,-0.0187818885732341,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00755120111869466,0,0.077134415231886,0.00989963864828082,0.0716659525812945,0.196673458609645,0,0,0,0,0,0,0,0.0343611449829975,0,0,0,0.0109944077605312,0.0232254268531807,0,0
X3988.HK.EQUITY,-0.0175243633189126,0,0,0,0,0.215396869674491,0,0,0,0,0,0,0,0,0,0,-0.0530588338439829,0,-0.0456523708214481,0,0,0.0263510154631712,0,0.0838489389924651,0.272123742986377,0,-0.00509210293905599,0.149127384411901,0,0
X601988.CH.EQUITY,0,0,0.0610562034294436,0,0.084630901706766,0,0,0,0,0,0,0.0218585337708439,0.0681311350300588,0,0,0,0,0,0.0119893589952647,0,0,0.0188646226539512,0.235460351877723,-1.73472347597681e-18,0,-0.0151083696785891,0.0160506229667938,0,0.080252109476093,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61910837715198,0,0,0,-0.226006509144132,0.0237074397300725,0.0199209253707406,0,0.272204241221176,0,0,0.0340572958328051,0,0.132906267341331,0
X1299.HK.EQUITY,0,0,0.144627293278634,0.104986932524204,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00211396671291106,0,-0.0436727560758318,0.162135105036032,0.0889164924159563,0,0.0818278088088441,0,0.218952305646316,0,0.0250066413964218,0,0.0253048103855809,-0.237109284383908
X601628.CH.EQUITY,0,0,0.110833265574996,0,0.131365515173743,0,0.201823793745067,0,0,0,0.198748844513623,0,0,0,0,0,0,0,0.202443252423547,0,0,0,0,0.485657234754663,0,-0.059846867438966,-0.0264625240264741,0.183075324242652,0,0.000696308535285701
X2628.HK.EQUITY,0,0,0.0802857599323608,0.409649270900093,0,0,0,0,0,0,0,0,0.1895076118812,0,0.0213366895583805,0,0,0,0,0,0,0.0679387233266135,0.0729207316747762,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.26979836573616,0,0,0,0,0,0.0325879008658619,0.0512084137576411,0.0682382713973731,0,0,0,0,0,0,0,0,0.1463400075397,0,0,0,0.00714519803547757,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0834028844813187,0,0,0,0,0,0.220258641445018,0,0.10671663830065,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00260122493646409,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.074244777014796,0,0,0,0,0,0.22458663873195,0,0.03194179851561,0,0,0,0,0.361555241045466,-0.0208777576553789,0,0,0.0602738454299309,0,0,0.0390906905188206,-0.115530711958063,-0.0174741981122739,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.4287070228208,0,0,0,0,0,0.191138219403622,0.0152707191515963,0.0521276305476994,-3.46944695195361e-18,0,0,0.135126928666569,0,-0.129631165230722,0,0,0,0,0,0,-0.0206181095249326,-0.0346531248344678,0,0,0
X601319.CH.EQUITY,0,0,-1.04794329157304,-0.415626118298288,0,0,0,-0.0515726101486833,0,0,-0.0726829676400949,0,0.0170730741407844,0.809981112674174,0,0,0,0,0,0,0,0.775303942064509,0,0.393755101281756,0,-0.337828969824462,-0.0984127690354032,0.389898490216418,0,0.10723529296684
X11.HK.EQUITY,0,0,6.93889390390723e-18,0.277183395061539,0,0,0,0,0,0,0,0,0,0,0.107625499401554,0,0,-0.00879850496473616,0.0683684974678924,0,0.104033584498878,0.0923473910139182,0,0,0,0.051556131082405,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,-0.277494816229583,0.371834282901168,0,0,0,-0.0955717843088102,0.289874384707041,0,0,0.18670501265606,0,0,-0.228171370274515,-0.0519429602407144,0.603876311848261,0,0.0554069160639121,0,0,0,0,0.00721611958567557,0,-0.0534074043680118,0.210835666060449
X000002.CH.EQUITY,0,0,0.134310502808372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242839224436179,0,0.61701258045844,0,0,0,0,-0.455514291964388,-0.0704053867479311,0,0.0970467339291315,0
X388.HK.EQUITY,0,0,0,0,0,0.00564388679223529,0,0,0,0,0,0.161072310747232,0.225896864003101,0.245351513567445,0.092772785830321,0,0,0.0681549018863336,0,0,0,0,0,0,0.199290884670797,0,-0.0423438157620811,0,-0.0482870887600349,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.154109524252665,0,0.310014147435271,0,0,0,0.066901185028826,0,0,0,0,0.0464885005310822,0,0,0,0,-0.00409788313138206,0,0,0
X2388.HK.EQUITY,0,0,0,0.250087194800201,0,0,-0.0189204378097164,0,3.46944695195361e-18,-0.202505139016246,0,0,-0.0427521580561119,0.299238681931946,0,0,0,0,0,0,-0.179957521242594,0,0.387129935042399,0,0,0,0,0,0,0
