,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.214843654418,0,0,0,0,0,0,0,0,0,0,0,0.182234452031344,0,0,0,0,0.00422415681281191,0,0.0330133755837859,0,0,0,0,-0.0223220961702776,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0255566934493235,0,-0.0346856574578271,0,0.557133437282244,0.06916065803324,0,0.0397417290450672,0,0,0,0,0,0,0,-2.71050543121376e-20,0,-0.00251633697984843,-0.0241703322497142,0,0
X601318.CH.EQUITY,0,0,0,0.352254637869695,0,0,0,0,-8.67361737988404e-19,0,0,0,0.215620534766443,-6.93889390390723e-18,0,0,0,0,0,0,0,0.162446140972842,0,0.198400956368218,0,0,0,-0.0239026300202002,-0.0100285742733151,0.0140492232986197,0
X2318.HK.EQUITY,0,0,0.506156871795214,0,0,0,0,0,0,0,0,0,0,0.0458242176917197,0,0,0,0,0,0,0,0.0808169387005455,0,0,0,0,0,-0.00973501160891045,-0.0257290551418548,-0.0621035319764513,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.687727362987777,0,0,0,0,0,0,0,0,0,0.298529437814077,0,0,0,0,0.0592447546080408,0,0,0,0,0,0,0,0.0111603711186899,0
X939.HK.EQUITY,0,0.589350191535307,0,0,0.035112584894381,0,0,0,0,0,0,0,0,0,0.125859218492072,0,0,-0.0427797990949121,0,0,0,0,0.0702097754301812,0,0.0054030792768295,0,0,0.00661258242924619,-0.00853818144146056,0.0282979824807808,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.192291200892155,0.109395138042666,0,0,0,0.348910412296876,0,0,0,0,0.00282895351648271,0,0,0,0.039175761853148,0,-0.00185602404545921,0.0294076925968957,0,-0.046763011653156
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0429321569203146,0,0.0644680343813872,0,0.0805940271099232,0.136832562753148,0,0.0626387954302958,0,0,0,0,0,0,0.0115070467751337,0,0,0,0.0094033545071416,0,0.00600298741201735,0
X3988.HK.EQUITY,0,0,0,0.111038423994109,0,0.0743532512321605,0,0,0,0,0,0.0489402426117451,0,0,0,0,0,-0.00601872807276522,0,0,0,0.0494364275018385,0,0.0249123396306117,0,0,0,-0.0156867529821949,-0.043944328676982,0.095634053260112,0
X601988.CH.EQUITY,0,0,0,0,0.164000591543035,0,0,0,0,0,0,0.136115914332121,0.0792218390805463,0,0,0,0.00170094906714104,0,0,0,0,0.0709111627534678,0.138123054758288,0.00837349405611371,0,0,-0.0395655019295787,0,0,0.0411410662158407,0
X600036.CH.EQUITY,0,0,0.192269491844972,0,0,0,0,0,0,0,0,0,0,0,0.266558240317403,0,0.226873564320584,0.124949178555014,0,0.0969241876963039,0,0.0108253647862401,0,0,0,0,0,0,-0.0361141468730561,0.0393630726904199,0.181763459495344
X1299.HK.EQUITY,0,0,0.15695631333675,0,0,0,-0.103098940624458,0.0289023454551838,-0.0609321428030059,0,0,0,0,0,-0.0415564635694231,0,0,0,0,0.357035592334099,0.23174842490615,0,0.264781529158192,0,0,0.0464412777713995,0,0.0126952710544663,0.000500190280713107,0,0
X601628.CH.EQUITY,0,0,0.298931569773602,0,0,0,0.0325910978815743,0,0,0,0,0,0,0,0,0,0.33405037105274,0.235231202351432,0,0,0,0,0,0.374892522934758,0,0,0,-0.00796260604548483,-0.0386068353030657,0.0801931625453376,0
X2628.HK.EQUITY,0,0,0.149763925445099,0.345408244303782,0,0,0,0,0,0,0,0,0.1864750225185,0,0,0,0,0,0,0,0,0,0.0632094068595953,0,0,0,0,-0.0103969803069035,-0.00733113851449643,0.0273976925043905,0
X3328.HK.EQUITY,0,1.18124921948834,0,0,0,0,0,0,0,0,0.0787559260487614,0,0,0,0,0,0,0,0,-0.126537706812803,0,-0.0215341348107042,0,0,0,-0.0792419384492018,0,0.0171482185770883,0.00207773023121197,0,0
X601328.CH.EQUITY,0,0.189302847055321,0,0,0.109478340995637,0,0,0,0,0,0.17498267081646,0,0.0883827219594372,0,0,0,0.0365705830590394,0,0,0,0,0.0170016521007008,0,0,0,0.0108722186357971,0,0,-0.0125505795968047,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.213327393588849,0,0,0,0,0,0.152038762676094,0,0,0,0,-0.104087752789999,0.371387404228648,0,0,0.06259303874292,0,0,0,-6.93889390390723e-18,-0.0554469319261201,-0.00190910187716878,-0.0096012513384319,-0.0279850740587991,0
X601319.CH.EQUITY,0,0,0.20375307333185,0,0,0,0,-0.310167780874376,0,0,0,0,0.117821993265554,0,0,0,0,0,-0.1681415392189,0,0,0.180943681544472,0,0,0,0,0,-0.0582854960487769,-0.12340204563148,-0.00388385155315009,-0.34747786400706
X600000.CH.EQUITY,0,0,0,0,0.139924989441534,0,0,0,0,0,0.020547912061552,0.0497060618717631,0,0,0.071243897984093,0,0.552697406074665,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-3.39403565289735e-05,0.00608666929295975,-0.0255134952147793,0.060186234718741
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.272068378405977,0,0,0,0,0,-0.0118875576611667,0,0,0,0.0862743510452765,0.296927490246521,0,0,0,0,0.0141853646661699,0.0843763727529894,0.0105443659911787,-0.0181943070112361
X11.HK.EQUITY,0,0,6.93889390390723e-18,0.143534611417407,0.372623312205772,0,0,0,0,0,0,0,0,0,0,0,0,0.0704576106089994,0,0.0444155233604293,0,0.0711914986347201,0.0264253531472632,0,0,0,0,0,0.00622193480983078,-0.0233551139078925,0
X000002.CH.EQUITY,0,0,0.327816964241791,0,0.104765046995778,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0775609847454852,0,0.149135897359377,0,0,0,0,0,0,-0.1654799001054,0,-0.0684833440134257,0,-0.16626906157821
X388.HK.EQUITY,0,0.0479639762492392,0,0,0,0.138879356932547,0,0,0,0,0,0.4568041275676,0,0.100706821632041,0,0,0,-0.0196578201953218,0,0,0,0,0,0,0,0.0406297086522727,0,-0.0243522931298548,-0.029767800329327,0,0
X601601.CH.EQUITY,0,0,0.269301814062017,0,0,0,0,0,0,0,0.0800108339729866,0,0.250018592536111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627122554785615,-0.0220352445226683,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.028255339890717,-0.0690096187048548,0,-6.93889390390723e-18,0.337109063987432,0,0,0,0,0,0,0,0,-0.0454779293094642,0,0,0,0,0.00291960661181632,0.0120990229639125,-0.145238239290782
CGB3M,0,0.126472450797581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183508541959032,0,0,0,0.0648154542346459,0,0,0,0,-0.0106582064291465,-0.0610438899076361,-0.868991827295772,-0.468540825575471
FXI.US.EQUITY,0,0,-0.0197913414300484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183958675296036,0,0,0,0,0,-0.261944429356483,0.0106384581651939,0.0945622984158038,0
VXFXI.INDEX,0,0,0,0.310889860068092,0,0,0,0,0,0,-0.19707162813939,-0.621867801053108,-0.18316278966183,0,0,0,0,-0.313413740305919,0,0,0,0,-0.244041156210519,-0.280268580692511,0,6.93889390390723e-18,-3.69469815797352,0,0,0.583357055597026,0
TED.SP,-0.488301207574449,0,0,0,0,-1.51937619138262,0,0,0,0.0416165400968775,0,0,0,0,0,0,0,0.344947877219883,0,0,0,0,0,0,-0.458749797214458,0,-0.0229637995451141,0,0,0.615973273256518,0.407315726239282
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.0889510026237753,0,0,0,0,-0.0171887482792129,-0.213549532733404,0,0,0,0.0180292824847137,0,0,-1.09291244240881,0,0.0021476257387844,-0.0592695455448696,0,-0.424702944276409
CREDIT.SP,0,0,0,0,0,0,0,-0.520371611486248,0,0,0,0,0,-0.142913676634912,0,0,0,0,0,0,0,-0.123960817675659,0,0.357668492358494,0,-0.297591394255576,-0.0754994307842473,-0.056006382667414,0,-0.331542159272884,0
