,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.298812477833217,0.136141500051928,0,0,0,0,0,0,0.115803832855308,0,0,0,0,0.00467980303228571,0,-0.013576505570769,0.0500890617086905,0,0,0,0,0,0.107825109601112,0,-0.00115942760091963,0.0196653662042196,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00410287388260065,0,-0.0360377387239614,0.561840687944528,0.109585670927504,0,0.0470160346474751,0,0,0,-0.00976732385125117,0,0,0,0,0,0,-0.0259673665064623,0,0.000686266569400495
X2318.HK.EQUITY,0,0,0,0.25425762649045,0,0,0,0,0,0,0,0,0.178730070267307,0,0,0,0,0,0,0,0,0.0647976506208497,0,0.0353227766892661,0,0.0647667407215356,0,0,-0.0312297586632462,-0.00958652067746582,0
X601318.CH.EQUITY,0,0,0.00360592314146887,0,0,0,0,0,0,0.100692589755874,0,0,0.218004389474198,0.313786200343948,0,0,0,0.0447228772203066,0,0,0,3.46944695195361e-18,0,0.0732229651428699,0.152983732007422,0,0,0,-0.0153319236202609,0.0424684708123296,0
X939.HK.EQUITY,0,0.642531544429229,0,0,0,0,0,0,-0.0355955853169612,0,0,0,0,0,0.164695843278464,0,0,0,0,0,0,0,0.0603225350875447,-0.038059295015677,0.0220430077467068,0,0,0.00450952127141797,-0.00971997297859832,0.0298881067273126,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.375371787638195,0,0.320422369734107,0,0,0,0,0,0,0,0.226320593475715,0.0443622672974959,0,0,0,0.0383498976132724,0,0,0,-2.16840434497101e-19,0,-5.42101086242752e-20,0.00409378068825791,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.197241350956212,0,0,0.105036063090704,0,0,0.363303922800472,0.00355046855826968,0.00919888910622264,0,0,0,0,0,0,0.0413036854447729,0,0,0.02761761491821,0,-0.0450130818293209
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0395773902790964,0,0.0679458133332867,0,0.0266875605687679,0,0.155288993722092,0,0.0816515872558841,0,0,0,0,0,0,0.0259673239623946,0,0,0,0.00826857349645015,0,0.0100939666777583,0
X601988.CH.EQUITY,0,0,0,0.139208202832684,0,0.139464449964007,0,0,0,0,0.0242446773601693,0,0,0.0675263018427179,0,0,0,0,0,0,0,0.0293757134593765,0.0623994699288593,0,0,0,0,0.00913197678202851,-0.00435672543663413,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488838013594004,0,0.194250555520778,0,0,-0.0110992691705436,-0.0276713563840886,0.0640832273854663,0
X1299.HK.EQUITY,0,0,0,0.167334366487711,0,0,-0.121135418536605,0.00648135078942391,0,-0.0659446102902747,0,0,0,0,-0.0332284057427746,0,0,0,0.351416400107423,0,0.223413190146504,0,0.267424395835771,0,0,0.0483266223454025,0,0.0124681546154586,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235758554383466,0,0.288288169295311,0.182533526687677,0,0,0,0.0484628441455276,0,0,0,0,0,0,-0.00448174589461016,0.0725170072018054,0.247813711101519
X2628.HK.EQUITY,0,0,0.514085836907308,0.0521539735646326,0,0,0,0,0,0,0.0297403969350123,0,0,0.183209597437825,0,0,0,0,0,0,0,0.0610760523568666,0.0301850194900973,0,0,0.00210701007424521,0,0,-0.0032558628625662,0,0
