,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.223874259489978,0,0,0,0,0,0,0.311193456563369,0,0,0,0,0,0,-0.00372412561668005,0.00432308051797084,0,0,0,0.0945928575628365,0,0.0448835135393429,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.413346694028619,0,0,0,0,0,-0.052363140804729,0.0154672956077921,0,0,0.574818624745324,0,0,0.00685788384154233,0,0,0,-0.0597205950692185,0,0,0,0.0314968131946409,0,0,-0.0150948190105943,0.00565348118065824,0
X601318.CH.EQUITY,0,0,0,0.36337380282274,0,0,0,0,0.0393519307018343,0,0,0,0.275295535185919,-1.38777878078145e-17,0,0.0099578418266595,0,0,0,0,0,0,0,0.162692429240752,0.062800144930111,0,0,-0.00936619792748621,-0.0173911431432003,0.0143701996525677,0
X2318.HK.EQUITY,0,0,0.277002768737661,0,0,0,0,0,0,0,0,0,0,0.306768204068646,0,0,0,0,0,0,0,0,0,0,0,0.0332460799080265,0,0,-0.0165078520144002,0,-0.0253816288459303
X939.HK.EQUITY,0.162026586488175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342583893448237,0,0,0,0,0,0.318324268605495,0,0,0,0,0,-0.0357499870057205,0.0251434551094541,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.579924310026908,0,0,0,0,0,0,0.340072912145796,0.105891482482156,0,0,0,0.0854000263847308,0,-0.177618403134947,0,0.0226668237148336,0,0.00883147249837812,0.0009874106067007,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.10542578236117,0,0.057313321170799,0,0,0,0.280883712194043,0,0,0,0,0.148924163194346,0,0,0,0.0195559220814254,0,0,0.0129923853311385,0,0
X5.HK.EQUITY,0,0,0.0608937524864568,0,0,0,0,0,0,0.0540521637064381,0.11103916163387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311482349128069,0.0317328908865989,0
X3988.HK.EQUITY,0,0,0.0928713279887141,0,0,0,0,0,0,0,0.0822463915437363,0,0,0,0,0,0,-0.11145967349993,0,0,0,0.0572078967666913,0,0.0978620070763773,0.0980391995761298,-0.00165010822028853,0,-0.000628982085932174,-0.0237351686973481,0.025606965677469,0
X601988.CH.EQUITY,0,0,0.0752540392401084,0,0,0,0,0,0,0,0,0,0.1257194472983,0,0,0,0,0,0,0,0,0.0706881549242196,0,0,0,0,0,0.00643565925416271,-0.000245137233848723,0,0
X1299.HK.EQUITY,0,0,0.131118003735158,0,0,0,0,0,-0.0602848101033237,0,0,0,0,0,-0.016404792980999,0,0,0,0.137059555447367,0,0,0,0.421229504865626,0,0,0.0262268478763909,0,0.0135125195322852,0.00965258855666168,0,0
X600036.CH.EQUITY,0,0,0.0502953721060197,0,0,0,0,0,0,0,0,0,0,0,0.259293182754804,0,0.249262499389015,0.152422419909141,0,0,0,0,0,0,0,0,0,0.00597473793450726,-0.0170709194172008,0.0559793051131294,0.220419762072135
X601628.CH.EQUITY,0,0,0.142655654928688,0,0,0.0385030318941026,0.0351676552629295,0,0,0,-0.145499625334885,0,0,0,0,0,0.14081690147124,0.224367486752226,0,0,0,0,0,0.659524934199458,0,0,-0.00126162984031695,-4.33680868994202e-19,-0.0416684754608615,0.117566602358684,0
X2628.HK.EQUITY,0,0,0,0.501198514364108,0,0,0,0,0,0,0,0,0.232073135908525,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.00947533290080711,0,0,0,0,0,-0.018462251310577,0.00847635622230449,0
X3328.HK.EQUITY,0,1.19574110224653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0687404299110189,0,0,0.00647933463375049,0.0533286641586355,0
X601328.CH.EQUITY,0,0.0892477924964972,0.156576443334588,0,0,0,0,0,0,0,0,0,0,0,0.0797078598391412,0,0,0.0952489527595804,0.321245546613463,0,0,0,0,0,0,0.108296358518874,0,-0.00610231859946533,0.0320713874909772,-0.0631657969985895,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.261905900345861,0,0,0,0,0,0.118233928982117,0,0,0,0,-0.0600171185464542,0,0.415585595709924,0,0.0414847471698942,0,0,0,-0.0168633922086559,-0.126859588479346,-0.0194848432546444,-0.000954483273907803,0,0.048106005906692
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173051927454773,-0.180492893559624,0,0,0,0,0,0.18476507579341,0,0.620658075008645,0,-0.00433314751350864,-0.225064041014329,-0.0688597668953296,-0.038500751703643,0,-0.560016611160725
