,X2838.TT.EQUITY,X2889.TT.EQUITY,X5522.TT.EQUITY,X600848.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X2501.TT.EQUITY,X2867.TT.EQUITY,X2880.TT.EQUITY,X1463.TT.EQUITY,X600663.CH.EQUITY,X9940.TT.EQUITY,X2548.TT.EQUITY,X2537.TT.EQUITY,X6005.TT.EQUITY,X601162.CH.EQUITY,X2801.TT.EQUITY,X5876.TT.EQUITY,X002945.CH.EQUITY,X2885.TT.EQUITY,X2820.TT.EQUITY,X1808.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2838.TT.EQUITY,0,0,0,0,0,0,0.105010601527691,0,0,0,0,0,0,0,0,0,0,0,0,0.695095771266838,0,0,0,0,0,0,0,0,0,0
X2889.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5522.TT.EQUITY,-0.0103504887647617,0.0190994207364633,0,0,0,0,0.110818294602518,0,0,0,0,0,0,0,0,0.120697172132967,0,0,0,0.0784940281242679,0,0,0,0,0,0,0.0277094353121954,0,0,0
X600848.CH.EQUITY,0,0.00807178068839699,0,0,0,0,0,0,0,0,0.00669572665213275,0,0,0,0,0,0,0,0,-0.0475518778844756,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0.275500613536133,0,0,0,0,0.0230294365001089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,-0.00925831431066622,0,0,0,0.103931043566575,0,0,0,0,0,0.0240413855895272,0,0,0,0,0.0046582071056633,0,0,0,0.187971541789448,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0.0339972537695481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0.00707327056471614,0,0,0,0,0,0.0410785395633952,0.117771881536504,0,0,0,0,0,0,0,0.0830959600611794,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.00874947240695933,0.0210225141723533,0.0244732112552996,0,0,0,0,0,0,0,0,0,0,0,0.0561296573991705,0,0,0,0,0,0,0,0.0961149327558264,0,0,0,0,0,0,0
X2501.TT.EQUITY,-0.00278907210383128,-0.03176136953347,0.00996539175349124,0,0,0,0,0,0.0841047817819905,0,0.0559918069568863,0,0,0,0,0.0477263056512554,0,0,0,0,0,0,0.000585624192190274,0,0,0,0,0,0,0
X2867.TT.EQUITY,-0.00805043644711239,0.114877356690193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150850471967272,0,0,0,0.24006929237628,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0.038268818327831,0,0,0.0327240406405492,0,0,0.0682000381080052,0,0,0,0,0,0,0,0,0.0549178179396583,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600663.CH.EQUITY,0.00367699952809729,0,0.00302469820493649,0,0,0,0.0193676516662814,0,0,0,0.00407581884015962,0,0,0,0,0,0,0,0.0866064603636491,0,0,0.0634497964652316,0,-0.00307233777865009,0,0,0.00331476463800538,0,0,0
X9940.TT.EQUITY,0,0.0336039162317596,0,0,0,0,0.0370308123583454,0,0.173556531167238,0,0.0311271287130813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,-0.00901285914662029,0,0,0,0,0,0,0.408153303473227,0.0780746558573736,0,0.0241471807915582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508144020753494,0,0,0,0,0
X2537.TT.EQUITY,-0.0108192286896577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,-0.000630134329544033,0,0,0,0,0.0420872567657753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870931626584279,0,0,0,0,0,0,0
