,X5522.TT.EQUITY,X2838.TT.EQUITY,X2889.TT.EQUITY,X2884.TT.EQUITY,X2849.TT.EQUITY,X2892.TT.EQUITY,X5534.TT.EQUITY,X5880.TT.EQUITY,X2537.TT.EQUITY,X2867.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X600848.CH.EQUITY,X600663.CH.EQUITY,X2548.TT.EQUITY,X002939.CH.EQUITY,X2885.TT.EQUITY,X6005.TT.EQUITY,X002945.CH.EQUITY,X601162.CH.EQUITY,X2801.TT.EQUITY,X2820.TT.EQUITY,X5876.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X5522.TT.EQUITY,0,0,0.0348047932835572,0,0.154207513710385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453218408127363,0,0,0
X2838.TT.EQUITY,0,0,0.0501048370656552,0.186275111881177,0.298408557588576,0.0174861372816425,0,0,0,0.0842114121372334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2889.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0.104363830786097,0.10089298717941,0.002408936332259,0,0,0.0728502624580491,0,0,0,0.0200725781854086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0.0981644410156056,0.0547858189521013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0.0831177274810223,0.0424483032781168,0.0938881081255447,0,0,0,0,0,0,0,0,0,0,0,0,0.0194100754136794,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.0714014545078504,0.0167351368409845,0.0494066540927678,0,0.0308145298138688,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2537.TT.EQUITY,0,0,0.0379572983068696,0,0,0,0,0,0,0.0122593782440247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0.13625586652735,0.109746342147742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198428085747441,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0.00913398219441768,0.055695276788268,0,0.00755851661349279,0,0.127364399634547,0,0.0385526356352075,0,0,0,0,0,0,0.0110205060282267,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,-1.73472347597681e-18,-0.0163739498472601,0.0330571116753106,0,0,0,0,0,0,0,0,0,0,0,0.041688677836155,0,0.0600686947693966,0.0897923608079395,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0569522853537293,0.0451891074941816,5.42101086242752e-20,0,0,0,0.0643299637496883,0,0,0.0194218423164764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600663.CH.EQUITY,0,0,0.00265653410839932,0,0,0,0,0,0,0.028737582538483,0,0,0,0,0,0,0,0,0.0031820753137958,0,0.0814386065695225,0,0,0,-0.0637769890579146,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0.116429926595248,0.0464949671876954,0.0120006157822757,0,0,0,0.0743608102459314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911311515465949,0,0,0
X002939.CH.EQUITY,0,0.00653142203392158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529463579204409,0,0.0073262597787662,0.196416521762372,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0.101726979932065,0,0.0754625591604958,0,0.129404459157031,0,0,0,0,-0.00665095528643138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846160827600905,0,0,0,0,0,0
X6005.TT.EQUITY,0.0155563532796219,0.0974377688012581,0.0225837212224666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049471524458095,0,0,0,0,0,0,0,0,0,0,0
X002945.CH.EQUITY,0,-0.0135231971559044,0,0,0,-0.0239824531970531,0,0,0,-0.0160714938704468,0,0,0,0,0,0,0,0,0.0353827718560595,0,0,0.647747519027505,0,0,0,0,-0.0188542881638824,0,0,0
X601162.CH.EQUITY,0,0.0237273928909655,0,0,0,0,0,0,0,0.0103882110779499,0,0,0,0,0,0,0,0.187769021556047,0.00015438251574909,0,0.0178309512587321,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0.0240643963445816,0,0.0861680468215107,0,0.0279568820466616,0,0,0,0.0613218106974913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0.0537775211355398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0.00951653210648142,0.0198725859475176,0,0.0534609431606426,0.173847097107514,0,0,0,0.0362703508992544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896360889300153,0,0,0
FXI.US.EQUITY,0,0,0.000607242577114426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136484572359875,0,0,0
VXFXI.INDEX,0,0,-0.150202210543563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN10YR,-0.0238370012286676,0.0189502091833998,0.0217288201056582,-0.0566166394103716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN2YR,0,0,0.00389029237477949,-0.0440240897322177,0,0,-0.0267038519757566,0,0.0412088830309333,0,0,0,0,0,0,0,-0.00134883562712112,0,0,0,0,0,0,0,0,0,-0.0150584978548933,0,0,0
CN210SLOPE,-0.0141352737558406,0.0208630968952754,0.0113832377943752,-0.00164538364529578,0,0,0,0,-0.0544273326755228,0,0,0,0,0,0,0,0.0213226243870308,0,0,0,0,0,0,0.0309475128167145,0,0,0.00374755672738099,0,0,0
