,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.209843450866195,0,0,0,0,0,0,0.1747261734482,0,0,0,0,0.0827261978781349,0,0.134337400531867,-0.012956220244324,0,0,-0.00158398616284307,-0.17822788760975,0,0.0282207680482751,0,0.22351049645128,0
X1398.HK.EQUITY,0,0,0.0208766340594152,0,0,0,0,0,0.209194150200739,0,0,0.0650446929683994,0,0,0,0.555466211264532,0,0,-0.049570027203564,0,0,0,0.0822622331565883,0,0,0,0.00252669578399097,0,0,0
X601318.CH.EQUITY,0,0,0,0.0688052390341013,0,0,0,0,0,0,0.0320061751812895,0.0744162639792115,0.0912548056615573,0,0,0,0,0,0.00593302927818534,0.272278216573541,0,0,0,0,0,0,0.0124446957214921,0,0,0
X2318.HK.EQUITY,0,0,0.238868229537525,0,0,0,0,0,0,0,0,0.143881198972516,0,0.127889421021964,0.0476794092289278,0,0,0,0,0,0.0513377472927981,0,0,0.10846287715714,0,0,0.0130205715731928,0.0360511614183027,0.0302806678744501,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.417305941167643,0.218305757056448,0,0.0582136855171339,0,0,-0.0467835179435837,0,0,0,0,0.0184176164526661,0,0,0,0.0345845185805427,0.0965524092501138,0.0293619726323586,0,0,0
X939.HK.EQUITY,0.0513329693291804,0.00699474010888685,0,0,0,0,0,0,0,0,0,0,0,0.209167938194509,0,0,0,0,0.0759562104980822,3.46944695195361e-18,0.0498502726869972,0,0.0764066810810843,0,0.0386116432384733,0,0,0.0610863987030522,0,0
X601288.CH.EQUITY,0,0,0,-0.201569361126442,0,0,0,0,0,0,0,-0.103936054456273,0.132712398602996,0,0,0,0.4490013954319,0,0,0,0.0286400426913482,0,-0.325491902920755,0,0,0,0,0,0.254331548301015,0
X5.HK.EQUITY,0,0,-0.223700383992505,0,0.0770017059900245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144892297115173,0,-0.0808972883109144,0.313779954294981,0,0,0.286708518252076,0,0.00688492383114837,0,0,0
X3988.HK.EQUITY,0,0.0290502334893324,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.154391100201341,0,-4.33680868994202e-19,0,0,0,0.00912638881711266,0.149445498916778,0.0672564484097358,0.135463745667358,0.00384794266370173,0,0,0.00246750490837783,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.194110561960778,0,0,0.0496630296711612,0,0,0,0,0.0506263563874595,0.121880940207226,0,0,0,0.0147555752266702,0,0,0.144645917308739,0.00168593952858794,0,0.0144935660658417,0,0.12479185126957,0
X600036.CH.EQUITY,0,0,0.5854110210201,0,0,-0.0335384877912476,0,0.112332674504293,0,0,0,0,-0.123658040379201,0,0,0.200636145776836,0,0.337152189945386,0,-0.0730335131367831,0.173179524409722,0,8.67361737988404e-19,0,0,0,0.0157110195459746,0,0,-0.252922486052153
X1299.HK.EQUITY,0,0,0.122460306726457,0,0,0,0,0,0,0,0,0,0.158456307592223,0,0,0,0,0,0,0.0191254592927734,0.208678886925188,0,0,0.0141274651416221,0.145809615585383,0,0,0,0.0427478127258886,0
X601628.CH.EQUITY,0,0,0.368046440124636,0,0,0,0.0542397912151089,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.165785776703618,0,0,0.335645185683646,0,0,0,0,0,0,0.0138254254477241,-0.112105707010895,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.174303956664889,0,0,0,0,0.0461973381761576,0.0240433292140003,0.179774774659025,0,0,0,0,0,0.106421818185847,0,0,0,0.0859235559659321,0.0785258012820923,0.162059483355013,0,0.0199305906121443,0.184972822097334,0,0
X601328.CH.EQUITY,0,0.0668753708758752,0,0,0.0531608619573776,0.13681509215687,0,0,0,0,0,0,0,0,0,0.157306749892086,0,0.13668774778849,0,0,0,0.101436606605277,0,-3.46944695195361e-18,0,0,-0.00212040249346085,0,0,0
X3328.HK.EQUITY,-0.0664152554601892,1.13788037998684,0,0,0,0,-0.0566060978904574,0,0,0.0729796184904357,0,-0.00761734057418617,0,-0.0308642817564353,0.279093308790054,0,0.133994371660946,0,0,0,-0.135654201606653,-0.238732969103909,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.258710740414446,0,0,0,0,0,0.228408563448694,0,0,0,0,0,0,0.338641139075763,0,0,0,0,-0.152948530500829,0,-0.00833700401628192,0,0,0
X600000.CH.EQUITY,0.0568366210635657,0,0,0,0,0,0,0,0,0,0.2418908962123,0,0,0.0897084160090179,0,0.0606195416908788,0,0,-0.216656710944817,0.175113097892853,0.113305226808999,0,0,0,0,0,-0.00832352018564192,-0.0108180306231991,-0.177240383096006,0
X601319.CH.EQUITY,0,0,0.234077303428993,0,0,0,0,0,0,0,0,0,0,0.480810650485264,0,-0.0438903254015731,0,0,0,0.51839363300218,-0.146502430337483,0,0,0,0,0,-0.0136145233129918,0.0229786976042058,0,0
X601601.CH.EQUITY,0,0,0.596852814263453,0,0,0,0,0,0,-0.302116136463419,0,0,0.124549898092023,0,0,0,0,0,0,0,0,0.194781169950785,0,0,-0.0182056972543485,0,-0.000969838289082659,0,-0.0976108275415395,0.0276357737012409
X16.HK.EQUITY,0,0,0,0,0,0,0.873105885776771,0,0,0,0,0.708156438933798,0.0940649626717109,0,0,0,0,0,0,0.0654609390209896,0,0,0.0686756183872966,0,0.0904566422412303,0,-0.0338539711717074,0,-0.209179299708648,0
X000002.CH.EQUITY,-0.501114734829282,0,-0.150816234443827,0,-0.0289895599877401,0,0,0.926754714613615,0.174115869141465,0,0,0,0.152969758260783,0,0,-0.183278959498906,0,0,-0.469989889600452,0.670657109544222,-0.0725728459703242,0,0,0,0,0,-0.0153845950581977,0.105613004937058,0,0
X11.HK.EQUITY,0,0.102016683096948,0,0,0.196312993465605,0,0,0.151609712708631,0,0,0.0548573746542454,0,-3.46944695195361e-18,0,0,0,0.263798764670303,0,-0.00235494090986018,0,0,0.0360028883809648,0,0,0.0833213099223252,0,-0.0208104370065325,0,-0.0143195678698176,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.274867542567991,-0.082393174879398,0,0,0.220899506038397,-0.240571992849742,0,0,0.326755760561249,0,0,0,0,0.286054883200465,0,-0.0177562484117627,0,-0.119171333412025,0
X2388.HK.EQUITY,-0.0423096445607498,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0606943061083282,0,0,0,0,0,0,0,0,0,0,0.0740246821694834,0,0.686913249229429,0.158871840337025,0,0,0.00137574375037918,0.0955683444596704,0,0.304061299356445
FXI.US.EQUITY,0,0.0463757812901348,0,0.208431474319505,0,0.266991547643352,0,0,0,0,-0.157293530411819,0.0942731635496241,0,0,0,0,0,0,-0.136057596260315,0,0,0,0,0,0,0,-0.179919029263967,0.098984144508611,0.113215230857489,0
VXFXI.INDEX,0,0.266480980137092,0,0.830648652874662,0,0.808529839122978,0,0,0,0,-0.632445647472794,0.324931797842383,-0.893044241195014,0,0,0,0.207130609251004,0,-0.189925108396943,0,0,0,0,0,0,-4.61006275524972,0,0.666055904559601,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,-1.92593033383052e-06,1.29484364794799e-06,0,6.88506135883529e-06,0,0,0,0,0,-7.38985886525591e-06,0,8.470329472543e-22,5.61922512695928e-06,9.38583996341715e-07,0,0,0.999995496906916,0.99998284850781
CN2YR,2.7373991461586e-06,0,0,0,-2.98643582665158e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04819710204994e-06,0,0,0,0,-3.26975424463193e-07,-7.38788304700033e-08,0.999998846511109,0,-0.999998382908302
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,1.11143639351772e-06,0,0,0,0,0,2.72583085075973e-06,0,0,0,0,0,3.88529328889742e-06,0,0,0.999972052648198,-0.999968886851302,0
