,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.209818048196851,0,0,-0.0749280325363192,0,0,0,0,0,0,0,0,0,0.19927750508451,0,0,-0.0713967503661004,-0.0881467976179342,0,0,0,0,0,-4.33680868994202e-19,0.00535764317061958,0.039229092067716,0.0187520470176185
X1398.HK.EQUITY,0,0,0,0.208493969093553,0.254436160322096,0,0,0,0,0,0,0.157927329261056,0,0,0.537917200698057,0,0,-0.151034087274108,0,0,0,0,0,0,-0.00839898791042928,0,0,0.00513070069540267,-0.0188227975598595,-0.02684619768992,0
X2318.HK.EQUITY,0,0,0,0.1993857126105,0,0,0,0,0,0,0,0.0806823454344965,0,0,0,0,0,0,0,0.157440618262206,0,0,0,0.236493712710896,0,0.00764704413155593,0,0.00909741804868762,-0.00813446290042947,0,0
X601318.CH.EQUITY,0,0,0.116249204191013,0,0,0,0,0,0,0,0.162697766884293,0,0,0.0703064949999976,0,0,0,0,0,0.273867638523939,0,-0.0386256055389724,0,0,0.0582508647992167,0,0,0.0130800229922361,-0.0124639623001787,0,-0.00911891212594569
X939.HK.EQUITY,0.0171681252975006,0.018700290167119,0,0,0,0,0,0,0,0,0,0,0.0721902108974908,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0988759081492926,0,0.0275560821914223,0.155047593358238,0,0,0.00296979275254432,0.011640272170039,0.013075116093256,0
X601939.CH.EQUITY,0.21811744108492,0,0,0,0,0,0,0,0,0,0.244350456802233,0,0,0.0352949253896112,0,0,0,0,0,0,0,0.145767542532839,0,0,0,-0.00334137072137499,0,0.0140897416773797,-0.0209890303110925,0,0
X601288.CH.EQUITY,0,0,-0.315565458044018,0,0,0,0,0,0,0,0,-0.0593296173902544,0,0.0607269859789618,0,0,0.322161115093156,0.180993317395271,0,0,0,0.0376531883209153,0,0,0,0,0,0,-0.0214987531067823,4.33680868994202e-19,-0.0383010459781731
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129251522738092,0,0,0.0969837169953096,0,0.0158974497004022,0,0.0120054430993915,0.0411890563139287,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.100070971721332,0,0.0163711922640778,0,0,0,0.0643424318114607,0,0.0559240327210721,0,0,0,0.091458953721753,0.0608563684584181,0,-0.0209196048184342,0,0.00216296036786954,0,0,0
X3988.HK.EQUITY,0,0.0784107449454157,0,0,0,0,0,0,0,0,0,0.112268369801359,0.085568505840896,0,0,0.0244919950777719,0,0,0,0,0,0.103896137708468,0.0259464595338719,0,0.0549754127777355,-0.0205978449304203,0,0.00124920751304545,0,0.0104977753980398,0
X600036.CH.EQUITY,0,0,0,0.497179073543451,0,0,0,0,0,0,0,0,0,-0.0277762115320351,0.293954346942747,0,0,0,0,0,0,0.140133843761042,0,0,0,0,0,0.0272359743240859,-0.00713322759173661,0,-0.023892343023123
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287746997008966,0,0,0,0,0,0.0426000074345999,0,0.320948319265363,0,0.0655052478271983,0,0.0380355447878547,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.313265761853701,0,0.393036714726789,0,0,0,0,0,0,0,0,0,0.0975428519676384,0,0,0,0,0.243539097669789,0,0.193217925905014,0,0,0.00172412762757356,0,0.0103507466725911,0
X601628.CH.EQUITY,0,0,0,0.0573856399692362,0,0,0,0,0,0,0,0,0,0,0,0,0.0345231698145931,0,0,0.465703603640924,0,0,0,0,0.140613297224361,0,0,0.0131079463729683,-0.0192353635926678,0.0378786151244172,0
X3328.HK.EQUITY,0,1.19174380765427,0,0,0,0,0,0,0,0,0,0.097469164293941,-0.160841786855257,0,0,0,0.235507145979458,-0.000867928305886153,0,0,0,0,0.0766531649505565,0,0,0,0,0.00484644883544569,0.00804854010686663,0.0806177475106716,0
X601328.CH.EQUITY,0,0.23388344682785,0,0,0,0,0,0,0,0,0,0,0,0,0.016626941387454,0,0,0,0.158147717413283,0.06914232381702,0.0888605841541058,0,0.0607463617016246,0,0.0311416579060601,0.0395384649092748,0,-0.00627362883019616,-0.00474396118033409,0,0
