,X2889.TT.EQUITY,X2838.TT.EQUITY,X5522.TT.EQUITY,X2849.TT.EQUITY,X5519.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2537.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X5534.TT.EQUITY,X2548.TT.EQUITY,X5876.TT.EQUITY,X600663.CH.EQUITY,X600848.CH.EQUITY,X2885.TT.EQUITY,X002939.CH.EQUITY,X2801.TT.EQUITY,X6005.TT.EQUITY,X601162.CH.EQUITY,X002945.CH.EQUITY,X2820.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2889.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2838.TT.EQUITY,0.157016940097983,0,0,0.0487852571695995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5522.TT.EQUITY,0.00228947623128982,0.197026682461896,0,0.119765035154398,0,0,0,0,0,0,0,0,0,0.153749197640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0.165181661146476,0.0372612391999219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5519.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0.0371834109796345,0.0432349962560036,0,0,0,0,0,0,0,0.0568788982960783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.00532840725373832,0.0195426583141043,0,0,0,0.0121012579857786,0.128059285129558,0,0,0.0275880523776017,0,0,0,0,0,0,0,0,0.0101109985287584,0,0,0,0,0,0,0,-0.00816727560093412,0,0,0
X2537.TT.EQUITY,0.0380206959086984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.106946300172538,0,0,0.170159538035616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0.0568212920462972,0,0,0.0932749728897697,0,0,0,0,0,0,0,0,0,0.066277656449069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0127262711633578,0.0382780245176764,0.0763415996792589,0.0471998242705295,0,0,0,0,0,0,0,0,0,0.0151442326840678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.0493133467423983,0,0.0685181398477525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0.0114762789604501,0,0,0,0.069544737868745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730210513687707,0,0,0
X5876.TT.EQUITY,0.0199935050777189,0,0,0,0,0.171404651584573,0,0,0,0.0262472744569048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600663.CH.EQUITY,0,0.0184732136224012,-0.00481183656724668,0.00638210515979342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277526458404267,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.0186760332344213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0.0719067203269916,0.143425041250988,0,0,0,0,0,0,0,0,0,0,0,0.0617582610597795,0.0911784239628432,0.0792748226955881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002939.CH.EQUITY,0,0,0,0.0111045272020326,0,0.0220339856112567,0,0,0,-0.00453422325392024,0,0,0,-0.000413271054250707,0,0,0,0,0.0476541527119774,0,0,0.00341286716170368,0.275069449668736,0,0,0,-2.71050543121376e-20,0,0,0
X2801.TT.EQUITY,0,0.0171609693673544,0,0,0,0.0202037540649268,0.0374111854538223,0,0,0.0168330980072251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.0502712573452088,0.0426958701367562,0.0354308909975133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0.0219655431909941,-0.00250541804150782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00720952597390066,0.174672448129458,0,0,0,0,0.0122420291143986,0,-0.00439130029027507,0,0,0
X002945.CH.EQUITY,0,0.0224431011751293,0,0,0,0,0,0,0,0,0,0,0,-0.0175483259673453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0.00463553498889925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079316987651774,0,0,0
VXFXI.INDEX,-0.116942622681736,0,0,0,0,0,0,0,0,-0.0279598711061097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN10YR,0.0217260336664886,0,-0.0281070839473501,0.0170305576768177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN2YR,0.0123031752131774,0,-2.71050543121376e-20,0,0,0.024564740592305,0,0,0.0467884625108551,0,0.022021235819468,0,0,0,0,-0.0542165261976867,0,0,-0.00988452701070131,0,0,0,0,0,0,0,-0.00409636702688411,0,0,0
CN210SLOPE,0.00900449629752038,0,-0.00662240324283741,0.0169667365799849,0,0,0,0,0,0,0,0,0,0.0143736141807135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
