,X2884.TT.EQUITY,X5522.TT.EQUITY,X2889.TT.EQUITY,X2838.TT.EQUITY,X2849.TT.EQUITY,X5519.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X2537.TT.EQUITY,X9940.TT.EQUITY,X5534.TT.EQUITY,X2548.TT.EQUITY,X1463.TT.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY,X600663.CH.EQUITY,X5876.TT.EQUITY,X1808.TT.EQUITY,X6005.TT.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY,X002939.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2884.TT.EQUITY,0,0,0,0.0902604191692752,0,0,0.0545093502930717,0,0,0,0,0,0,-0.0113611218402224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5522.TT.EQUITY,0,0,0.00409189887440158,0.199077334451074,0.120966388527038,0,0,0,0,0,0,0,0,0.104403000225915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2889.TT.EQUITY,0,0,0,0.461036031345149,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2838.TT.EQUITY,0,0,0.199932261448909,0,0.165300685320527,0,0.105955014939127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420324115282569,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0.179437196328775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5519.TT.EQUITY,0,0,-0.00774686796683196,0,0.0157510666205802,0,0,0,0,-0.0543522498043921,0,0,0,0.00745737629425736,0,0,0.080230470049493,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0.0379505977947821,0.0429879608065896,0,0,0,0,0,0.0268355701464414,0,0,0,0,0,0,0,0,0,0.220489925199426,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0.000490471135910415,0.126733709318027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890256681542584,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0
X2880.TT.EQUITY,0.00233208912962964,0,0.0133434172616333,0.0269021238664316,0,0,0.0595084214225561,0,0,0.0272511008956454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0.104308345600142,0,0.15382382210602,0,0,0.315301280769179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42590900419219e-05,0,0,0
X2501.TT.EQUITY,0,0,0.048386696452618,0,0.0978998216088491,0,0,0,0,0,0,0,0,0.126054031015516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2537.TT.EQUITY,0,0,0.0471827582193958,0,0,0,0,0,0,0,0,0,0,-0.0105931046432981,-0.0797141654244218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0.0744747806162084,0,0.0292926684378957,0.0341471436392561,0,0,0,0,0,0,0,0,0.0165069053250935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0.0685263913910366,0.0493140186354394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.0785237604331242,0,0,0,0,0,0,0,0,0,0,0.0474226786671306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0.0222910274479303,0,0,0,0.0246265925650225,0,0,0.0405383000364119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296585315178898,0,0,0
X600663.CH.EQUITY,0,-0.0138161573823564,0.00572777593891799,0.0144833761812007,0.00851135971451099,0,-0.0146015249354027,0,0,0.0130136867393694,0,0,0,0,0,0,0.0295366265356083,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,1.0842021724855e-19,0,0,0,0,0.190554380459886,0.0237977878260013,0,0.0390596802990027,0,0,0,0,0,0,0.0201573642202592,0,0,0,0,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0.0165010673437541,0.0400601875543485,0,0,0,0,0,0,0,0,0,0,0,0.078023459330985,0,0,0,0,0,0,0,0,0,0,-0.0513828855483837,0,0,0
X6005.TT.EQUITY,0,0,0.0304590956223287,0.0507884800331063,0,0,0,0,0,0,0,0,0,0.0222655441803516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0.0196017782464619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,-0.0646766696083473,0.0486228022448386,0,0,0,0,0,0,0,0,0,0,0.0471049302331605,0,0,0.0227692643434303,0,0,0,0,0,0,0,0,0,0,0,0,0
X002939.CH.EQUITY,0,-0.0138108181687099,0,-0.0044099376952617,0.0392945580623082,0,0,0,0,0,0,0,0,0,0,0,0.0293585782861622,0,0,0.0416710706941886,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0.00941013692921151,0,0,0,0,0,0,0.00261958141277465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787011842259044,0,0,0
VXFXI.INDEX,0,0,-0.114399189140777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN10YR,-0.0151190626006111,-0.0254107137335097,0.0198826010484203,0,0.0242369754704299,0,0,0,0,0,0,0,0,0,0,0,-0.00848712205045563,0,0,0,0,0,0,0,0,0,0,0,0,0
CN2YR,-0.0402979897545844,0,0.0117235288284735,0,0,0,0,0,0,0,0,0,0,-0.00861523408200151,-0.00925469707946156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN210SLOPE,0,0,0.00990871018419901,0,0.0162126023073104,0,0,0,0,0,0,0,0,0,0,0,-0.0141754138939383,0,0,0,0,0,0,0,0,0,0,0,0,0
