,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347240573183628,0,0,0,0.313908597970281,0,0,0,-0.0512941050529649,0,0,0,-0.001636826628027,0,-0.00146903509275262,0.0237820782454347,0,0.00996756938332748
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.437165198027175,0.0701370969737955,0.121821872666286,0.110161845035338,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.00845012388466324,0,-1.73472347597681e-18,0
X601318.CH.EQUITY,0,0,0,0.240140192617604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099880563700127,0.213918847636313,0.0574094525177081,-0.0305233392939542,0.163948083414674,0,0,0,0.0624043221444768,0,0.0315920114492788,-0.00629089137352492,0.0616344744394219,-0.00707703008313643
X2318.HK.EQUITY,-0.316091573913689,0,0.514283363681058,0,0,0,0,0.00623116662306839,0,0,0,0,0,0.0748262910593044,0,0,0,0,0,0,0,0,0,0,0.275064661880179,-0.00237247525624746,0,0,-0.0132874401499332,0,0.0234040370813076
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.184809724554953,0,0.0640173147040181,0,0.0495436672379757,0,0.0497385301817208,0.0455662557248286,0.110192531918267,0,0,0,0,0,-0.0280881892439701,0,0,0.0162083671547906,0,0
X601939.CH.EQUITY,0.299392612287037,0,0,0,0,0,0,0.0250898458688846,0,0,0,0,0.0886756525569119,0,0,0,0,0,0,0.142071857330153,0,0.0608636227850118,0,0,0,0.00208466845393004,0,0,0,-0.022000660874014,0
X601288.CH.EQUITY,0,0,0,0,0,0.0866777191918217,0,0,0.051591945646947,0,0,0,0,0,0,0,0,0,0.213203549175204,0,0,0,0,0,0,-0.0301692866987187,0,0,0.00235331809173799,0,0
X5.HK.EQUITY,0,0,-0.184393892049628,0,0,0,0,0,0,0,0.679411334650261,-0.0264796750326066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477480782363762,-8.67361737988404e-19,-0.00307865118855233,0,0,0
X601988.CH.EQUITY,0.0534176137089818,0,0,0,0,0,0,0.0450535498767561,0,0,0,0,0,0.133027846324292,0.0871850085795825,0,0,0,0.0293027349603816,0,0.0326910420476866,0,0,0,0,0,0,-0.00588875141299376,0.00295307828523942,0,0
X3988.HK.EQUITY,0,0.277027751970781,0,0,0.14764858944435,0,0,0,0,0,0,0,0,0.00122137408663523,0,0,0,0,0.0217896491793427,0,0,0,0.0497645955731017,0,0,0,0.0267712938027698,-0.00378269856183054,0,0.0405825211064278,0
