,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.139058092643214,0,0.0419584430201251,0,0,0,0,0,-0.0586385683222978,0,-0.0214408933631222,0,0,0,0.252158844427963,0,3.46944695195361e-18,0.0339685752498046,0,0,0,0.171153816059327,0,0,-0.0260653682071295,0.00978936890067188,0,0.0113918615196945
X1398.HK.EQUITY,0,0,0,0,0.0835628298559185,0,0,0,0,0.639720924031171,0,0,0,0.00207228891341492,0,0,0,0,0,0,0.0475811248787715,0.0982972665175633,0,0,0,0,0.0732987595844772,0,-0.0117205117280659,0,0
X2318.HK.EQUITY,0,0,0,0.743948462904334,0.162877461451004,0,0,0,0,0,0,0.065200452519155,0,0,0,0,0,0.028701872213712,-0.0743747127119352,-0.0176213804312427,0,0,0,0,0,0,0,0,0.0148704793650252,0,0
X601318.CH.EQUITY,0,0.0419305058215644,0.14280914248562,0,0,0,0,0,0,0,0,0,0,0.172755054478261,0,0,0,0.173534495155148,0,0,0,0.0566694460166677,0,0,0,0,0,0.0476963217212553,-0.00403426051563726,-0.0103421969619733,0
X939.HK.EQUITY,0,0.329412549887641,0,0,0,0,0,0,0,0.241903411192243,0,0,0,0.0201465519394752,0,0.0772342150642797,0,0.0710066855612526,0,0.0832689519765879,0.0893954375618554,0,0,0,0.144032210872385,-0.028011929567138,0,0.000219692464544164,0.0123708189668766,0,0.0117944400525487
X601939.CH.EQUITY,0.322288783665923,0,0,0,0.0344159058182804,0,0.226821103986396,0,0,0,0,0,0,0,0,0,0,0,0,0.0251459258835141,0,0,0,0,0.111493902877729,0,0,-0.00257956225305458,0.00383755403767208,-0.0624906220907313,0
X601288.CH.EQUITY,0.0687452270317147,0.0354460102104429,0,0,0,0.324207732783954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645017218973864,0,0,0,0,-0.0327363539237414,0,-0.0104431273341012,0.00318272743275873,0,0.0466216725156026
X5.HK.EQUITY,0,0,-0.00957135485900854,0,0,0,0,0,0,0,0.048713651736001,-0.187259873086938,0,0.0604344238106641,0,0,0,0.268016505160614,0,0,0,0,0,0.593582018210682,-0.0335087764856078,0,0,-0.0148596166844398,0,0,0.00795855317853135
X601988.CH.EQUITY,0,0,0.00175638319016341,0,0.0540663987960082,0.298216525792218,0,0,0,0,0,0,0,0.0341095696853602,0.0645360697860523,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.00651472041538795,-0.00329667769544622,0.0268781915964572
X3988.HK.EQUITY,0,0.301056149228272,0,0,0.0847700038172518,0,0,0,0,0,0,0.0147516830580134,0,0,0,0,0,0,0,0,0.0606508222135841,0.0193446639835235,0,0,0.0164116493299437,0,0,0.00362837597686198,-0.0243174263936823,0.0187692168134761,-0.0392424827825257
X600036.CH.EQUITY,0,0,0,0.285974679745557,0,0,0,0.00903058103741083,0,0,0,0,0,-0.0279550777153189,0,0,0,0.0487211511371556,0,0.314855401071652,0,0.106710693644241,0,0.213439792441481,0,0,0,0,0.0143369806675716,0.0103631584575403,-0.0703817454852362
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.217032793996038,0,0,0,0,0,0,0,0,-0.135685665671524,0,0.0131708461425491,0.478740302967439,0.315495604027449,0.128627589451193,0,0,0.0120660476731932,-0.0131964888892722,0,0
X2628.HK.EQUITY,0,0,0,0.0670043048782566,2.16840434497101e-19,0,0,0,0,0.146870504899004,0,0.183688793109453,0,0.242459474459319,0,0,0,0,0,0,0.0416897932813526,0,0,0,0.0611382236925695,0,0,-0.00350330689533295,-0.000955393238173004,0,0.0261784003544967
X601628.CH.EQUITY,0.282447833034778,0,0,0.200178965866163,0,0,0,0,0,0,0,0,0.0728801916929535,0,0.188212828170073,0,0,0.0400003330464023,0,0,0,0,0,0,0,0,0,0.00068583937257695,-0.0230482499383587,0.19724745675044,0.0865722050465067
