,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117402362207058,0,0,0,0.305612515631217,0,0,0,0,0,4.33680868994202e-19,0.013395563325244,0,0,-0.00303181639554212,0.00710074480972194,0.00296898180717156,0.0181325155902669
X1398.HK.EQUITY,0,0,0,0,0,0.353207112927664,0,0.170014691606688,0,0,0,0,0.0587261906292367,0,0,0.421165939664838,0,0,0,0,0,0,0,0,0,0,0,-0.00126247577501015,-0.000583233487572398,0,0.0158392665716008
X601318.CH.EQUITY,0,0.0960930956834534,0,0.184842460308176,0,0,0,0,0,0,0.135917381744741,0,0.200524357483127,0.0999516143716856,0,0,0,0.093426573257785,0,0.0329377761084444,0.0124697492108271,0,0,-0.175574802615859,0,0,0,0,0.012787829175498,-0.0239621315025613,0.0437155419365484
X2318.HK.EQUITY,0,0.0740467647302776,0.284947627146986,0,0,0.107901276794949,0,0,0,0,0,0,0,0.0541954408796715,0,0,0,0,0,0,0,0,0,0.139170124385673,0,-0.0258496182197595,0,0.00125810829242982,0.00263336071372749,0,0
X601939.CH.EQUITY,0,0,0,0,0,0.0904642463916826,0.22916418031001,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0908989597391921,0,0.0203977219554278,0,0,0,0,0,-0.00895737275865553,0.0177420073331196,-0.0506842930788947,0
X939.HK.EQUITY,0,0.450879351096216,0,0,0,0,0,0,0,0,0,0.0773396078752696,0.05744295528402,0,0,0,0,0,0,0.154726805993561,0,0.0452858179140654,0,0.0829099558129211,0,0,0,0.00155447825123379,0.00389095628675758,0,0.0105445107376819
X601288.CH.EQUITY,0,0,0,0,0.25651547694399,0,0,0.00539944591719002,0,0,0,0,0,0,0,0.066947648545078,0,0,0,0,0.0368243870976479,0.084975600930973,0,0,0,-0.0377472404747924,0,-0.00130971901153229,-0.00318121642325073,0,0.107649289718775
X5.HK.EQUITY,0.0135130365431515,0,0,0,0,0,0.221315169253727,0,0,0,0.310808320414347,-0.20616233711435,0.0198688454944732,0,0,0,0,0,0,0,0,0.382475092335653,-0.0658949970283149,0,0,0,0,-0.00103585042578687,0.022539523485649,0,0
X601988.CH.EQUITY,0,0,0,0,0.278106720878421,0.0131294510039203,0,0,0,0,0,0,0.0601352074121277,0,0,0,0,0.0563009845338408,0,0.0302832111690374,0,0,0,0,0,-0.0191420983369327,0,-0.00378823228284296,0,0,0.0467510785285844
X3988.HK.EQUITY,0,0.431040164007,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353747254908538,0.0124079830476915,0,0.136389848591634,0,0,0,0.000874892961974489,-0.0104721202564135,0.0585837020244823,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.308154024840331,0,0,0,0,-0.057068710090232,0,0,0,0,0.229529255777585,0,0.177389233565096,0.254711614831108,0,0,0.00813930104489812,0,0.0155727252643825,0,0.00298517128412278,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0527809725708059,0,0,0,0,0,0,0,0.140194679136214,0.0441355945408079,0,0,0.596430348909739,0,0,0.003961910681315,0.0317054398249045,0,0
X601628.CH.EQUITY,0.508671009493776,0,0.00170401354390485,0,0,-0.372669338878509,0,0,0,0,0,0,0,0.580983501094268,0,0,0,-1.73472347597681e-18,0,0,0,0,0.287351560889096,0,0,0,0,0.0277138170090775,-0.037809930005945,0.077723088089337,0
X2628.HK.EQUITY,0,0.0874008759423887,0.0931478225695059,0,0,0,0,0,0,0,0,0.0291047845569128,0.338298051180042,0,0,0,0,0,0,0,0,0.0970448968106424,0.0222576558743589,0.0848222347557098,0,0,0,6.14122450834327e-05,0.00845083569080379,0,0.00882358707648335
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.667350968437638,0,0,0,0,0,0,0,0,0.0504308704864627,0,0,0.16212332194044,0,0,0.0346538468559778,0.0153871755176882,0.00902169086863591,-0.00481711443569521,0,-0.0444388987759429
X3328.HK.EQUITY,0,0.267000792786616,0,0,0,0,0,0.0275715877215732,0,0,0,0.232652021808867,0,0.0430154936402993,0,0,0,0.14754279001996,0,0.00123066972255831,0,0.0786118473782662,0,0,0,0,0,0.0106261956087969,-0.00501479812061149,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.0902012108407247,0,0.032724681500697,0.036459277248365,0.0123730713004146,0,0,0,0,0,0,0.173022318688461,0,0.145588074728004,0,0,0.0554319597507952,0,0,0,0,-0.00453583240069965,0.00860147020191654,-0.0100064158634266,0.00974932954525282
