,X2892.TT.EQUITY,X5880.TT.EQUITY,X2867.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X2501.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X5876.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X2801.TT.EQUITY,X600848.CH.EQUITY,X601377.CH.EQUITY,X600663.CH.EQUITY,X2820.TT.EQUITY,X2855.TT.EQUITY,X5871.TT.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,X002939.CH.EQUITY,X2511.TT.EQUITY,X000656.CH.EQUITY,X002146.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2892.TT.EQUITY,0,0.0577671409221344,0,0,0,-0.00888590735918886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09638596718503,0,0,0,-0.00901953231105917,0,0,0
X5880.TT.EQUITY,0,0,0.00471895807553267,0,0,-0.00323973117170929,0,0.116508291162399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.22916737005004,0,0,0,0,-0.0469112859477321,0,0.128815272931001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.0387178706108043,0.124841685783792,0,0,0,0.00139036629118004,0,0,0,0,0,0,0,0,0,0,0,0.0695374412442961,0.0172449729572173,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.176044659719401,0,0,-0.00775759505282549,0,0,0,0,0,0,0,0,0,0,0,0.179913759636181,0,0,0,0,0,0,0,0,0.0306259450575385,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0.0745757085703408,0,0,0,0,0.0530695555099769,0,0,0,0,0,0,0,0,0,0.151588326256224,0,0,0,0,0.0563299910190303,0,0,0,-1.0842021724855e-19,0,0,0
X5534.TT.EQUITY,0,0,0.261114135351738,0,0,0.0178242870726453,0.0922194170396407,0,0,0,0,0,0,0,0,0,0,0,0,-0.123661168681339,0,0,0.261053288220647,0,0,0,0.0236836807567238,0,0,0
X2885.TT.EQUITY,0,0.119674875012464,0.0872870886890804,0,0,0.0127407013384441,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435470571838208,0,0,0.101098552303873,0,0,0,-0.0139893976367135,0,0,0
X5876.TT.EQUITY,0.0969959380219395,0,0,0,0,-0.00447885503711716,0,0,0,0,0,0,0,0,0,0,0,0.0745193238639872,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.0635835620159327,0,0,0.00515859219971735,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.14976137490931,0,0,0,0,0.00958693831001114,0,0,0,-0.00112803412222281,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
