,X5880.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X5876.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X2801.TT.EQUITY,X600848.CH.EQUITY,X601377.CH.EQUITY,X2820.TT.EQUITY,X600663.CH.EQUITY,X2855.TT.EQUITY,X2905.TT.EQUITY,X5871.TT.EQUITY,X002939.CH.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2511.TT.EQUITY,X000656.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X5880.TT.EQUITY,0,0,0,0,-0.00305219110417587,0.105731841888917,0,0.0644739475593064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.145915914123107,0,0,0,0.0017144063722039,0,0,0,0,0,0,0,0,0,0,0.0480429281940928,0,0,0,0,0,0.0141448429499338,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,-0.0155415719001559,0.0304379135960079,0,0,0,0,0,0,0,0,0,0.367398402258666,0.140271549780347,0,0,0,0,0,0,0,0,0,0.025026314596545,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0.0969448492865679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.371930569017594,0,0,0.183186232829167,0.00679805302632856,0,0,0,0,0,0,0,0,0,0,0.0734115458651516,0,0,0,-0.144814700806187,0,0.0525307351090816,0,0.21368582028484,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0.00965101149453293,0,0,0.0927110763163194,0,0,0,0,0,0,0,0.100482674868969,0.0528416763254162,0,0,0,0,0.00990810445097779,0,0,0,0,-0.00695323443497963,0,0,0
X5876.TT.EQUITY,0.0743438821093304,0,0,0,-0.00529155039448338,0.00758350958567103,0,0,0,0,0,0,0,0,0,0.080379308183174,0,0,0,-0.0100170587526707,0,0,0,0.0370937693546532,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0635718744321463,0,0,0,0.00303503372018483,0.0866582086480813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141367477652404,0,0,0,0,-0.014313190487939,0,0,0
X2801.TT.EQUITY,0.13426587326559,0,0,0,-0.00336794662181755,0.052448736365164,0,0,0,0,0,0,0,0,0,0.010470672691131,0,0,0,0,0,0,0,0,0,0,-0.00691720758681237,0,0,0
X600848.CH.EQUITY,0,0,0,0.0241448527903031,-0.000770932539984343,-0.0323557065136842,0,0,0,0.0327160322543258,0,0,0,0,0,0,0.0709145215447762,0,0.151477446726696,0,0,0.0125900941899566,0,0,0,0,-0.00475804899855569,0,0,0
X601377.CH.EQUITY,0,0,0,0,-9.0023822218391e-05,0.00178916427244645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379277959560009,0.212675639566726,0,0,0,0.00543480401970518,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600663.CH.EQUITY,0,0,0,0,0.00120987680460513,0,0,0,0,0,0,0,0,0,0,0,0,0.037407950233571,0.0222046878911379,0.00385329623222752,0,0,0.0696043569024087,-0.0196530842450309,0,0,-0.00416825153950127,0,0,0
X2855.TT.EQUITY,0,0,0,0.0723782695263934,0.0101748612354908,0.154638702159557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544217982389008,0,0,0
