,X2849.TT.EQUITY,X2892.TT.EQUITY,X2867.TT.EQUITY,X101.HK.EQUITY,X83.HK.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X6005.TT.EQUITY,X5876.TT.EQUITY,X2801.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X2820.TT.EQUITY,X2855.TT.EQUITY,X2905.TT.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X2897.TT.EQUITY,X3040.TT.EQUITY,X601377.CH.EQUITY,X2511.TT.EQUITY
X2849.TT.EQUITY,0,0,0,0.000784662187953967,0,0,0,0,0,0,0,-0.00328346152224053,0,0,0,0,0,0.0484939861276562,0,0,0,0,0.0191831337206772,0,0.0481200284043459
X2892.TT.EQUITY,0,0,0.0556820608269546,0.00221977766199707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0.00204119300127223,0,0,0,0,0.156801458943056,0.075702468044858,0,-0.0351988439385184,0,0,0,0,0,0,0.370585200132629,0,0,0,6.93889390390723e-18,0,0
X101.HK.EQUITY,0,0,0,0,1.00953103148996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.527465800794763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,-0.00178090835669477,0,0,0,0,0.0509954310343763,0,-0.00352882819988356,0,0,0,0,0,0.0439159041783363,0,0,0,0,0,0,0.0910823802550687
X2880.TT.EQUITY,0,0,0.0161573222951781,0.00230133662617891,0,0.151701986068385,0,0,0,0,0,0.00239991047269739,0,0,0,0,0,0.043668163583548,0,0,0,0,0.0305456096518767,0,0
X2548.TT.EQUITY,0,0,0,0,0.0020483326223636,0,0,0,0,0,0,0.00237564631415218,0,0,0,0.0051155307189281,0,0.104709791801632,0.201192338932564,0,0,0,0,0,0.0395343914850242
X2501.TT.EQUITY,0,0,0.0221301468637667,0,0.000421713977499832,0,0,0,0,0.0659148561486588,0,0,0,0,0,0,0,0.0159326883019353,0,0,0,0,0.0304063594848834,0,0.0686977638275677
X5534.TT.EQUITY,0,0,0.0355316480456927,0.053015445113249,-0.0720187855013144,0,0,0,0,0,0,0.00206793564491512,0,0,0,0.277623986963223,0,0.27925710192602,0,-0.00875045952972583,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.0424923899098045,0.0146080886512505,-0.0106376781519723,0,0,0,0,0,0,0.012740917873697,0,0,0,0,0,0.0183912303028428,0.0289341939115821,0,0,0,0.0358782062680051,0,0.07417150867194
X6005.TT.EQUITY,0,0,0.116366091980378,0,0.0221034860353401,0,0,0.151880584825144,0,0,0,0,0,0,0,0,0,0.264349909115443,0,0,0,0,0.181736698539988,0,0
X5876.TT.EQUITY,0,0,0.0357296079598799,0.0110403305941519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0.00206336836104064,0,0,0,0,0,0.0573486399800399,0,0,0,0,0,0,0,0,0,0,0,0,0.0220165843180969,0,0.0806434568758165
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.0149460203796729,0.00438127849181473,0,0,0,0,0,0.037235656559724,0,0.00358330414861841,0,0,0,0,0,0.182091484529319,0,0.00861592156087778,0,0,0,0,0.0667477238813245
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0.0424903807327044,0.00724901389104178,0,0,0,0,0.0132564946081119,0.092298898213405,0,0.0118903148118414,0,0,0,0,0,0,0,0,0,0,0.0647494002890721,0,0
X2905.TT.EQUITY,0,0,0.291453805582541,0.00760682847648598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392876406904738,0,0,0.0195879072866129,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.0372262906471611,0,0,0.0202894339495131,-0.0178031915995399,0,0,0,0,-0.0156887981302984,0,-5.34126518392108e-05,0,0,0,0,0,0,0.0631332446529871,0.0029984816096943,0,0,0.0153792975119519,0.0842823086280566,0.04248332643793
X2897.TT.EQUITY,0,0,0,0,-0.00450537966311372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312793820434436,0,0
X3040.TT.EQUITY,0,0,0,0.0124111434898938,0,0,0,0,-1.38777878078145e-17,0,0,0.0141561920254137,0,0,0,0,0,0,0,0.118022216338771,0,0,0,0,0.428501887137958
X601377.CH.EQUITY,0,0,0,0,-0.0094414778527797,0,0,0,0,0,0,-0.0017492204682743,0,0,0,0,0,0,0,0,0,0,0.0252419594165424,0,0
X2511.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
