,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.147841424922628,0,0,0,0,0,0,0,0.0100943246416334,0.196932569499633,0.0181650312228361,0,0,0.029099098370303,0,0,0.00436907116768947,0,0.0326308810938187
X1398.HK.EQUITY,0,0,0,0,0.46707431329469,0,0,0,0,0,0,0,0.105926847236488,0,0,0,0,0,0,0,0.00175993083390598,0,0.0416726098484265,0.0273299316419591,0.094737000795933,0.0238770290441031,0,0.0056615237914645,0.00616795626986298,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.196991081995775,0.163642988194247,0,0,0,0,0,0,0,0.194168948648034,0,0,0,0.0621320246630598,0,0.00876644295704445,0.0063954869676721,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.264777858655285,0,0,0,0,0.0117083809365014,0,0,0,0.233505797624596,0,0,0.136917843879407,0.0170703509278157,0,-0.00010050067126621,-0.00849970949626457,0,0
X939.HK.EQUITY,0,0.377194245739971,0,0,0,0,0,0,0,0,0,0.0277614760779095,0.0160235086923757,0.0229667670969975,0,0.126347665936113,0,0,0,0,-1.73472347597681e-18,0.10382067333442,0,0,0.168206525212218,0.00260039146163804,0.00805024280305394,0,0.0053197920045305,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00810041264172887,0.0235540951204476,0,0,0,0.29164192557593,0,0,0,0,0.144111211428051,0,0,0.0632769748148957,0,-0.00264160004803903,0.00218396247384673,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.229497754592541,0,0,0,0,0,0,0.0467228628787276,0,0,0,0,0,0,0,0,0.0838411726865244,0.126375419516636,0,0.0062988102363254,0.00826540457378261,0,0,0.0026752476449225,0,0
X5.HK.EQUITY,0,0.0905905270115708,0,0,0,0,0,0,0,0,0,0,0.128916255560015,0.0143193310023268,0,0,0,0,0,0,0,0,0.0192709326790002,0.204381671726048,0.0211892762158376,0,0,0.00680476794824525,0.0111654114785071,0.00356529335821526,0
X3988.HK.EQUITY,0,0.406856754135259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018681682804343,0,0.133413399785933,0,0.0486732870526188,0,0,0,-0.0102368484025935,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0915812475159261,0.0522811971816485,0,0,0,0.145048885716914,0,0,0.0111860715342167,0.000378422348724523,0.0632351116085106,0,0,0.00766624814931693,0,0,-0.000942474708322606,0,0
