,X2892.TT.EQUITY,X2849.TT.EQUITY,X5519.TT.EQUITY,X83.HK.EQUITY,X2867.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X6005.TT.EQUITY,X5876.TT.EQUITY,X2801.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X2820.TT.EQUITY,X2855.TT.EQUITY,X601377.CH.EQUITY,X600848.CH.EQUITY,X2905.TT.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,X600663.CH.EQUITY,X2511.TT.EQUITY
X2892.TT.EQUITY,0,0,0,0.00324797609452546,0.0812706270344169,0.0531671539828616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0.000854512272304627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466607718633233,0,0,0,0,0,0,0.0965007908001652
X5519.TT.EQUITY,0,0,0,0.00161429601934654,-3.46944695195361e-18,0,0,0.180471883995803,0,0,0,0.00259264550135547,0,0,0,0,0,0,0,0,0.0733412109926035,0,0,0,0.0590739959599473
X83.HK.EQUITY,0,0,0,0,0.0610208499987363,0,0,0.41626297158057,0,0,0,0,0.642732293281664,0,0,0,0,0.0335813298548987,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.133481350776561,0,0,0.00111482425859102,0,0,0,0.270966348579395,0,0.0675932827525135,0,-0.0313143910833587,0,0,0,0,0,0,0,0,0.367268375929368,0,0,0,0
X5880.TT.EQUITY,0,0,0,-0.00263465107123838,0,0,0,0,0,0.0281494558738567,0,-0.00391435867389898,0,0,0,0,0,0.0605303938411912,0,0,0,0,0,0,0.113710250903044
X2880.TT.EQUITY,0,0,0,0.00204206960934925,0.0246044356763372,0.0600279924056314,0,0,0,0,0,0.0129627474095512,0,0,0,0,0,0.0687651030053632,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0731778370974132,0,0.0160380511717674,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.130108489234726,0.00284516203140734,0.0340379157547644,0,0,0,0,0.00228909727619709,0,0.0260978972460303,0,0,0,0,0,0.167293323946327,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,-0.00988259442752106,0.0334638127933636,0,0,0,0,0,0,0.00785937736806598,0,0,0,0,0,0,0,0,0,0,0,0,0.165328932726052
X2885.TT.EQUITY,0,0,0,0.00451256671410124,-8.67361737988404e-19,0.0696620473270073,0,0,0,0,0,0.0103776910795451,0.113168990985475,0,0,0,0,0.0455359734775263,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0.0764519816592108,0.0172380949477659,0,0,0,0.307904231559167,0,0.0380414771455643,0,0,0,0,0,0,0,0.662280682969539,0,0,0.0483145520561428,0,0,0,0
X5876.TT.EQUITY,0,0,0,0.0130470822589162,0.116467921815866,0,0,0,0,0,0,0.00184610397440192,0,0,0,0,0,0.0224368149931738,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0.00205646829813979,0,0.147222169147851,0,0.0160960551403732,0,0.0490386602868369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494959685199484
X9940.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0483291648692522,0,0.00660784310622439,0,0,0,0,0,0.161270088147201,0,0,0,0.0157258271707346,0,0,0.296208290883895
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0.00957163184168002,0,0,0,0,0,0.156914574519578,0,0.0437790697403959,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0.0123041277661317,0,0,-0.00907165671692333,0,0,0,0.0383061081041338,0,0,0,-0.000413427410132463,0,0,0,0,0,0,0,0.0750416726712523,0,0,0,0,0.0131500151626565
X600848.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0.231519326935517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0.0129415472577401,0.109858216706444,0,0,0,0.0749586269815027,0.0347037812891762,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.165901762765287,0,0,0,0.378459497698582
X2897.TT.EQUITY,0,0,0,-0.00388344201393381,0.0420624916035776,0,0,0,0,0,0,0,0,0,0,0,0,0.0344180185674217,0,0,0,0,0,0,0
X600663.CH.EQUITY,0,0,0,0.00305990722616921,0,0,0,0,0,0,0,0.000942806606359794,0,0,0.0136221926805174,0,0,0.0127904269500548,0.0314123678827384,0.108021743115758,0,0,0,0,0
X2511.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
