,X101.HK.EQUITY,X2849.TT.EQUITY,X5519.TT.EQUITY,X2892.TT.EQUITY,X83.HK.EQUITY,X2537.TT.EQUITY,X2867.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X2801.TT.EQUITY,X5876.TT.EQUITY,X2885.TT.EQUITY,X1463.TT.EQUITY,X6005.TT.EQUITY,X601377.CH.EQUITY,X9940.TT.EQUITY,X2820.TT.EQUITY,X2855.TT.EQUITY,X3040.TT.EQUITY,X600848.CH.EQUITY,X1808.TT.EQUITY,X601108.CH.EQUITY
X101.HK.EQUITY,0,0,0,0,0.863389502870485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5519.TT.EQUITY,0,0,0,0,0.000621067143127138,0.000941047948201902,0,0,0,0,0.157170213995971,0,0,0,0,0,0,0,0,0,0,0.0486487700417011,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0.540565718435224,0,0,0,0,0.00508382849971308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2537.TT.EQUITY,0,0,0,0,0.128316124237105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256792737236841,0
X2867.TT.EQUITY,0.00276368675638739,0,0,0,0,0.00337624690681797,0,0,0,0.116499836772753,0,0.202350641913663,0,0,0,0,0,0,0.0262277015164849,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0.00779464493649472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.00197777660079547,0,0,0,0,0.00401562455214187,0.017341274659236,0,0,0,0,0,0,0,0,0,0.00515449701113941,0,0,0,0,0.00671979240135643,0,0,0
X2501.TT.EQUITY,0,0,0,0,-0.00191556512544824,0.012011870157314,0,0,0,0,0,0.0508815595488366,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0.00395994203814834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00799317996365294,0,0,0,0,0.0569451750718831,0,0,0
X5534.TT.EQUITY,0,0,0,0,-0.00947629633013621,-0.00234280558879942,0.161779930382045,0,0,0.367803315234277,0,0,0,0,0,0,0.00730525888521564,0,0,0,0.125297209704822,0.0101717743050567,0,0,0
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0.0114786394213097,0,0,0,0,-0.00211110474729964,0.0810471228398791,0,0,0.0772189663734113,0,0,0,0,0,0,-0.00952968551525188,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0.00576715079168148,0,0,0,0,0.00252500403303188,0.0140981599772797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0.0225695491275979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41053297025974,0,0,0
X601377.CH.EQUITY,0,0,0,0,-0.00835842950806621,-0.00135684470600641,0,0,0,0,0,0,0,0,0,0,-0.00368820198083731,0,0,0,0,0.022995134109664,0,-2.16840434497101e-19,0.0635417803130007
X9940.TT.EQUITY,0.00487530227605483,0,0,0,0,0.0016466052328711,0.0435533968606626,0,0,0,0,0.0409340553804398,0,0,0,0,-0.00922957663650175,0,0,0,0.131332722879752,0,0,0.0749496669294295,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0.202092722151148,0,0.0523272427021297,0,-0.2143699473863,0,0,0,0,0,0,0,0,0,0,0,0.0962299900799797,0,0,0,0.178047640498555,0,0,0.530503912075321,0
X600848.CH.EQUITY,0.0207909007723301,0,8.67361737988404e-19,0,-0.0193035794564301,-0.00124471544352414,0,0,0,0,0.0029730016544737,0,0,0,0,0,-0.00291629513709983,0,0,0,0,5.42101086242752e-20,0,0,0.0471316068352775
X1808.TT.EQUITY,-0.00335262949513069,0,0,0,0,0.0634763474521167,0,0,0,0,0,0,0,0,0,0,-0.0319319792236038,0,0.131523903742229,0,0,0.112604850382591,0,0,0
X601108.CH.EQUITY,0.00169533945373932,0,0,0,-0.00190206683721661,-0.00257793913301267,0.00481087302124318,0,0,0,0,0,0,0,0,0,0.0054677291170981,0.235944167788649,0,0,0,0.0406189636073802,0,0.0243104422716275,0
