,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0155489445438556,0.161507512761794,0,0,0,0,0,0.0649764238422773,0.00914625267103638,0,0,0.0392717660448083,0.202904606369503,0.0394874593547044,0,-2.16840434497101e-19,0,0,-0.0205037336516602
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0940715277087888,0,0,0,0,0,0,0.0673005975938694,0.182722738314381,0,0,0,0,0.0311127499186671,0,0.0057380375647788,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115599249283711,0,0,0,0,0,0.0527755214891823,0.0651661237334387,0.084720944073647,0,0,0.172608635616219,0.0542782146550186,0,-0.00476087153116743,0,0,-0.0924036488480809
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0305406228492306,0.0253850424393516,0,0,0,0,0,0.0907618613301729,0.24987224434268,0,0,0,0,0.0581894700741091,0,0.0123230622991008,-0.00947289299793814,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417864506508886,0,0,0,0,0,0,0.126679555430371,0,0,0,0.0942255365680623,0.0116772084965815,0,0,-0.000987196027859642,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.120863694626231,0.135406581694016,0,0,0,0,0,0.0284024198648046,0.200680810550512,0,0,0.0751769766105936,0.0525335606149014,0.0469810312869871,0,0.00839353501372557,0.013031291783211,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0953658490598121,0,0,0,0,0,0,0.0422031755478547,0.0183568993508932,0,0,0.135380062496957,0,0.0570440239533881,0,0.000370141423664753,-0.00325370918512614,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170086437222251,0,0,0,0,0,0.103332315602685,0.118545918948462,0.0156299606485454,0,0,0.0514093163900702,0,0,-0.00730594950193947,0.00175730922366805,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294993882391782,0,0,0,0,0,0.107278908207909,0.0631122137364397,0,0,0.0711291085457982,0,0.0369177201917979,0,0.00553153699495979,-0.00702980588804623,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109956221908583,0,0.0520726797431482,0,0,0,0.150826694675051,0,0,0,0,0.307115783661462,0,0,-0.014074368454786,0,0.000952403571091124,0.0234513491867314,0.0559875445610583,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355054443663111,0,0,0,0.119016067529626,0,0.0373127421374543,0.137122991757777,0,0,0,0,0,0.0952221866149762,0.0095805874733325,0.00573275782749604,0,0
X1299.HK.EQUITY,0,0,0,0,0.113410465289317,0,0,0.19500866140687,0,0,0,0,0.0164660697438834,0.349614319180268,0,0,0,-0.0302180373317246,0,0,0,0,0,0,0.203574708443639,0.0433125805698433,0,-0.0111987000122366,0.0139751023414019,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427804666137006,0,0,0.179687290913653,0,0,0,0,0,0,0.249202218557262,0,0.00170960996088285,0,0.0327787599363824,0,0.0140135819300706,0
X2628.HK.EQUITY,0,0,0,0,0.173953793641679,0,0,0,0,0,0,0,0.318338972793533,0,0,0,0,0,0,0.246322252932156,0,0,0,0,0.195496719841116,0.0502282775454529,0,-0.0177506272037533,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977474596950758,0,0,0,0.00287902792222487,0,0.0335973526297677,0.287310071159313,0,0,0,0.126239517180129,1.0842021724855e-19,0,0,0.00978495931279102,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150688227148936,0,0,0,0,0.143933163134227,0.128649211713836,0.0303275530562335,0,0,0,0,0.0399963529324977,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0103167063058393,0.0498231848567913,0,0,0,0.0436311380911141,0,0.0751450130462958,0.342089234190001,0,0,0,0.0457550497667156,0.0861476479648808,0,0,0.00340437529769088,0,0
X000002.CH.EQUITY,0,0,0.11198835849336,0,0.0227506466683745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350545551151904,0.0963066191475743,0,0,0.154642295588648,0.339525530970458,0,0,-0.0107832359519249,8.67361737988404e-19,0.0354307212514789,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0331074130966332,0.0936939820519868,0,0,0,0,0,0.222576112483926,0.134890641076363,0.054419288397663,0,0,0,0.162443132269644,0,0.0183075829098858,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00467544335154582,0.375916597737939,0,0,0,0,0,0,0,0,0,0.651474857902672,0,0.0218349029015783,0,-0.0111595131657406,0.00328427553491017,0,0.0643516074606579
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344484761212142,0,0,0.470445548430613,0,0,0.102400059624035,0,0,0,0.0359066420331934,0,0.0359056147895642,0,-0.00213032363610239,0.000674366957197346,0,0
X16.HK.EQUITY,0,0,0,0,0.0727555539483928,0,0,0,0,0,0,0,0,0.434227823863903,0,0,0,0,0.13851497431657,0,0,0,0,0,0.0669034428059747,0,0,0.00691620328214228,0.00915094380132556,0.0601302692762141,0
X388.HK.EQUITY,0,0,0,0,0.0814921047394922,0,0,0.115634738678643,0,0.0110255693290983,0,0.0437327705814753,0,0.213836732068466,0,0,0,0,0,2.16840434497101e-19,0.123614722453636,0,0,0,0,-0.0461846559308091,0,-0.0100869963543954,0.00157701043392131,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.27757023519653,0,0,0,0,0,0,0.296872020937923,0.294513772980389,0,0,0,0,0.00251412441016764,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373969956358239,0,0,0,0.0689947480796099,0.244227291352723,0,0,0.0750570865895516,0,0,0,0,0,-0.0171271871711248,0,0.0463715052413487,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.205491218397344,0.623963767337597,0,0,0,0,0,0,0.395890050580681,0,0,0,0.0676754160363949,0,0,0,0,-0.722416307853975,-0.0684608099735645
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0.127157731548189,0,-0.253131929496272,0.257809446971876,0,0,0,0,0,0,0,-0.338679135162202,0.172885872887674,0,0,0,0,-0.238807805349405,0.0431795230196582,-0.0536971078795252,-0.126403181781854
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.99637972223347,1.21162253267613,0,0,0,-0.116703099344767,0,0,0,-0.794746734309045,0,0,0,0,-3.73718973485947,0,0.162885576971257,-0.192709274161472,-0.598432104491356
TED.SP,0,0,0,0,0,0.507999938430279,0,0,0,0,0,0,0,0,0,0,0,0.797111982051493,-0.349073836747538,0,0,0,0,0,0,-0.264708816661944,0,-0.0289688506254789,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.129394863921777,0,0.639341762655198,0,0,0,0,0,0,0.0226065250840593,0,0,0,0,-0.845967598802953,0,0.0100564859753341,4.30222676546885e-05,0,-0.694723772080588
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490995765026881,0,0,0,0,0,0,-0.348352403473322,0.0444954592983943,0,-0.220645424632591,-0.101062415822008,-0.310993188143278,0,0.0159130738567196,-0.0534891478617439,-0.220643630292004,0
