,X2889.TT.EQUITY,X2838.TT.EQUITY,X2884.TT.EQUITY,X2628.HK.EQUITY,X5522.TT.EQUITY,X9941.TT.EQUITY,X101.HK.EQUITY,X2849.TT.EQUITY,X5519.TT.EQUITY,X83.HK.EQUITY,X2540.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2548.TT.EQUITY,X2537.TT.EQUITY,X2880.TT.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X2501.TT.EQUITY,X2801.TT.EQUITY,X2867.TT.EQUITY,X2820.TT.EQUITY,X000656.CH.EQUITY,X2885.TT.EQUITY,X601377.CH.EQUITY
X2889.TT.EQUITY,0,0.259919355678963,0,0,0,0,0,0,0,0,0,0,0,0,1.08763516628821e-06,0,0,0,0,0,0,0,0,0,0
X2838.TT.EQUITY,0,0,0,0,0,0,-3.30872245021211e-24,0,0,0,0,0,0,0,0,0.0744542370243858,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0.000832934371702967,0,0,0,0,0,0,0,0,0.323079704304588,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0.494588676793488,0,0,0,0,0,0,0,0.0043411440875653,0,0,0,0,0,0,0,0,0,0
X5522.TT.EQUITY,0,0,0,0,0,0,0,0,0.11238486414098,-0.00518473789696836,0,0.160935074291984,0,0,0.000488529468872412,0.154018953783919,0.118848552017061,0,0.00507636345674539,0,0,0,0,0,0
X9941.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X101.HK.EQUITY,0,0,0,0.615000805683017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0.0380181820798598,0,0.00142557522345512,0,0.0313500796288234,0,0,0,0.167416281365609,0,0,0.14846057990857,0,0,0,0,0,0,0,0,0
X5519.TT.EQUITY,0.0227880464298715,0.0379031031305519,0,0,0,0,0.00160023898584491,0,0,0,0,0,0.139769158188023,0,0,0.137384403198114,0,0,0.0882409091798416,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.0509865660376549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2540.TT.EQUITY,0.0285688919162538,0,0,0,0,0,0,0,0,-0.00416620512926429,0,0,0,0,0,0,0,0.0282040740742767,0,0,0,0,0,0.180087616006267,0
X2892.TT.EQUITY,0,0,0,0,0,0,0.0024587801373101,0,0,0,0,0,0,0,0,0.303648825415049,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.175897593766905,0,0,0.00708899527727436,0.314532801836831,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0.0152823636657422,0,0,0,0.0613862277642804,0.0043196065291922,0,0,0,0,0,0,0,0,0.0394114234787473,0.0467381547258347,0,0.0488133102995906,0,0.0419260973256457,0,0,0,0
X2537.TT.EQUITY,0,0,0,0,0,0,0.0526701060322764,0,0,0,0,0,0.200440270964738,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0.00137813513377696,0,0,0,0,0,0,0,0,0.368298900680202,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0.0575648170623324,0,0,0.190077907640836,0,0,0,0.112646976935865,-0.00666463853298872,0,0,0,0,0,0.189742756450873,0,0.00494912075348099,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0811025289030393,0.0411529682006525,0,0.00787249205136501,0.289333776419592,0.0700591752720066,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0,0,0,0.000489711118787183,0,0,0,0,0,0,0,0.00187417222080428,0,0,0.00102660915989142,0,0,0,0,0,0.0638325779216923,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521200725222387,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160538265257992,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,-0.00501520320496976,0,0,0,0.00445854595128727,0,0.00197995191014647,0,0.00286827552357583,0,0,0,0.0337689926215029,0,0.00613761935950503,0,0,0,0.00315043639421952,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.00257310748723704,0,0,0,0,0,0,0,0,0.282600333378236,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00921429709470199,0,0,0.00803862606658534,0,0,0,0,0,0,0,0,0,0,0,0
