,X2889.TT.EQUITY,X2884.TT.EQUITY,X2838.TT.EQUITY,X101.HK.EQUITY,X2628.HK.EQUITY,X9941.TT.EQUITY,X83.HK.EQUITY,X5519.TT.EQUITY,X2540.TT.EQUITY,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2537.TT.EQUITY,X2548.TT.EQUITY,X2880.TT.EQUITY,X2867.TT.EQUITY,X5534.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X1463.TT.EQUITY,X2801.TT.EQUITY,X2820.TT.EQUITY,X9940.TT.EQUITY,X2885.TT.EQUITY,X000656.CH.EQUITY
X2889.TT.EQUITY,0,0,0,0.00757782593301776,0,0,0,0,0,0,0,0,0,0,0.24748329224129,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0.00137074666197499,0,0,0,0,0,0,0,0.0135472655147037,0,0,0.209445335937137,0,0,0,0,0,0,0,0,0.00698005361490328,0
X2838.TT.EQUITY,0,0,0,0.0192181569550117,0,0,-0.0211806130854318,0,0,0,0,0,0,0,0.0679969813192485,0,0,0,0,0,0,0,0,0,0
X101.HK.EQUITY,0,0,0,0,0.767279647494703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0.734534594914254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9941.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0.0505147781966225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5519.TT.EQUITY,0.0431325741214396,0,0,0,0,0,0,0,0,0,0,0,0.0051223878317884,0,0.239136847704781,0,0.025695950322441,0,0,0,0,0,0,0,0
X2540.TT.EQUITY,0.0320142425896434,0,0,0,-0.00243476955084879,0,0,0,0,0,0,0,0,0,0,0,0,0.00265616365424387,0.0100355379367422,0,0,0,0,0.194352497359342,0
X2849.TT.EQUITY,0,0,0,0.000584792641279693,0,0,-0.00103189469780176,0,0,0,0,0,0,0,0.224338073724838,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0.00166916512810023,0,0,0,0,0,0,0,0,0,0,0.185105469563809,0,0,0,0,0,0,0,0,0.181594707897047,0
X5880.TT.EQUITY,0,0,0,0.0205543467078397,0,0,-0.0250500473044741,0,0,0,0.167373090280089,0,0.00671446209056372,0,0.299206794909391,0,0,0,0,0,0,0,0,0.0122348544365032,0
X2537.TT.EQUITY,0,0,0,2.16840434497101e-19,0,0,0.00583475641026451,0,0,0,0,0.201209771834881,0,0,0.0133456565757993,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.00701128384138361,0.00323010735376677,0,0.0515486107649099,0,0,0,0,0,0,0,0,0.0374994960583858,0,0.0541837237818358,0.0589730252875667,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.00113376543363816,0,0,0,0,0.343077240850099,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.00237532184561744,0,0,0,-0.00711101274339573,0,0,0.352244967124171,0,0,0,0,0,0,0.174182376964384,0.0126503343190679,0,0.0136645762724276,0,-0.053671605910095,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.108467726379973,0,0,0,0.294623474880147,0,0.0560980519251453,0,0,0,0,0,0.0687505434301326,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0.0310730049471539,0,0,0,0,0.0460443369714051,0,0,0,0,0,0.046185318643175,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,-0.00766948752251039,0,0,0.00811021059684025,0,0,-0.00855776429800222,0,0,0,0,0,0,0,0,0,0,0,0.000468275175255004,0,0,0,0,0.0718809547110518,0
X2820.TT.EQUITY,0.00995970805729357,0,0,4.30030078159102e-05,0,0,0,0,0,0,0.115281182888002,0,0,0,0.111680650351024,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0,0.0120562873534986,0,0,-0.00485160516237584,0,0,0,0,0.168221724259775,0.00826950280256701,0,0,0,0,0.267943742880112,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0.00231231114494016,0,0,0,0,0,0,0.121945374689777,0,0,0,0.389814627906254,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,-0.00528952671052154,0,0.00329163405351784,0,0.00057714047892079,0,0,0,0,0.0141269368456519,0,0.0340713308434084,0,0,0,0,0,0.000639694019142392,0,0,0,0,0,0,0
