,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444451263205057,0,0,0,0,0,0,0,0.0528240848389919,0,0,0.211678916064542,0.032263040202086,0,0.0169024049288401,0,0,0
X1398.HK.EQUITY,0,0,0,0.0577960061383667,0,0,0,0,0,0,0,0.0724231323046095,0,0.161502273891542,0,0,0,0.0899105440231146,0,0,0,0.0536778300565428,0.127760280958486,0,0,0.0316248442620875,0,-0.000599218966504945,0,0,-0.0459484139002623
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217712454240332,0.257694838281101,0,0,0,0,0,0,0.253781543270764,0.00640378215488535,0,0.0148546424140366,0.00256152870595961,0,0
X939.HK.EQUITY,0,0.392369632307228,0,0,0,0,0,0,0,0,0,0,0,0.0785503342920576,0,0,0,1.38777878078145e-17,0,0,0,0.0838622869371173,0.0790087615113648,0,0.0159129096545739,0.0556450710327738,0,-0.00468550801333243,0.0102024084529735,0.00798722206380032,-0.0135069688138991
X601318.CH.EQUITY,0,0,0,0,0,0.158476946559149,0,0,0,0.128950378202622,-0.0122729082478068,0,0.167246838040914,0.0313179043436754,0,0,0.111885406637972,0,0,0,0,0.0599998922004908,0.0698940397398485,0,0.0400396602599189,0.0337453325631351,0,0.00776732854823873,0.00547521267336532,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397048018299885,0,0,0,0,0,0,0,0.0749839067985466,0.0616163285252593,0,0.0451668779578571,0.0332735586988775,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349148977027403,0,0,0,0.10976887881459,0,0,0.130854642141827,0.0502790524922927,0,0.00800395651176256,-0.00203353813929106,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.345812514027987,0,0,0,0,0.0491832034828604,0,0,0,0,0,0.0673666185026077,0.106494369484741,0,0,0.0421682738372931,0,0.00506935816477719,-5.42101086242752e-20,0,-0.0505094784935461
X601988.CH.EQUITY,0,0,0.0740170540202797,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0723235155123482,0,0.0267051042623524,0,0,0.119429475281374,0,0,0.0929266591047042,0.0151482044468077,0,0,0,0,-0.00896848595826288
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.184061334169131,0,0,0.179253011721999,0,0,0,0,0,0,0,0.0277925052769651,0,0,0.216539666747115,0,0.0304067171839211,0,0.0252263249389272,-0.0252595546618996,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.131829439202296,0.307128549349465,0,0,0,0,0,0.0425704151006966,0,0,0.191860422134211,0,0,0.0473286949996694,0,-0.0124539332843859,0.0190931212060009,-0.0243389307256633,0
X5.HK.EQUITY,0,0.177261716416453,0,0,0,0,0,0,0,0,0.17231905551127,0,0,0,0,0.295039459027025,0,0,0,0,0,0,0,0,0,0.0071733992992799,0,-0.00962888202813117,0.0252690856187997,0,-0.208847720798245
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417712165230658,0,0,0,0,0,0,0,0.0488640235366118,0,0,0.328450380675401,0,0,0.0309752624662028,-0.00989938496506841,0.0513621868813658,0
X2628.HK.EQUITY,0,0,0,0,0,0.0825450376351954,0,0,0,0,0,0,0.101275536154519,0,0,0,0,0,0,0,0,0.299153822338787,0.533469728316582,0,0,0,0,-0.00764966272005454,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330145770873372,0,0,0,0.354505671487325,0,0,0,0.102540064967477,0,0,0.0281415793864047,0.0193159972270989,0,-0.00113850816821075,0.00198317705678524,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0953019028819546,0.0312034246429051,0,0,0.192609513574522,0,0,0,0,0,0,0,0.0376131284447584,0.164736969348871,0,0,0.019632410929012,0,0,0.0051525267480867,0,-0.110321446336693
X601166.CH.EQUITY,0,0,0.0697627475864757,0,0,0,0,0,0,0,0,0,0.0916440196698128,0.0811611213217204,0,0,0,0.00403025716487174,0.0911620881825764,0,0,0,0.0143709839069652,0,0.332528964230201,0.04876312031211,0,0,0.00531953209369307,-0.0154482145310206,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974847710211837,0,0,0,0,0,0,0,0.181557420962554,0.117778280379433,0,0.253134550282872,0.0609364277056337,0,0.0164658276263481,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532349773421645,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0.366185878714291,0,0.408380461312531,0,0.0409361164254906,-1.73472347597681e-18,0.0136131108612517,0.0111271383983823,0
