,X2889.TT.EQUITY,X2884.TT.EQUITY,X2628.HK.EQUITY,X2838.TT.EQUITY,X101.HK.EQUITY,X83.HK.EQUITY,X9941.TT.EQUITY,X5519.TT.EQUITY,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2537.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X2801.TT.EQUITY,X2820.TT.EQUITY,X1463.TT.EQUITY,X2885.TT.EQUITY,X5876.TT.EQUITY,X000656.CH.EQUITY,X3040.TT.EQUITY
X2889.TT.EQUITY,0,0,0,0.210778592703191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954004773275644,0.082368234928664,0,0.0251570151473141
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0349822405356872,0,0,0,0,0.074123238982414,0,0.00806942118484173,0,0,0,0,0,0.162455754683454,0,0
X2628.HK.EQUITY,0,0,0,0,0.295703380372198,-0.0362675813126012,0,0,0,0,0,0.032493286683736,0,0,0,0,0,0,0,0,0,0,0.201172787213032,0,0
X2838.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659923463484997,0,0
X101.HK.EQUITY,0,0,0.385768951497665,0,0,-0.0515076865355558,0,0,0,0,0,0,0,0,0.132135261893932,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9941.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0200821224436391,0,0,0,0,0,0,0,0,0,0,0,0,0.0143943687018289,0,0
X5519.TT.EQUITY,0.0483646269274446,0,0,0,0,0,0,0,0,0.0125805459196577,0,0.00430652604104111,0,0,0.245140190227269,0,0,0,0,0,0,0,0,0,0.0386685665646481
X2849.TT.EQUITY,0,0,0.0960959782956708,0,0.0108624560272947,-0.00182027888614804,0,0,0,0,0,0,0,0,0.0778838715725052,0,0,0,0,0,0,0,0.195305125329696,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0647434222605001,0,0,0,0,0,0,0.00160057122381855,0,0,0,0.410573095803231,0,0,0
X5880.TT.EQUITY,0,0,0,0,0.0172967828045118,0,0,0,0,0.0450017754978074,0,0.0106889543886774,0,0,0.141813877737357,0,0,0,0,0,0,0,0.375431117183357,0,0
X2537.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09822440470938,0,0,0,0,0,0,0,0.100816363962528,0,0
X2548.TT.EQUITY,0,0,0,0,0.0660945420466305,0,0.0513529435777287,0,0,0,0,0,0,0,0.0334244054194261,0,0.0614023165097912,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0.0182403339292401,0.00567118404666891,0,0.381005870473031,0,0,0,0,0,0,0.150938755762827,0.0224854231170517,0.0265023225539774,0,0,0,-0.0507996761965433,0,0.00312169894681003,0,0
X2880.TT.EQUITY,0,0,0,0,0.0135038188678194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301343007079764,0,0
X2867.TT.EQUITY,0,0,0,0,0.0512936721997682,0,0,0,0,0.0861117119573013,0.00516988903757546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0.130222822956084,0,0,0,0,0.0433511355843091,0,0,0,0,0.273704871727503,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0,0.017812969614836,0,0,0,0,0,0,0.00354955740488444,0,0,0,0,0,0,0,0,0,0.0526411772486185,0.0566594548533779,0,0.0217442847989129
X2820.TT.EQUITY,0.0438480470399446,0,0,0,0,0,0,0.0753735498614012,0,0.0943230764077701,0,0,0,0,0,0,0,0,0,0,0,0,0.171647802086425,0,0.0159769439889429
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.120283051284442,0,0,0,0,0,0,0,0,0,0,0,0,0.25669627640338,0,0
X5876.TT.EQUITY,0,0,0,0,0.0290918966875425,0,0,0,0,0,0.240359977095966,0,0,0,0.21546086997317,0,0,0,0,0,0,0.138611797851851,0,0,0
X000656.CH.EQUITY,-0.00379661918186919,0,0,0,0,0,0,0,0,0,0.00980527535589639,0,0,0,0,0,0,0,0,0,0,0,0.0252097526242177,0,0
X3040.TT.EQUITY,0.0700687830126064,0,0,0,0,0,0,0.269976638747798,0,0.0730009644418769,0,0.0576668876671088,0,0,0,0.0510196347592547,0,0.0982899171303489,0,0,-0.0975159393804616,-3.46944695195361e-18,0.228742142129466,0,0
