,X83.HK.EQUITY,X2628.HK.EQUITY,X101.HK.EQUITY,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X2548.TT.EQUITY,X3040.TT.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X1463.TT.EQUITY,X2820.TT.EQUITY,X5876.TT.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY,X9940.TT.EQUITY,X1808.TT.EQUITY,X2855.TT.EQUITY,X2905.TT.EQUITY,X000656.CH.EQUITY,X600848.CH.EQUITY,X2505.TT.EQUITY
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,-0.0279395827552537,0,0.301970708200508,0,0.0638897775517935,0.0423179439390552,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0
X101.HK.EQUITY,-0.0202978929138839,0.395327669518151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164946185990932,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0.160119538103674,0,0,0,0,0,0,0,0.171930330693238,0,0.02424957487608,0,0,0,0.115986277275335,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0.0138335115697753,0,0.0645696362617659,0,0,0,0,0,0,0.405605401431285,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0.00899573997642101,0,0,0,0,0,0,0,0,0,0,0.43592026956237,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.0557604483578722,0,0,0,0,0,0,0.0461255917723495,0,0.0206488952593582,0,0,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,-0.0211555155482532,0,0,0,0.217466371962576,0,0,0,0,0,0,0,0.0851030324195563,-0.0637741695526904,0.292617366568186,0,0,0,0.255761493658798,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0.0688056959437927,0,0.213254490528906,0,0.136709584628699,0,0,0,0,0,0,0.00385274523225023,0.131959257131944,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324341182747313,0.0146114944802861,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0.060453710698049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496355854065162,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0.142619303398954,0,0.0209841774404473,0,0,0,0,0.223376442171589,0,0,0,0,0,0,0,0,0.0458173980159602,0,0,0.116636866853209,0,0,0
X6005.TT.EQUITY,0.0131081331154703,0,0,0,0.0314680826667362,0,0,0,0,0,0,0,0,0,0,0.0348248684894635,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0.114199682423327,0,0,0.0518749290052044,0,0.113477529500952,0,0,0,0,0,0.0527503203138183,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0.0529851313019767,0,0,0.164522374151497,0,0,0,0.221592527331249,0,0.0629125750665846,0,0,0,0,0.17226015154798,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,-0.0134069297108504,0,0,0,0.28736954175591,0,0,0,0,0.305918733148811,0,0,0,0,0,0.0591694541257106,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0.0248642671055644,0,0,0,0,0,0,0,0,0,0.00331729547392601,0,0,0.0926792353918132,0.0764849392789574,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.084342963485695,0,0,0,0,0.078570362637868,0,0,0,0.227571111099431,0,0,0,0.279397822040174,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0.0190752134761915,0,0,0,0,0,0,0,0,0.0066068627427584,0,0,0,0,0,0.300258747537867,0,0,0,0,0,0.0987093087862594,0,0,0
X2855.TT.EQUITY,0.000339796313532381,0,0,0,0,0,0,0,0,0.178155736304162,0,0.0664635969003644,0,0,0,0.128644238840446,0,0,0,0,0,0.0176052140522714,0,0,0
X2905.TT.EQUITY,0,0,0.0150781185026712,0,0,0.0944527733499477,0,0,0,0.160426704030762,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0608683299974513,0,0,0,0,0
X000656.CH.EQUITY,0,0.0124278280182353,0,0,0,0.0100043401807072,0,0,0,0,0,0,0,0.000116451604412322,0,0.0119739014567343,0,0,0,0,0.0086395016418044,0,0,0,0
X600848.CH.EQUITY,-0.00255209051134628,0,0.00578688170003144,0,0,0,0,0,0,0,0,0,-0.0015551693981064,0.0038242845312048,0,0,0,0,0,0,0,0.0116891012464814,0,0,0
X2505.TT.EQUITY,0,0,0.0299699181041034,0,0,0,0,0,0,0,0,0,0,0.00230786246939663,0,0.0274635151089317,0,0,0,0.0501427155956672,0,0,0,0,0
