,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0416085778856536,0,0,0,0,0,0,0,0,0,0,0,0,0.313243999631359,0,0,0,0,0,0,0.0187971596821966,0,0.0150109485499242,0,0.00320315552392685,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0842379232996117,0.235263509920151,0,0,0,0,0,0,0,0,0,0,0.160970476197225,0,0.0262866596557412,0,0,-0.00238139105891388,0,-0.062403528799603
X939.HK.EQUITY,0,0.0483617421641908,0,0,0,0,0,0,0,0,0,0,0.112432869262882,0,0,0,0,0,0,0,0,0,0,0.146358162929871,0,0,0,-0.00113638092735416,0.0267895441095225,-1.73472347597681e-18,-0.102444932438563
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.297739425159719,0,0.282660993647318,0,0,0,0,0,0,0,0,0.0152985923131385,-0.00698103791976539,0.00828728200233527,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.291647275393508,0,0.130451777632364,0.0315417745349731,0,0,0,0.0787677959989849,0,0,0,0.051853661702779,0,0.0245121499869704,0,0,0,-2.16840434497101e-19,-0.013243838944285,0.00559548138186649,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.329373752719417,0,0,0.0196842011923118,0.107412368601526,0,0,0,0,0,0,0,0,0,0.0840747933553413,0,0,0,-0.00216579665396132,0.0110308229437909,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774167110759498,0,0,0.13459650285534,0,0,0.104648880383829,0,0,0,0.031620582752995,0,0.0275595646956868,0,-0.0123611646441126,-0.00716706654892132,0,-0.000178999469114591
X601988.CH.EQUITY,0,0,0,0.14640728412863,0,0,0,0,0.126867308078816,0,0,0,-0.0544574099871652,0,0,0,0.0924597932075546,-0.0272083182210359,0,0,0.0815340805919621,0.0273618160772941,0,0,0,0.0169674015975244,0,0.00259105400582763,0.00328264846262459,0,-0.0824170253628024
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.220691425065496,0.0689029135216997,0,0,0,0,0,0,0,0,0,0.029920470954542,0,0.199666913555906,0,0.00758330627355891,0,0,0,0,-0.107641553358295
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0677683348086513,0,0.203048264489654,0,0,0,0,0,0,0,0.0358744447567301,0.471163035865053,0,0,0,0,0,-0.00163903007951865,0.0107076959428309,-0.051801291081936,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.401106909112122,0,0,0,0,0,0,0.0843113955694208,0,0.0897931612344068,0,0,0.575400899369582,0.0298719180768171,0,0.011429730295238,0.0153185474102219,0.0454704044090459,0
X5.HK.EQUITY,0,0.163378497503301,0,0,0,0,0,0,0,0,0.20094818049574,0,0,0.0101423936913116,0.255371203834686,0,0,0,0,0,0,0,0,0.0308774880793348,0,0.0290125803836261,0,-0.0207240180842341,-0.00597285372564127,0,-0.204916000257026
