,X5.HK.EQUITY,X2628.HK.EQUITY,X101.HK.EQUITY,X2537.TT.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X3040.TT.EQUITY,X2885.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X5876.TT.EQUITY,X2820.TT.EQUITY,X2905.TT.EQUITY,X2801.TT.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X2855.TT.EQUITY
X5.HK.EQUITY,0,0.0651575372675365,0,-0.00528557360257779,0,0,0,-0.0010617745724055,0,0,0,-6.7762635780344e-21,0,-0.00623497423969134,0,0,0.00181751672955267,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0.141120079219876,0,0,0,0,-0.0464067919715551,0,0,0,0,0,0,0,0,0,0,0.229455295136199,0,0,0,0,0,0
X101.HK.EQUITY,0,0.506143216441711,0,0,0,0,0,-0.0439321231907999,0,0.124254136345258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2537.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.142673815097635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0.00113756414446982,0,0,0,0,0,0.100438706704745,0,0,0,0,0,0.13743849647073,0,0,0.0668608246769141,0,0,0,0,0,0
X2849.TT.EQUITY,0,0.0398407300070643,0,-0.00723460048689823,0,0,0,-0.0265374661848247,0,0.143498131529111,0,0,0.158278886296846,0.0151300175506355,0,0,0,0,0.125595039132313,0,0,0,0.035327130102865,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,-0.00200199081877135,0,0.158058730615725,0,0,0,0,0,0.0125076331160573,0,0,0.0451590768885969,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.253560169292809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423525050076664,0,0,0.226687919260913,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,-0.000517267059481158,0,0,0,0,0,0.0627584842808999,0,0,0.0206428443377619,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761818302125309,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0.0569284580416481,0,0.0103911442115578,0,0,0,0,0.194527106817641,0,0,0,0,0,0.0529678662322768,0,0.155568368018277,0,0,0.0757583951419042,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292855859751963,0,0,0,0,0,0
X3040.TT.EQUITY,0,-0.033712170644677,0,0,0.279451575297169,0,0,0.00122276099529818,0,0,0,-0.021108800769235,0,0.0398758945498936,0,0,-0.0693700064379989,0,0,0.256643486191931,0,0,0.0606094097364942,0,0
X2885.TT.EQUITY,0,0,0,0,0.355014573178416,0,0,-0.0188340015061993,0,0.208917527108917,0,0,0,0,0,0,0,0,0.101743573221822,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.111583737004496,-0.00433055930065243,0,0,0,-0.0254635712881335,0,0.0320720109635035,0,0,0.0293890373010758,-0.0142134672483514,0,0,0,0,0.305470626985546,0,0,0,0,0,0
X5876.TT.EQUITY,0,0.0795819079386566,0,-0.00490045858625632,0,0,0.200638768344671,0,0,0.194953953865598,0,0,0,0,0,0.224615930396784,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0.00297949378492085,0,0.099045568208931,0,0,0,0,0.043811434772886,0.138256698397975,0,0,0.0212345037308106,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,-0.00255934904582281,0,0,0.104747629746381,0,0,0.155368132422562,0,0,0,0,0,0,0,0,0,0,0,0,0.0471440191333892,0,0
X2801.TT.EQUITY,0,0,0.0426900844384549,0,0,0,0,0,0,0,0,0,0,0,0,0.191712074292113,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0151146237147907,0,0,0,0,0,0,0,0,0.279200738609242,0,0.0814698421245383,0,0,0,0
X600848.CH.EQUITY,0,0.00652361798421302,0,-0.000954691271769899,0,0,0,-0.00263746371205183,0,0,0,0,0,0,0,0,0.00178151136683896,0,0,0,0.00422815927766921,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0.160299879559627,0,0,0.144326351923176,0,0,0.131501580143721,0,0,0.0186988938942176,0,0,0,0,0,0,0,0,0
