,X2628.HK.EQUITY,X5.HK.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X3040.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X1463.TT.EQUITY,X2885.TT.EQUITY,X2905.TT.EQUITY,X2820.TT.EQUITY,X9940.TT.EQUITY,X5876.TT.EQUITY,X2801.TT.EQUITY,X1808.TT.EQUITY,X2855.TT.EQUITY,X600848.CH.EQUITY,X601162.CH.EQUITY,X2897.TT.EQUITY
X2628.HK.EQUITY,0,0,0,0,0,-0.0314160918770644,0,0,0,0,-0.00466782004330599,0,-0.0226247523131831,0.00937875472700601,0.110465659890411,0,0,0,0.326140717013446,0,0,0,0,0,0.122156954721366
X5.HK.EQUITY,0.0550312709289674,0,0.0110535528080148,0,0,-0.0137147852223722,0,0,0,0,0,0,-0.00369314630184556,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0.252265983260881,0,0,0,0,0,0.160422447674408,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0.0291798849778445,0,0,0,0,0,0,0,0.135662308997901,0,0,0,0.00944717819764856,0,0,0,0,0,0.177167854287175,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0.286193477578364,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0366249610026274,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0.0156684958580532,0,0.121337259493913,0.00250837453303626,0,0,0.164406883177467,0,0,0,0,-0.0372218269070357,0,0,0,0.0638867601979703,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0.192721744137083,0,0,0,0,0,0,0,-0.00138590091263919,0,0.0369446975127058,-0.0839226790383932,0,0,0.21449903007242,0,0,0,0,0,0,0,-0.00114123191477553
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00236471324442583,0,0.0713204950016212,0,0,0,0.22339940089661,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0.0442120218477997,0,0,0.00709598047770662,0.0262693474719156,0,-0.00481178732378401,0.0483963864598133,0,0,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080354722993477,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0.0700326593822458,0,0,0,0,0.00145009307472918,0,0,0.297640252597339,0,0,0,0,0,0.0740746785751653,0,0,0.059370968946153,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0.0217992612824489,0,0,0,0,-0.153734727187777,0,0,0,0.103211858616354,0,0,0,0.00545659042674648,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,-0.0128107495570564,0,0,0,0,0,0,0.0372236829778545,0,0,0,0,0,0,0,0,0,0,0,0.149352001432395
X2885.TT.EQUITY,0.0824004999455857,0,0.456489730270712,0,0,-0.0112169407252218,0,0,0.222990355581325,0,0,0,0,0,0,0,0,0,0.0376771346190596,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0,0,0,0.262304317152516,0,0,0,0,0,0,0,0,0,0,0,0.0541732286825132,0,0,0,0
X2820.TT.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0953986308006404,0,-0.00602351395020242,0,0,0,0.136424962868907,0,0,0,0.00150037502872165,0,0,0,0,0,0
X9940.TT.EQUITY,0.0226853011297273,0,0,0,0,-0.0363278771806787,0,0,0,0,0,0.0824354107522514,-0.0116173823133107,0,0.0472154340665904,0,0,0,0.349227703352856,0,0,0,0,0,0
X5876.TT.EQUITY,0.0167529178464879,0,8.67361737988404e-19,0,0.0635412362313567,-0.0042031952606106,0,0,0.355177132407548,0,0,0,0,0,0,0,0,0.172055760887999,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,0,0,-0.0091125174606341,0,0,0,0,0,0,0,0.00745254069063592,0.164366643306129,0,0,0,0.0838916628835816,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,-0.000150053859082522,0,0,0,0,0,0,0,0,0,0.0915482952909173,0,0,0.313190940673065,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0.00996558890525834,0,0,0.201062286379031,0,0,0,0,0,0.16153727081545,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.0100728047560295,0,0,0,0,-0.00193570225857683,0,0,0,0,-0.00535075470992707,0,0.00283894662795445,0.00133765524966819,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0,0,0,0,0,0.0115966552369886,0,0,0,0,-0.00175116392483178,0,0,0,0,0,0.00859259659751493,0,0,0,0,0,0
X2897.TT.EQUITY,0.0229145461924692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233264623386798,0,0,0,0,0,0,0,0,0,0
