,X5.HK.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X83.HK.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X3040.TT.EQUITY,X2548.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X1463.TT.EQUITY,X2905.TT.EQUITY,X601377.CH.EQUITY,X5876.TT.EQUITY,X2885.TT.EQUITY,X2820.TT.EQUITY,X9940.TT.EQUITY,X000656.CH.EQUITY,X601162.CH.EQUITY,X2801.TT.EQUITY,X1808.TT.EQUITY,X2855.TT.EQUITY,X600848.CH.EQUITY
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.00211805216218392,0.0528307143940212,0,0,0,0,0,0.266736520650345,0,0.0153038058652384,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,-0.00218167931377915,0,0,0,0,0,0,0.209642698212738,0.0178334759037461,0.0279501355364791,0,0,0,0.0331724584933282,0,0.0491284443754222,0,0,0,0.0149700114488769,0,0
X83.HK.EQUITY,0.357823985859639,0,0,0,0,0,0,0,0,0,0,-0.0145942476489459,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0.0631297015259936,0,-0.000775695836460294,0,0,0,0,0,0,0,-0.000875200193220591,0,0,0,0,0.0792526601725933,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.00273499078415126,0.0643613385145687,0,0.00454671193348415,0,0,0,0,0,-0.00539777474921076,0.0329243036117857,0,-0.0307126828599053,0,0,0,0.0717630876599345,0,0.0397631813445073,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.00484511976103849,0,0.00380098662086094,0,0,0,0,0,0,0.062853176465802,0.00209877823594055,0,0,0,0.0451858059441297,0.133292711998247,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0.0113122970986097,0.227028993566535,0,0.00302955414450307,0,0,0,0,0,0.00199743449747375,0,0.0359938611577873,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0.00275859457366335,0,0,0,0,0,-0.00473249622933035,0.0319414970619543,0,0,0,0,0,0.0232819300082992,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0.0110856819486757,0,0.0218340381808559,0,0,0,0,0,-0.00229936007459552,0,0,0,0,0,0,0.0566704838305419,0,0.240766488681099,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0566084482481337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,-0.00808581025144318,0,0,0,0.0717644745444757,0,-0.0255436713118193,0,0.0295145669053927,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0.00217594663875404,0,0,0,0,0,0,0,0,0,0,0,0,0.0631494146288455,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0,-0.0031246684517424,0,0,0,0,0,-0.0060933176481731,0,0,0,0,0,0,0.103611664730871,0,0.177999431661121,0,0,0,0,0,0
X2885.TT.EQUITY,0,0.428429892702143,0,-0.00860696569507765,0,0,0,0,0,0,0.0792017668240927,0,0,0,0,0.267578911649849,0,0,0,0,0,0,0.0105069213663183,0,0
X2820.TT.EQUITY,0.00777109910778273,0.0341768693981091,0,0,0,0,0,0,0,0,0,0.00554349039872518,0,0,0,0,0.102897241925262,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0315152749259635,0,0,-0.0334071679663111,0,0,0,0,0,0.00831373424642999,0.221547408637041,-0.0248157806611497,0.0458924286495069,0,0,0,0.233901019584636,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,-0.00370668853424311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0.0325967282666659,-0.00334560425638149,0,0,0,0,0,-0.00737326439650165,0,0,0,0,0,0,0.20966776187294,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.000229601615608711,0,-0.0106018709852874,0.0772367583394595,0.156399524496711,0,0.0091389237900231,0.180979158894448,0,0.0211234566749769,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0.0050636334174144,0,0,0,0,0,0.00199380161726355,0.0945115460184796,0,0,0,0,0,0.213871127820624,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.00726089963068513,0,0,-0.00389225652508456,0,0,0,-0.00430491338866363,0,-0.00423685060352929,0,0.0023143667213852,0.00500674143955937,0.012880003353437,0,0,0,0,0,0,0,0,0,0,0
