,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.057444906610692,0,0,0,0.62251534535232,0,0,0,0,0.126735578186298,0,-0.0285035213529795,0.0636226089374353,-0.0891895910168372,0,0.169898149435414,0,0,0,0,0,0,0,0,0.0325776529820981,0,0.0128629534144515,0.0142783648006289,0.00992051408639103,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.161120163636601,0,0,-0.0651534684427851,0.154941330085776,0,0,0,0,0,-0.107088966356967,0,0,0,0.0299617516067878,0.447077015148308,0.115431661062412,0.0172982584197154,0,-0.0508818020450525
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.107683265721635,0,0.220470545121168,0.0139572231040127,0,0,0,0,0,0,0,0,0.0271943051267143,0,0,0.208867324803253,0,0,-4.33680868994202e-19,-0.00569815716817709,0.0465095712844166,-0.00140389596662743
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0612274772431082,0.0372655711445731,0.181642137518882,0.0237163847060282,0,0,0,0,0,0,0,0,0,0,0.0743844719969957,0,0,0.000946429128196018,0,0.0137061886320523,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.16125622440135,1.73472347597681e-18,0,3.46944695195361e-18,0,0,0.0492018211643433,0,0,0,0.383315569591884,0,0,0,0,0,0,0,0.0226755877311615,-0.00755433039062257,0.0139446085463307,0
X939.HK.EQUITY,0.268964907614475,0,0,0,0,0,0,0,0,0,0.0676214941643392,0,0.14955996144994,0,0,0,0,0,0,0,0,-0.0157068714520643,0,0,0,0,0,-0.0093640265487791,-0.00576520613240674,0.0367932400006945,0
X601288.CH.EQUITY,0,0,0,0,0.257945213673223,0,0,0,0,3.46944695195361e-18,0,0.0492789140738843,0.0200589175087038,0,0.014777492400892,0.134071462707954,0,0,0,0.00581464209012587,0,0,0,0,0,0.0170467628573008,0,-0.00195355129676635,0.00369605182649236,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.0609628802664078,0,0,0,0,0.179429662365494,0,0.0735885982561588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136062628976677,-0.0126225316473324,0.0293772883270476,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0803192961279908,0,0,0,0.26900977968964,0,0,0.0320514492925547,0,0,0.0416742355869278,0.00574234745366477,0,0,0,0,0,-0.0122135020785956,0.00471107183511371,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.264805342117991,0.0395408924844661,0.121986023510324,0,0.204774753042639,0,0,0,0,0,0,0,0,0,0,0,-0.0010944078619575,0.00778255872786707,0,0
