,X5.HK.EQUITY,X2892.TT.EQUITY,X2849.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X2880.TT.EQUITY,X2867.TT.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X2548.TT.EQUITY,X601162.CH.EQUITY,X1903.TT.EQUITY,X600848.CH.EQUITY,X002939.CH.EQUITY,X000783.CH.EQUITY,X2905.TT.EQUITY,X000656.CH.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X5876.TT.EQUITY
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0.0639609929001621,0,0,0,0,0,0.0162236967121031,0,0.0265496865203712,0.214271391361839,0,0,0,0,0,0,0,0,0,0.232475107128345,0.173899124509115,0,0
X2849.TT.EQUITY,0,0.113850710520244,0,0,0,0,-0.00708784772609932,-0.317044553586564,0.0272088788736216,0.267441803565653,-0.0206733053888859,-0.108201310407157,0.285147386663083,0,0,-0.0407181264086919,0,0,0,0,0,0.307748786748242,0.0628353042830003,-0.136288659151698,0.120731470739232
X601878.CH.EQUITY,0,-0.0124908541032529,0,0,0,0.00998161653324708,-0.0013743149838547,-0.00417971956863282,-0.00467532651610133,0.0271573699640014,-0.00331096891390687,0,0,0,0.0563232440198159,0.0237367798494404,0,0,0,0,0,0.00115050331247616,0,0.0370100995090051,0
X601377.CH.EQUITY,0,0,0.00793889352912445,0,0,0,-0.000798665569251551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00664427098502114,0.00508374906939485,0,0
X5880.TT.EQUITY,0,0.0737734597191592,0.15351609544027,0,0,0,0.00377652330391751,-0.00237366211269624,0,0.163144431868834,0.00250742009710067,3.46944695195361e-18,-0.0695595538752725,0,0,0.0331212621128593,0,0,0,0.20849564531007,0,0.103345005889136,0,0,0.146290708586788
X83.HK.EQUITY,0.841348747527069,-1.04061491544943,1.19508953430159,0,0,0,0,4.06629497326753,-0.610209867844787,0,0.124297713488786,0.209858396297421,6.81563122356611,0,0,0,0,0,0,0,0,0,-6.49411974566549,-2.57296359209143,0
X5534.TT.EQUITY,0.000267299894895729,0.140180455916013,0,0,0,0,0.0190133413127395,0,-0.00344025944148632,0,0.0173365330406503,0,0,0.232780256464254,0,0,0,0,0,0,0,0.0115788357807409,0.0893909152490303,0.160883909165293,-0.161787553978802
X6005.TT.EQUITY,0,-0.1778483074015,4.93736965578424,0,0,0,-0.104552917238165,0,0,0,-0.360251230431636,3.04458896533325,0,0,0,0,0,0,0,0,0,-4.18454746968849,0,0,0
X2880.TT.EQUITY,0.0255338867940893,0.169905571300344,0,0,0,0.138965866376846,0.0161838754829221,0,0,0,0.00609693150371915,-0.0752224659820335,0.264023241030124,0,0,0,0,0,0,0.289276556063733,0,0,0,0,0
X2867.TT.EQUITY,0,1.47626549023296,0,0,-1.84935723856629,4.67718262688774,0.341139755541892,1.41653793006431,0,0,0,0.66031091401998,0,0,0,-1.52174489512221,0,0,0,-4.13257883704533,0,0,0.887342488994165,-10.6393603403313,0
X3040.TT.EQUITY,0,0.494150297816588,-0.192635605584285,0,0,0,-0.022180459332744,0,0.0692158853663316,-0.313065417243687,0,0,0.294194073126804,0,0,0,0,0,0,0,0,0,0.0142707197464819,0,0
X2501.TT.EQUITY,-0.0870523182891266,0,-0.115459278471399,0,0,0,0.0242313323527457,0.358543752859399,0,0.0196617687135217,-0.0454414903269644,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.376455632426546,0.421832667409107,0,0
X2548.TT.EQUITY,0.0641905081776176,3.46944695195361e-18,0,0,0,0.0526290556626176,-0.0276208375795698,0.48347349514967,-0.018332207240475,0.0424042285712615,-0.0152472411467461,0.151741859894136,0,0,0,0.0967131177231412,0,0,0,0,0,-0.0360482471079301,-0.211780958708278,0,0.234610826419239
X601162.CH.EQUITY,0.0329336251117783,-0.0238409836891711,-0.0093967969882399,0,0,0,0.00465873008536571,0,-0.0121196771020184,0,-0.00436411220342254,0.0287808879092159,0,0,0,-0.0396951673270871,0,0,0,0,0,2.16840434497101e-19,-0.0337828816367456,0,0.0560598436358559
X1903.TT.EQUITY,0.00276825527093745,0,0,0,0,0,0.0033849532550495,0,0,0,-0.00797413877889547,0.0574468672719329,0,0,0,0,0,0,0,0,0,-0.148839592972149,0.113415477093917,0,0.187751023343592
X600848.CH.EQUITY,0.0150924201234049,0.0072580440203558,0,0,0,0,-0.00110404704035369,0,0.00103165597979319,0,-0.00745231038776595,-0.0126486462893223,0,0.0244967051847748,0,0.00559373917652953,0,0,0,-0.0278841401674912,0,-0.0373151012531612,0,0,0.0539738303720843
X002939.CH.EQUITY,0,0,0,0,0,0,0.00199755307252268,0,0.000301261101413199,0,-0.00394091766197011,0.0034843179776066,-0.00996411790172822,0,0.246007651793525,0,0,0,0,0,0,0,0.0318589553403784,-0.0171199269764404,0
X000783.CH.EQUITY,0,-0.0138235973260485,0.0228961736003423,0,0,0,0.000762493953252325,0,-0.00572883683148477,-0.0283623526202632,-0.00136440814152151,0,0,0,0,0,0,0,0,0,0,0.0270259590370853,0.0141589129012226,0.0382851086771571,0
X2905.TT.EQUITY,-0.00171036110040687,0,0,0.0892782343386175,0,0,0.00633408309650546,0,-0.00179861532460928,0.155200715285033,0.00289579642500503,0.0335759721751684,0.115563564443103,0,0.0703397295385739,0,0,0,0,0,0,0.127705010072863,-0.125978888549702,0,0
X000656.CH.EQUITY,-0.0285061049539688,0.00297320783418747,0.0360628478093536,-0.146548566606378,0,0,-0.0028221091774179,0,-0.0140086256708856,0,0.00119280271085333,0.0301262960599303,0.030190330863788,0,0,0,0,0,0,0.034279095858548,0,0,-0.0253134084013885,0,0.0209318937202116
X2885.TT.EQUITY,0.0154845234468128,0.116529811609355,0.145673572618105,0,0,0,0.00042061074926062,0,0,0.121042678133711,-0.0318377753795393,0,0.215101955510169,1.71916714883073,0,-0.0160302845282473,0,0,0,0,0,0,0.123219136986191,0,0
X9940.TT.EQUITY,0.0651410063407386,-0.0383726021241702,0,0,0,0,-0.0903227671522218,0,0,0,0.0434200012802918,0,0.589662328472114,0,0,0,0,0,0,0,0,0.1447471271699,0,0,0.137499650978699
X1463.TT.EQUITY,-0.00242875011240545,0.150506020448286,0,0,0,0,0,-0.0179315352208472,0.0320333167311665,0,0,0.000128508566801269,0,0,0,-0.0988855929448355,0,0,0,0,0,0.0959503905165933,0.315371742587367,0,0
X5876.TT.EQUITY,0,0,0.249821337750512,0,0,0.287985371158277,0,0,0,0.115474148371477,0,0.03873009223795,0,0,0,0,0,0,0,0,0,0,0,0,0
