,X5.HK.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X2867.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2885.TT.EQUITY,X1903.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X601162.CH.EQUITY,X2855.TT.EQUITY,X000656.CH.EQUITY,X2820.TT.EQUITY,X5876.TT.EQUITY,X600848.CH.EQUITY,X000783.CH.EQUITY
X5.HK.EQUITY,0,0,0,-0.00478756104999629,0,-0.00655702018579441,0,0,0,-0.00952191181028155,0,0,0,0,0.147442832771659,0,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0.0142139082965173,0,-0.0025514722659549,0,0,0,0.00029115271040109,0,0,0,0,0.113714855798551,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0.132562034820453,0,0,0,-0.000103783149658456,0,0,0,0.00525611655452995,0,0,0,0,0.0991255509141829,0,0,0,0,0,0,0,0.00081139598810159,0,0
X83.HK.EQUITY,0.4023200452136,0,0,0,0,-0.0144749298450709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.00712729093273812,0.0367293216036358,0,0.00624877115154931,0,-0.00916942025869587,0,0,0,-0.00706605330030655,0,0.0620697340800015,0,0,0.0585969868318424,0,0.0272446345570656,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,-0.00431440221376257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.00509219820652152,0,0.0073158612936523,0,0,0,0,0,0,0,0,0,0,0.0767337635737212,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0.00872394973685586,0,0,-0.00239986812310296,0,-0.000561857195352016,0.168559817659255,0,0,0.000406285966385888,0,0,0,0,-0.00398102241442103,0,0,0,0,0,0,0,0.00683879276345409,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0.0221392859709663,0,0.0111832451306027,0,0,0,0,0,-0.00256074097212108,0,0,0.0234003454764275,0,0.0763464859901071,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0.0249896287700353,0,0,0,0,0,0,0,0,0,0,0.0941565198963816,0,0.257184143210047,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0.0164112923266107,0,0,0,0,0.0426485027081805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0.0005901078157056,0,0.00436333360926414,0,-0.00616797485812299,0,0,0,0.00411767229189593,0,0.0201910554460631,0.0351133755089766,0,0.0811662997609736,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0.0169023275819941,0,0,0,0,0,0,0,0,0,0,0,0,0.29516909167201,0,0,0.185298885118927,0,0,0.0302089626895276,0,0
X1903.TT.EQUITY,0,0,0,-0.00514348715761365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0195770413527566,0,0,-0.0219172584580589,0,-0.0256419756184533,0,0,0,0.00976591369926852,0,0.262506139289322,0,0,0.264600056500391,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,-0.0114169220188237,0,0.0423779598218725,0,0,0,-0.0305565720922442,0,0,0.0621519716372902,0,0.10478496245444,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0.0106931056611042,0,0,-0.00376393796891616,0,-0.00371192337133027,0.190578403387271,0,0,-0.00125529503846209,0,0,0.00890468034476406,0,0,0.00316391608012278,-0.020693020859948,0,0,0.00957090165725587,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0.00454582331415493,0,0.00436578085941644,0,0,0,0.00232507627922851,0,0.0691374191389795,0,0,0.364882365672629,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,-0.005074274792815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0.00326778971077258,0,0,0.00204808784785324,0,0.00626187183595461,0,0,0,0,0,0,0,0,0.107308799237101,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0,0,0,-0.00602721614804508,0,0,0,-0.00655890218864271,0,0,0,0,0.00878968790316594,0,0.0972657569248997,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.00814207385344878,0,0,-0.00425590010653227,0,0.00215486184232403,0,0,0,-0.00326816349725283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0.000516170638887829,0,0,-0.00131287528201652,0,-0.000153363544344552,0.136260655817998,0,0,0.00187320103480889,0,0,0,0,0,0,0,0,0.0739538470038661,0.00549910621712469,0,0,0,0,0
