,X2892.TT.EQUITY,X5.HK.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X601878.CH.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X2867.TT.EQUITY,X2548.TT.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X601108.CH.EQUITY,X1903.TT.EQUITY,X2855.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X000656.CH.EQUITY,X000783.CH.EQUITY,X1808.TT.EQUITY,X601162.CH.EQUITY,X1463.TT.EQUITY,X2820.TT.EQUITY
X2892.TT.EQUITY,0,0,0,0,-0.00125741656478949,0.0209749482850987,0,0.027758061745511,0,0.00116195933817675,0,0.11500851871836,0,0,0,0,0.0481067751566453,0,0,0,0,0.0589207883368559,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.00745218639433126,-0.00491237536107843,0,0,0,-0.00876232720077672,0,0,0,0,0,0,0.153393576046478,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0.00145644440469448,0,0,0,0.00681808316064445,0,0,0,0,0,0,0.110832169509754,0.035263206581592,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,-0.00441446231051202,0,0,-0.0102098548001385,0.00289726608890629,0,0,0,-0.00646877786531928,0,0.105299077584998,0,0,0,0,0,0.0530986087101808,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,-0.0139587453082342,0,0,0,-0.0339035349038608,0,0,0,0,0,0,0.157752559156752,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0.32633888480252,0,0,-0.0179791906837491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,0,0.00113917014752946,-0.00370033759514983,0,0,0,-0.00221891623572138,0,0,0,0.324811587739358,0,0,0,0,0.000795626275462512,0,0,0.0164551288004108,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0.00722676839302817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0.00800385293677393,0,0,-0.000912078928351978,-0.00294339633503434,0.115785826080108,0,0,0.000664787531303761,0,0,0,0,0,0,0,0,0.00497217707397945,0,0,0.00511899359502029,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0.00898320130113347,0,0,0,-0.00543215460098134,0,0.0574241021165444,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0.0469402695597238,0,0,0,0,0.0170296736037562,0,0,0,-0.00457000595462646,0,0,0,0,0,0,0.106788075276101,0.239277535637068,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,-0.00724635443245859,0.00525188046187626,0,0,0,0,0,0.0283870953542056,0,0,0,0,0.0569507085552996,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0,0.00350367480277892,0,0,-0.00148295697678424,-0.00218765278897634,0.146564804084136,0,0,-0.000422546654588636,0,0,0,0,0,0,0,0,0,0,0,0.0157967113386251,0,0,0
X1903.TT.EQUITY,0,0,0,0,0,-0.00615840414754169,0,0,0,-0.0105302997933588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.00484856488854724,0,0.0859293641163352,0,0,0,0,0.22321725003195,0,0,0,0,0.0500972578567189,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0.0164409136248518,0,0,0,-0.0114159574851783,0,0.011788379004748,0,0,0,0.160398404263763,0,0.270035498964021,0,0,0,0.0439904574906609,0,0,0
X9940.TT.EQUITY,0,0.0232744779650913,0,0,-0.0301912499378813,-0.0266211732924407,0,0,0,0.00878477191715757,0,0.146809098264391,0,0,0,0,0.453698906234747,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0.016117241602906,0,0,0.0423846332735337,0,0,0,0,-0.00304556779213453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,-0.00507427078723103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0.000932496685193227,0,0,0,-0.00216742819319153,0.0664524241028039,0,0,0.00179820291397702,0,0,0,0.070536551372681,0,0,0.00286960111980048,0,0,0,0,0.00180430817291404,0.0935223842731713,0,0
X1808.TT.EQUITY,0.0402857516381988,0,0.272973647453936,0,-0.00884578644461096,0.00196164045864151,0,0.183840318862248,0,-0.0206164747087943,0,0,0,0,0,0.237903106954679,0,0.008563404806422,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0.040013563169037,-0.0113845118743622,0,0,0,0,0,0,0,0,0,0.00969406228318272,0.10288619205573,0,0,0,0,0.0120711122793013,0,0,0
X2820.TT.EQUITY,0.0206660017054635,0.00510436792013271,0,0,0.00744609712844251,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0992619261079389,0,0,0,0,0,0,0,0
