,X2849.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X601108.CH.EQUITY,X83.HK.EQUITY,X2880.TT.EQUITY,X2905.TT.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X601377.CH.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X601162.CH.EQUITY,X000783.CH.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY,X000656.CH.EQUITY,X2505.TT.EQUITY
X2849.TT.EQUITY,0,0,0,0,0.0141180615273408,0,0.0084620531955315,0,0,0,0,0,0,-0.0081544418490939,0,0.0532195292809569,0.101296979831908,0.0523311470714357,0.00556435386426183,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0.00917989420259878,0,-0.000919863495458712,0,0.00152534281441997,0.0795184299407173,0,0,0,0,0,0.00554337148840172,0,0,0,0.107655418626725,0.0037175037028403,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,-0.00783531776323912,0,-0.0144450875418055,0,0,0,0,0,0,-0.00222949473187608,0,0,2.71050543121376e-20,0.219013648976802,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,-0.00466120646353035,0,0,0,0.00169788357821069,0,0,0,0,0,0,-0.0047064146869071,0,0.118262476142623,0.00650231808432015,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0,0,0.00595241165770789,0,-0.00155819047739309,0,-0.00206883768016752,0,0,0.149375955604576,0,0,0,-0.000320671605475743,4.33680868994202e-19,0,0,0,0.0155646425899579,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0.207402021622116,0,-0.0206386572394544,0,0,0,0,0,0,0,0,-0.000541432341390011,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.00769528370269081,0,0,0,0,0,0,0,0,0,0,0.0348010170214688,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,-0.0058760752232563,0,0.00702010889862179,0,0,0,0,0,0,0,0,0.0297435157336514,0,0.0395892867113611,0.0794377349326545,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,0,0.00113953599225991,0.328806074151562,-0.00375489433483704,0,0,0,0,0,0,-0.00190359094358329,0.000719909131444114,0,0,0,0.0159151951413126,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0.0104555271584076,0,0,0,0,0,0,-0.00761337829696716,0.0251299118360249,0.0249974840614981,0.0219692985711274,0.0223959300291676,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0.00895430482355555,0,-0.00102655111987068,0,-0.00221654963167829,0,0,0.190156626496864,0,0,0,0.000579431743753034,0.00686005784401486,0,0,2.16840434497101e-19,0.00313777055828557,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00968977324139183,0,0.0697077294559098,0.0309850838566161,0.199171626392648,0.0470627828391051,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0.0161141308174856,0,0.0425689709356973,0,0,0,0,0,0,0,0,-0.00305216710115973,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00701282653039429,0,0,0.240113528799908,0.0101011580393118,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.305888826113115,0,0.0236088007550191,0,-0.032040194775973,0,-0.0257714819824023,0,0,0,0,0,0,0,0,0.173920305376264,0,0.150406719109249,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.0124159361894562,0.0911904378640089,0,0,0,0,0.104988204474769,-0.00956867834527156,0,0.131818534235248,0.134208898633708,0,0.02180866922876,0,0,0,0,0,0
X1808.TT.EQUITY,0.113789538832419,0,0,0,0,0,-0.0110857302657663,0,0,0,0,0,0,-0.0213178853517783,0,0,0.0528080054458628,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0.0139086783768995,0,-0.00428728896628261,0.0914697129001272,-0.00399685472851444,0,0,0,0,0,0,0,0.0281345688918811,0,-0.0196456899386663,0.0109951785476894,0.00497923510722682,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0.00150797661504089,0,-3.98386185204892e-05,0.136637193303127,-0.00104623560361276,0,0,0.124421053878732,0,0,0,0.00176997346048197,0,0,0,0.000840433070071945,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0.00825368061625131,0,0.0021476543308372,0,-0.00419893186458147,0,0,0,0,0,0,-0.00187433537325033,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,0,-0.00486047980516625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0,0.00367365366412913,0,0,0,0,0,0,0,0,-0.00843401112831642,0,0,0.0709909221301799,0,0,0,0,0,0,0,0
