,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X2905.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X601108.CH.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X9940.TT.EQUITY,X2505.TT.EQUITY,X2885.TT.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X601162.CH.EQUITY,X000783.CH.EQUITY,X000656.CH.EQUITY,X600848.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,-0.00139881023263195,0.0186201489666443,0,0,0,0,0,0,0,0.00102657066104746,0.043036185696428,0.0317572949942464,0,0.0584362847432016,0,0.0186685156491629,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,-0.000535349301909665,0.001864240328422,0,0,0,0,0,0,0,0.00661024501283026,0,0,0,0.115999205758209,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0.0124304681731299,0.0095251327845419,0,0,0,0,0,0,0,-0.00823922132196961,0,0.0824604912588668,0,0.0704559761956047,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.00596688894573855,-0.0107871115872254,0,0,0,0,0,0,0,-0.00592047505537078,0,0,0,0.181282988063889,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00859505181481216,0,0.0159356083819357,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.211215443330523,0,-0.019701495109039,0,0,0,0,0,0,0,0,-0.00712958278112029,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,-0.00680543396409205,0.00653274697765104,0,0,0,0,0,0,0,0,0.0289396792032281,0,0,0.0464241473150547,0,0.0422675720095946,0,0,0,0
X601377.CH.EQUITY,0,0,0,0.00839620543838257,0,-0.000596875404537323,-0.00273209957441473,0,0,0,0.145414672040114,0,0,0.000589917660135357,0.000471295950038415,0,0,0,-0.0028245861922826,0,0.00501999588632187,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.00762650134204371,0,0,0,0,0,0,0,0,0,0,0,0.0336786373925122,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,0,0,0.000978110646769279,-0.00370781343455783,0,0,0,0,0,0.309755718236019,0,-0.00319577173311316,0,-0.00541326044818636,0,0,0,0.0178286184246457,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0.0107722124907218,0,0,0,0,0,0,0,-0.00599844416351507,0.0105674433502434,0.0133655762741795,0,0.0286419229624922,0,0,0,0,0,0
X601108.CH.EQUITY,0,0,0,0.0138393232852119,0,-0.00147761506727069,-0.00227738461050007,0,0,0,0.158731587743433,0,0,0.00715832433887452,-0.00046674121995297,0,0,0,0,0,0.0152134390394564,0,0,0,0
X3040.TT.EQUITY,0,0,0,0.0161141030099769,0,0.0425689395162102,0,0,0,0,0,0,0,0,-0.00305200273413129,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0.0271086786572542,0,0,0,0,0,0,0,0,0,0,0,-0.0105199630093047,0,0.241790258569961,0,0.171571649772203,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0.314952293048318,0.0349143623726836,0,-0.0300472092749817,-0.0371487326268321,0,0,0,0,0,0,0,0,0.0289790613927118,0,0,0.143463608788591,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0,0,0.00441823480312145,-1.35525271560688e-20,0,0,0,0,0,0,0,-0.00773015836002114,0,0.0860361170882326,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.0184205297253726,0,0,0.068556998196676,0,0,0,0,-0.0120556240809303,0.051748159704213,0.158175790929595,0,0,0.170301933951665,0.0125280590550687,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0.00342834566392826,0,0,0,0,0,0,0,0,0.0134220451493686,0.0693596583761408,0.0859256750182732,0,0.207728322616948,0,0.0383739334157229,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0,0.00829412848563551,0,-0.00462641466649561,-0.00433595651871536,0,0,0,0,0,0.0358429499645957,0.0398987638474022,0,0,-0.0110477000801771,0,0.00950021441148866,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0.00376518496328004,0,-0.000206356087684815,-0.0027626496416613,0,0,0,0.105865743399238,0,0.126969512714026,0.00299684860362243,0.00233861743865828,0,0,0,0.00460868096429563,0,0.000917577155853189,0.0854145328052974,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,0,-0.00486047638243967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.00825368271693908,0,0.0021476593384996,-0.00419893321157668,0,0,0,0,0,0,0,-0.00187433976530086,0,0,0,0,0,0,0,0,0,0
