,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X2905.TT.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X601108.CH.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X3040.TT.EQUITY,X2867.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X2501.TT.EQUITY,X2505.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X000656.CH.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X5880.TT.EQUITY,0,0.100329800828696,0.0184923064377986,0,0,0.00588642721212318,0,0,0,0,0,0,0.0868637853745415,0.00191491370127251,0.218516019149913,0.0441390181111433,0,0,0,0.0332793853252604,0,0,0,0,0
X2849.TT.EQUITY,0,0,0.0216805790951439,0,0.0717466703715256,0.0276424183627262,0,0,0,0,0,0,0,0.0161227680812197,0.260447312415131,0.548797024900881,0,0,0,-0.1043241565869,0,0,0,0,0
X5.HK.EQUITY,0,0.509615028614973,0,0,0,0.0163556701589865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,-0.00382280751187058,0,0.00332337776514828,0.0122910190188229,0,0,0,0,0,0.283312050327375,0,0.0204146121013169,0,0.0710650433419335,0.0484065350322224,0,0.0577902375143175,0.0461563427224361,0,0,0,0,0
X6005.TT.EQUITY,-2.86285211259018,1.78941850512785,0,0,0,0,0,0,0,0,0,0,2.9134133000191,-0.274571898673307,-2.01376019008178,-2.06141318462196,0,0,-2.84537301276091,0.986814275090119,0,0,0,0,0
X83.HK.EQUITY,0,2.22044604925031e-16,0.94744121867732,2.1401382355282,-0.452818221209053,0,0,4.76746633742217,0,0,0,0,0,0.202148088153528,2.50086364273412,-6.26076285208542,2.41306807783621,0,0,-0.995238908474209,0,0,-4.36721709903831,0,0
X2905.TT.EQUITY,0,0,-0.00227763427814905,0,-1.0842021724855e-19,0.0134099864623346,0,0,0,0,0,0,0,0.00888052866841124,0.124730699104379,0,0.108317845015274,0,0.154760803373486,0.00618816258588482,0,0,0,0,0
X2880.TT.EQUITY,0,-0.0467070508006985,0.0362566919124672,0,0.0285548126204512,0.00142630938473326,0,0,0,0,0.171245661809917,0,0,0,0,0,0,0,0.119842982171948,0.0997241731527515,0,0,0,0,0
X601377.CH.EQUITY,0,0,0.00662328718842686,0,0,0.00364598285720185,0,0.0430816833333778,0,0,0,0,0.0632786072251469,0.00372899086846132,0,0,0.0422479697370191,0,0,0.0399859101956737,0,0.451522848937427,0,0,0
X601108.CH.EQUITY,0,0.0982758819535709,0,0,-0.00617413014058626,-0.00606070384794782,0,0.110481958626544,0,0,0.101956056833341,0,0.0383622097125974,0.00312508571067304,0.0242400519585467,-0.042682128757724,0.0543346656743591,0,0,0,0,0.222991361747651,0,0,0
