,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0690175780724337,0,0,0.583287150723347,0,0,0.0508337938011557,0,0,0.0537444308484287,0,0,0.114902876333742,-0.0707415812921181,0,0,0,0,0,0,0,0,0,0,0.0117557904336808,0,0,0.0139156076154483,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.0479756537032453,0,0,0.249114961670617,0.0464909454185852,0,0,0,-0.0949016087065975,0,0,0,0,0,0,0,0,0,0,0,0,1.15870506305176e-06,0.00877784062255712,0.00435897799527491,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.110853598779263,0.0260247539693044,0,0,0,0.17841197575482,0.0279562575786264,0,0,0,0.00844051814461881,0,0,0,0,0,0,0,0,0,0.00402189480845148,-0.00397747273148669,0.00407934264473427,-0.00215500284508025
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0258721076963701,0,0.324470085843175,0,0,0,0,0,0,0.115499815598194,0,0,0,0,0,0,0,0,0.00477873516678246,0,0,-0.00863311093390872,-3.46944695195361e-18,0
X939.HK.EQUITY,0.0853760880977474,0,0,0,0,0,0,0,0,0,0,0,0.233988441417815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173385244803861,-0.00446067662793873,0.00226875714456879,-0.0510565478616272
X601939.CH.EQUITY,0,0,0,0,0,0,0.955000416719113,0,0.0320707269238147,0,0,0,0,0,0,0,0,0.0413579550125867,0,0,0,0,0.0533921358249209,0,0,0,0,0,-0.00793784852600285,0.00849989162839223,0
X601288.CH.EQUITY,0,0,0,0,0,0.777618957992324,0,0,-0.0630083552604506,0,0,0,0,-0.00915690757801883,0,0,0.0150069518118405,0,0,0,0,0,0.119225866034354,0,0,0,0,-0.00242952221098776,0,-0.00547800267049062,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0552514382564449,0.0742521304145521,0.277754570208631,0,0.0704696090841145,0,0,0,0,0,3.46944695195361e-18,0,0.285491205765447,0,0,0,5.42101086242752e-20,0.0926212090597635,-0.0353734982126722
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.44950031262461,0,0,0,0,0,-0.0772126513396675,0.0512307915797845,0.350591911473866,0.254925951260519,0,0,0,0,0,0,0,0,-0.167652689781782,0.677785950010533,-0.00484520485701199,0.0266479575818817,-0.155268343476229,0.135886748537886
X600036.CH.EQUITY,0,0,0,0,0,0.475583240597034,0,0,0.00938821370679675,0,0,0,0.0579646515837099,0.0232253220722948,0,0,0.0578954367586399,0,0,0,0,0.0600526259635319,0,0,0.058859410718579,-0.033419392324317,0,0,0.00710703866340633,0,0.0339840497701582
X3988.HK.EQUITY,0,0.0590703422965971,0,0,0,0,0,0.0852563964800073,-0.0506711393379708,0,0,0,0,0.122344561447381,0.0671912905152471,0,0,0,0,0,0.0462957145040535,0,0.14054132229024,0,0,0,0,0,-0.00300738343493945,0.01209323017061,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.00293650843556735,0,0,0,0,0,0,0,0,0,0.850263951494793,0,0,0,0,-0.144346601491941,0,0,0.0148868338901235,0,0.00795466295735789,0.00865664085623324,0.00663772058999796,-0.0113308122710269
