,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X5.HK.EQUITY,X83.HK.EQUITY,X000656.CH.EQUITY,X2548.TT.EQUITY,X2880.TT.EQUITY,X6005.TT.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X601377.CH.EQUITY,X601108.CH.EQUITY,X601878.CH.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X2905.TT.EQUITY,X1463.TT.EQUITY,X1808.TT.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0.0184120850519256,0,0,0.259222637788772,0.104116361840907,0,0.109702664925618,0,0,0,0.0175189691560204,0,0,0.0740311066555323,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,-0.49198102685751,0.471957762948568,0.0286476995787101,0.0346083197620269,0,0,-0.135361536553466,0.0415902198302533,-0.19799554778818,0,0,0,0.25706566711641,0.0179757844455806,-0.294416876586867,0.569769171803645,0.86859978954475,0,0.0760020546822777,-0.0214159134376139,0,0,0
X5880.TT.EQUITY,0.364277757297043,0,0,0,-0.0155192797970165,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.00643740721250038,0,0.231715527249249,0,0,0,0,0,0,0.235801978545339
X5534.TT.EQUITY,0,0.066812571232621,0,0,-0.00663038355434853,0.0107223636977352,0,0.119447419295562,0,0.048677297974696,0,0,0,0,0,0.0170179057607109,0.0587274303177245,0,0.0193223653098859,0,0,0,0.258159490359488,0,0
X5.HK.EQUITY,-0.61365605225987,-0.293817658161633,0,0,0,0.267170017544045,-8.48048454317296,0,-3.21953648133237,-0.330522032096587,1.89965272703399,-0.977685119817162,0,0,0,-0.290677665558817,0,0,0,0,0,0.521893463270016,0,0,0
X83.HK.EQUITY,0,0,0,2.13928365782759,0.935437142949742,0,0,0,0,-0.409635590480852,0,5.04375595445463,0,0,-6.72293384542343,0.283750323564509,0.982516915947172,0.823820199476899,-5.76019930433687,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,-0.0104328591816834,0.003520050777706,0,0,0,-0.0174808848914704,0.0520424284052494,0,0,0,-0.111877362672066,-0.00273712401660514,-0.0262715014973423,1.0842021724855e-19,0,0,0,-0.0299320339801394,0.0957176979037233,0,0
X2548.TT.EQUITY,0,0,0,0.312254484029942,0.0554623480170332,-0.0196499633155222,0,0,0,-0.0278144447459815,0.145542366371309,0,0,0,-0.0914153634410163,-0.00843266666221919,0,0,0,0,0,0.00390263663768061,0.400169990020584,0,0
X2880.TT.EQUITY,0.39700086310287,-0.0438354224330165,0,0,0,0.0154512247003958,0,0,0,0.0834174399446862,0,0,0,0,0.127370688508343,-0.0016002269039549,0,0,0,0,0,0.0622782193781303,0,0,0
X6005.TT.EQUITY,0,0.815570835124975,-1.04107905439434,0,0,0,0,0,0,0,0.931597386169306,0,0,0,0,-0.106062459354567,-0.934041107558653,-0.619387456053063,-0.676672669193077,0,0,0.48689286150104,0,0,-1.26221434966304
X3040.TT.EQUITY,0.498923988238516,0,0,0,-0.00661900175355733,0,0,0,0,-0.0117416127790512,0,0,0,0.144894160095135,0,-0.0249001362623978,0,0,0,0,0.132839136267877,0.0323652393049021,0,0,0
X2501.TT.EQUITY,0,0,0,0,-0.0160508631112639,-0.0134859756148792,0,0,0,0,0.153132936279656,0,0,0.467625970564002,0,0,0,0.641428722824165,0.263034350219831,0,0.0921614141417664,-0.0890347986923212,0,0,0
X601377.CH.EQUITY,0.0329883598038089,0,0,0,0.0197345520819491,-0.000592530412215374,0,-0.00807028588019526,0,-0.0173161746164235,0.131065640365425,0.059909644266319,0,0.141948536051998,0,0.0045602775345181,-0.0718389189744238,0,0,0,0,0.0235114101688938,-0.0667929647983186,0,0
X601108.CH.EQUITY,0.0264624677504109,0.0512078900149129,0,0,0,0,0,0,0.0504606363646274,-0.0135983176859365,0.0686805875664131,0.0966001775463193,0.134643417621695,0,0.0587295709985643,0,0,0.0855552476004747,-0.0527810500177522,0,0,0,0,0,0
X601878.CH.EQUITY,-8.67361737988404e-19,0,0.0348176297504036,0,0,0.00339434942191937,0,0,0,-0.00941086245891969,0,0.013592165259323,0.432132814220747,0.282000450399388,0,0,0.0146688986266232,0,0,0,0,-0.0232740774596476,0,0,0
X2867.TT.EQUITY,0,-2.09784482373433,1.54822119571697,12.2134399560357,0,0.316676791276193,0,0,-5.78094019288385,-0.328095653222321,0,2.04569574966364,-7.03661591527433,0,0,0,0,-1.82780007030715,1.97738232627001,-8.03106834217856,-3.36363527765612,2.8403959100627,0,0,-5.1452599305767
X2885.TT.EQUITY,0,0,0,0,0.0330844461252917,0,0,1.06253096947188,0,0,0,0,0,0,0,-0.0426525046819981,0,0.235303911448286,0,-0.215956912179572,0,0.046919796945171,0,0,0
X2855.TT.EQUITY,0,0,0,0,0.0226235014812657,0.00506087889780045,0,0,0,0,0,0,0,0.963917785674512,0,-0.024447787232739,0.188379440493514,0,-0.0196147247501563,0,0.0515655204412424,0.0404966357842686,-0.5209059986573,0,0
X9940.TT.EQUITY,0.199173162844703,0.223096360891119,0,0,0.0643360531490296,-0.0698562839922491,0,0,0,0.0251972066902363,0,0.320649665792931,0,0,0,0.0055616399967103,0,0,0,0,0.0683932965935777,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,-0.000627238333697004,0.00921684202925126,0,0,0,0,0.147931601974124,0,0,0,0,0.00827670466049974,0,0,0.0792982948752079,0,0,0.0657017338092502,0,0,0
X1463.TT.EQUITY,0,0,0,0,-0.000667563853257303,0,0,0,0,0.00462019439351513,0.2041845715487,0.775609861372745,0,0,0,0.0675300391705703,0.630382136104727,0,0.236835765140544,0,0,-0.270053286153264,0,0,-0.377274367728888
X1808.TT.EQUITY,0,0,0,0,0,0.0345913483106096,0,0,2.25436242992527,-0.0974585472068209,0.362855272312376,0,0,0,0,0.0677285135863521,0,0,-0.327337352669247,1.77234150332398,0,0,0,0,0
