,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X601108.CH.EQUITY,X9940.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X1463.TT.EQUITY,X1808.TT.EQUITY,X2520.TT.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0,0.0238542107720752,0,0.248986455626486,0.103917511819065,0,0,0,0.160479585418748,0.0049412014453195,0,0,0,0,0,0,0,0,0,0
X2849.TT.EQUITY,0,0,-0.452011187569685,0.451844737639998,0.0332467601609012,0,0.0281532469240436,0,0,0.0395805808526674,0,0,-0.242656238965926,0.128060065097932,0.014921285257854,-0.278739231908633,0,0.796418764054619,0,0.552005610450237,0,-0.0338201521366526,0,0,0
X5880.TT.EQUITY,0.555632329402934,0,0,0,-0.000608709801061711,0,-0.00827465061772681,0,0.0723853317045678,0,0,0,0,0,0.00428182245687622,0,0,0,0,0,0,0,0.298113783638947,0,0
X5534.TT.EQUITY,0,0.0668182439706755,0,0,-0.00662986355948485,0.119454457170068,0.0107213561745595,0,0,0.0486788110703077,0,0,0,0,0.0170180352759648,0.0587239114621796,0,0.0193180975344635,0,0,0,8.67361737988404e-19,0,0.258167097010984,0
X5.HK.EQUITY,-0.914807480524674,0,0,0,0,0,0.275789691682161,-8.624692831777,-3.37693481756269,-0.325573318361182,0,0,0.916331429116978,-0.449417229877834,-0.299006326577046,0,0,0,0,-0.0738986109523337,0,0.663283970197476,-0.681111087447621,0,0
X2548.TT.EQUITY,0,0.0963560504733148,0,0.391424975486963,0.0584516504286277,0,-0.019523125544957,0,0,-0.0236924338068541,-0.29777817565781,0,0,0,-0.00787909318142413,0,0,0,0,0,0,0.024960549448606,0,0.515312507484872,0
X83.HK.EQUITY,0,0.828705872763449,0,1.83252976740847,0.936901815305872,0,0,-1.40041651384434,0,-0.390756334812354,-6.5059636036291,0,0,4.87643868480339,0.298380208669421,0.966094973262482,0,-5.56899518552902,0,0.963364306151762,0,-2.77555756156289e-17,0,0,0
X000656.CH.EQUITY,0,0,0,0,-0.0118738441882614,0,0.00196839577936213,0,0,-0.0158044207602656,-0.13867333290746,0,0.0510047498680968,0.0215042763300097,-0.00138412027499457,-0.0351295915998702,0,-0.0133506906123243,0,0.0436811589138231,0,-0.0348053975603464,0,0.057581153251986,0
X2880.TT.EQUITY,0.397046386023244,-0.0436840081410459,0,0,0,0,0.0154410936149615,0,0,0.0834514377485459,0.127109163117496,0,0,0,-0.00160724694085662,0,0,0,0,0,0,0.0623320125653566,0,0,0
X6005.TT.EQUITY,0,0.26495668666447,-0.927527114161563,0,0,0,0,0,0,0,0,0,1.13276383990334,0,-0.145213039075471,-1.18258318654348,0,-0.894270293612047,0,-1.95241330139999,0,0.557073863340113,0,0,0
