,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X5534.TT.EQUITY,X601878.CH.EQUITY,X6005.TT.EQUITY,X2880.TT.EQUITY,X000656.CH.EQUITY,X2501.TT.EQUITY,X1808.TT.EQUITY,X2885.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X601108.CH.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X000783.CH.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,0,0,0,0,0.0104045989882626,0,0,0,0.0363335523195982,0,0,0,0,0,0,-0.00684571513354255,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0.0189141360321968,0,0,0,0.121743890699287,0.028899523594962,0,0,0.0172596454052644,0.0393155523573584,0,0.00774284490276042,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.066907913010666,0,0,0,0.0027312058645266,0.0681607125497164,0,0,0,0,0,0.101587453544257,0.153928578297617,0,0,0
X2548.TT.EQUITY,0.0616902739595148,0,0,0,0,0.00867481372716193,0,0,0,0.0534489506086627,0,0,0,0,0.0981859897000411,0,-0.00586271887203001,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.221057471427398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0.0097646013654264,0,-0.00265497081838588,0,0,0.207640901687476,0,0,0,0,0.000990212376006377,0,0,0.00114263263245895,0,0.0408268912888467,0,0,-0.00682116492579966,0,0,0
X5534.TT.EQUITY,0.0514230125034625,0,0,-0.00234112037428864,0,0,0,0,0,0.0132680183088892,0,0,0,0,0,0,-0.00528468291417861,0,0,0,0.0051964465472466,0.00190062517185366,0,0,0
X601878.CH.EQUITY,0,0,0,0,0,-0.00500510267322887,0.0829084456144024,0,0,0.00648305571467141,0,0,0,0.0153528533676885,0,0,-0.00288005800459567,0.0628690924865636,0,0,0,-0.030439956188367,0,0,0
X6005.TT.EQUITY,0.151118774778361,0.0244625883102277,0,0,0,-0.0094644945058322,0,0,0,0,0,0,0,0,0,0.118333376204088,-0.037159018151857,0,0,0,0.411237437343012,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0.00816089827448743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,-0.00400661077659808,0,0,0,0,0,0,0,-0.00249168393870608,0,0,-0.000717157294888773,0,0.0438367536879507,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0692949698573961,0,0,0,0,0,0,-0.00608676721864963,0,0,0,0.0512130891644401,0.0756399639454686,0,0,0
X1808.TT.EQUITY,0.105131783449745,0,0,0,0.355055202704298,0,0,0,0,0.0899033900144768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.0907246147282364,0,0,0.0119455376069909,0,0,0,0,0,0,0,0.0269089674866403,0,0.0322606371976674,-0.0153720613127621,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0.0506157098022448,0.0187930070705813,0,0,0,0,0,0,0,0.10603406318514,0,0,0,0.045889836588622,0.0885088758225834,0,0.00126972269291142,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0,0.062494919983547,0,0,0,-0.00479211587512617,0,0,0,8.67361737988404e-19,0,0,0,0.0129357236420796,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0.0225315407403326,0,-0.00403831913245712,0,0,0,0,0,0,0.203518293320776,0.0330015474515071,0,0,-0.00294077685722689,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,-0.00160535202637084,0,0.011292580176278,0,0,0,0,0,0,0,0.0675795435388841,0,0.0212299608964204,-0.00318561359427901,0,0,0,0,0.0605513701816192,0,0,0
X9940.TT.EQUITY,0.196193790336289,0,0,0.0273591300546945,0,-0.0317570948066816,0,0,0,0.199717765115502,0,0,0,0,0,0,0.00107516284768003,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,-0.00747077688259098,0,0,0,0,0,0,0,0,0,0,-0.0178423239658503,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0.000385457469067737,0,-0.000124431768703894,0,0,0.207150186762722,0,0,0,0.0309074383495694,0,0,0,0.000744765556747127,0,0.0367878898364234,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0.00180890195891887,0,-0.00262666249597242,0,0,0,0.0279428632633449,0,0,0,0,0,0,-0.0063839277957776,0,0,0,0.033931640461226,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.00284983486065903,0,-0.000490341756139019,0,0,0,0,0,0,0,-0.00957869992702162,0,0,-0.00233431693221954,0,0,0,0,0,0,0,0
