,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5.HK.EQUITY,X6005.TT.EQUITY,X2548.TT.EQUITY,X5534.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X000656.CH.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X1463.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X2520.TT.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY
X2849.TT.EQUITY,0,0,-0.51583957836966,0.0115162091476333,0.034029018017248,0.33874672294696,0,0,0,0,0.228391189187727,0,0.409223869339634,-0.00300601829912945,0.020745387934409,0.0172893175585711,0,0,0.612211655243599,-0.478726762189474,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,-0.0130508133709282,0.0356168154558545,0,0,0.195435119128177,0,0.488570659539402,0,0,0.36264255212999,0,0,0,0,0,0,0,0,0,0,0,0.0610839462073587
X5880.TT.EQUITY,-0.00159517939648532,0.420138087875566,0,0.00118164372694787,-0.0169151353198808,0.0319214450816199,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.00957037571188972,0,0,0,0,0,0,0,0,0.234719139915622
X83.HK.EQUITY,2.8753662615529,0,0,0,0.923167194205532,-1.90631575317104,0,0,0,1.74943040368151,3.97313994884322,-1.36049392479887,0,-1.91788676118602,0,-0.0442043017074401,0.255242663473486,-7.15991114707859,-5.48944622747915,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.999506801052274,0,0.34245399875165,0,-1.1539207786414,-0.0486752363806942,-2.1710883300828,0,-0.585112407339805,0,-3.86165909148356,0,0,0,-0.243385672803907,-1.32503793713753,0,0,1.28511083025033,0,0,0,0,0
X6005.TT.EQUITY,0.0561709165874531,0,0,-0.0149979865428523,0,0,0,0,0,0.839538233177241,0,0,0,0.0710292876143585,0.0566820416690252,-0.00482921542013129,0,0,0.105879068250211,0,0,0,0.661349875622411,0,0
X2548.TT.EQUITY,0.108003700295463,0,0,0.0226269355277734,0.01994783756108,0,0,0,0,0,0.101007256987823,0,0,0.023333994769706,0.00411340080601182,-0.0152696479951634,0.0103780241072851,-0.0981286232161402,0.122450239177222,0.0441326415742801,0,0,0,0,0
X5534.TT.EQUITY,0,0,-0.0539019823581754,0.0217701371141236,-0.0569922474744243,-3.46944695195361e-18,0,0,0,0,0,0,0.0825266797741093,0.242813349181479,0.167992406600673,0.00564275154866904,0,0,0,0,0,-0.651386171210514,0,0,0
X601377.CH.EQUITY,0,0.0322926771632891,0,0,0.017016429678443,0,0,-0.0709886201544283,0,0,0.0814772829259389,0,0,0.00439049104980061,0.006502514429473,0.00574350795407352,-0.0704853764638854,0,0,0.12808886824321,0.136776036513689,0,0,0,0
X2880.TT.EQUITY,0,0.66410316640164,0,-0.00190161903773131,0,0.12760398060699,0,0,0,0,0.0229505105266981,0,-0.252038321332996,0,0,-0.0262296597267925,0,0.054061448548101,0,0.0380751428400896,0.131510443564869,0,0,0,0
X2501.TT.EQUITY,0.563803838306147,0,0,-0.0503240727579339,0.0429632578358174,0.0664076751193784,0.404522060787112,0,0,0,0,0,0,-0.311240628975298,0.221143910406561,-0.0114779348361501,-0.0882876017941428,0,0.177470986624942,0,0,0,0.581893946147663,0,0
X000656.CH.EQUITY,0.0676496698768399,0,0,-0.0031626903782756,0,-0.00581817217098394,0,0,-0.0848764532114986,0,0.0589097981253853,0,0,-0.0624867026423212,-0.0116727746034538,0.00448271904688701,0,0,0,0.11384912107017,0,0,0,0,4.33680868994202e-19
X2855.TT.EQUITY,0.205638699076128,0.0125468459106924,0,0.00665086768578148,0.01703599823602,0.185523422436241,0.125066062717552,0,0,0,0,0,0,-0.0470566618734011,0.0892414721262294,0.00893684640330816,0,0,-0.333945562419701,0,0.178507664069357,0,0,0,0
X1808.TT.EQUITY,0,0,0,-0.0276293779936838,0.000957550016098279,0.13977951982389,0,-0.168764588638456,0,0.0519278872363503,0.396339832211304,0,0,0,0.155919131974155,0.0241140735134294,0,0,0,0.0138603155906403,0,0,0,1.90115090898437,0
