,X601878.CH.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X5.HK.EQUITY,X601108.CH.EQUITY,X000656.CH.EQUITY,X600109.CH.EQUITY,X600848.CH.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X601555.CH.EQUITY,X002939.CH.EQUITY,X388.HK.EQUITY,X600663.CH.EQUITY,X002945.CH.EQUITY,X000728.CH.EQUITY,X601198.CH.EQUITY,X600030.CH.EQUITY,X601838.CH.EQUITY,X600369.CH.EQUITY,X000961.CH.EQUITY,X601828.CH.EQUITY,X002673.CH.EQUITY,X002146.CH.EQUITY,X601166.CH.EQUITY
X601878.CH.EQUITY,0,-0.00239168343685546,0.24205291756172,0,0,0,0.138188216206742,0,0,0,0.164766679105162,0,0.0249144820992593,0,0,0,0,0.258221911157735,0,0,0,0,0,0,0
X83.HK.EQUITY,-2.64156698950264,0,-2.812292766345,0.0598072668454831,0,0,2.04612005209977,-1.60760326099107,0,0,0,2.526847164146,0.219218527394554,0,0,-0.182366037826559,0,0,0,-0.480087951952328,0,0,0,2.58497536122855,0
X601377.CH.EQUITY,-0.0380725395280248,-0.0198805366816412,0,0,0,0,0,0,0,0,0.345001621030358,0.174890856404793,0,0,0,0,0.272440990901597,0,0.1880410474146,0,0,0,0,0.146679806241223,0
X5.HK.EQUITY,-1.9110257211371,0.117596110634092,0,0,1.40803156999272,0.45030828912364,4.83250099717778,0,0,-1.47954443516876,0,0,1.75995849181494,0,0,-3.69181217693573,0,-1.27924397238106,1.38075244185119,0,0,0,0,0,0
X601108.CH.EQUITY,0.055317770356673,-0.00424239247220789,0,0.0086008525994418,0,0,0,0,0,0,0.270238092347988,0,0.273196433566762,0,0.0957117350166896,0,0,0,-0.134609821567557,0,0,0,0,0,0
X000656.CH.EQUITY,0,0.00797423530816984,-0.0373380658957096,0.019333935512336,0.16726131545651,0,0,0,0,0,0,0,-0.1343569160252,0,0,0.108008058048803,-0.195931046542629,0,0.353178402891207,0,0.0492247435846919,0,0,0.0105661610453929,0
X600109.CH.EQUITY,0,-0.00333137627301469,-0.0967276914476478,0.00159994813718652,0.101799354101624,0,0,0,0,0,0,0,0,0,0.0130536787813935,0,0,0.278566474239807,0,0.286230575587572,0,0,0.360896193849402,0,0
X600848.CH.EQUITY,-0.0848189855441528,-0.0167819238631992,0,-0.0186897401774921,0,0,0,0,-0.00116317269797418,0,0,0.165038761464562,0.00577221205178104,0.486933874381792,0,0,0,0,0.0147906820649488,0.228301360883756,-0.0438396267790942,0,0,0,0
X000783.CH.EQUITY,0,0.00316646920743617,0,0,0.13433152227797,0.0522394862790517,0.329417862855493,0,0,0,0.0939682642433907,0,-0.0254521336961712,0,0,0,0,0.146481127481165,0,0,0,0,0,0,0.0242545805760444
X601162.CH.EQUITY,0,0.00204414430486201,0.0198059197612732,8.67361737988404e-19,0,0,0,0,0,0,0,0.281144536442706,0,0,0.271310112953094,0,0,0.0244757293842256,0,0,0,0,0,0,0
X601555.CH.EQUITY,0,0.000636141637897674,0,0.017065608565629,0.216188946198674,0,0.0572316670238895,0,0,0,0,0,-0.0324376782860837,0,0,0.278818017466384,0,0.0301121118400639,0,0.0913992296153502,0,0,0.166424510588745,0,0
X002939.CH.EQUITY,-0.103258317382849,-0.00378981912897503,0.154270343855339,0.00381511060341044,-6.93889390390723e-18,0,0,0.0972552151498899,0,0.477500411112342,0.100752407763455,0,0.0496544247889018,0.114296058046932,0,0,0,0.0887969389689646,0.0535598556746925,0.0662050690287329,0,0,0,0,0
X388.HK.EQUITY,0.141227311060138,0.0275466287741955,0,0.0619806184646222,-0.460200526523514,0,0.681561708972529,0.097178815864056,-0.740080346896952,0,0,0,0,0,0,0,0,0,0.411393445180835,0.844693366370397,0,0,0,0,0
X600663.CH.EQUITY,0.0158706517929813,0.00241388496222019,0.0847086566769689,0.00549198924581628,0,0,0,0.109757212369357,0,0,0,0.0819293548938017,-0.0101681163027656,0,0,0,0,0.00468011524372448,0,0,0,0.250893828003214,0,0.126278448589509,0
X002945.CH.EQUITY,0,-0.00588234286947538,0,-0.000671272584479456,0,0,0,-0.0350123340834086,0,0.60630688923115,0.186955375500594,0,0,0,0,0.0591092332569218,0,0,0,0,0,0,0,0,0
X000728.CH.EQUITY,0,-0.0524443160298993,0,-0.0548223371433311,0,0.431517854334191,0.013267223085111,0,0,0,0.689175767688317,0,-0.141131790209211,0,0,0,-0.201978212867183,0,0.103349758725872,0,0,0,0,0,0
X601198.CH.EQUITY,0.0738277992926255,0.00671630478904357,0.218430419022939,-0.00357011625823751,0.100650123975484,0,0,0,0,0,0.0957847090051855,0,0,0,0,0,0,0,0,0.115388084109137,0,0,0.16046758674407,0.103270852127028,0
X600030.CH.EQUITY,0.187281209556597,0.0184518815325157,0,-0.0360952240746281,0,0,0.275221416002628,0,0,0,0,0.209854779007676,0.142601084975677,0.0292814169603682,0,0,0,0,0,0,0,0,0.113229210807168,0,0
X601838.CH.EQUITY,0.051457003933916,0.0161075766065358,0.551289719820619,-0.0190206922261102,0.216227765421599,0,0,0,0,0,0,-0.275870585203906,0,0,0,0,0,0,0,0,0,0,0,0,0.390076097453405
X600369.CH.EQUITY,0.0164246721289865,0.00109539003403241,0.0467323843631037,0,0.128117406735435,0,0.360125289267529,0,0,0,0,0,0.0144713146289553,0,0,0,0,0,0,0,0,0,0,0,0
X000961.CH.EQUITY,0,0.00570679954479282,0.03538780015316,0.0166902366757883,0,0,0,0,0,0.232018822064115,-0.0626680572529596,0,-0.0260896232303474,0,0,0,0,0.0413918183780264,0,0,0,0,0,0,0
X601828.CH.EQUITY,0,-0.00155317144212897,0.0101753837834987,0.0128173581417703,0.00684268117756758,0,0,0,0,0,0.0684275101827892,0,0,0,0,0,0,0.127997717182929,0,0,0,0,0,0,0
X002673.CH.EQUITY,0.0603398653723644,0.00563272982546037,0.0177686458002255,0,0,0,0.0506396648704533,0,0,0,0.161857907173297,0.00182149748526583,0,0,0,0.135759973978062,0.159393703734281,0,0,0.0373690236934066,0,0,0,0,0
X002146.CH.EQUITY,0,0.00296771648537037,0,0.0193882308628949,0,0.197742428595021,0,0,0.116768421317908,0,0,0,-0.0841367716645807,0,0,0,0.161606015305908,0.0127532944318382,0,0.0492667542478285,0,0,0,0,0
X601166.CH.EQUITY,-0.105014767236506,-0.010053668933329,-0.0502710666578756,0,0.0421974131175324,0,0.29451276047466,0,0.128353760812044,0,0,0,-0.0126849853406327,0,0,0,0,0,0.0280390437886752,0,0.215040918545579,0,0,0,0
