,X2849.TT.EQUITY,X601878.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X601377.CH.EQUITY,X6005.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X1808.TT.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X601108.CH.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X2867.TT.EQUITY,X3040.TT.EQUITY,X2855.TT.EQUITY,X5871.TT.EQUITY,X000656.CH.EQUITY,X600848.CH.EQUITY,X2520.TT.EQUITY,X000783.CH.EQUITY
X2849.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.133616840393832,0,0,0,0,0,0.10070548502376,0,0,0,0,0.0390162568367484,0,0,0.304288356732292,0
X601878.CH.EQUITY,0,0,0.0443036350142716,0,-0.0164713896866603,0,0,-0.0371196620940974,0,0,0,0,0,0,0,0,-0.0226345280273982,-0.0169995390708842,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0.210639211553428,0,0,0,0,0,0,0,0.17334258408923,0,0,0,0,0,0.0109362363668804,0,0,0.141101927702738,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0404122099337263,0,0.137792181003886,0,0,0,0,0,0.0137222915551467,0.0396283754832532,0,0.15253951327442,0,0,0.270639327061753,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0.0511904774640062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0.0130461437531239,0.196712880803429,0.0361366528501788,0,-0.00612661683837093,0,0,0,0,0,-0.0256031423170108,0,0,0,0,0,-0.00563083623064486,-0.00986958089589058,0.022167799522135,0,0,0,0,-0.0145398018393424,0
X6005.TT.EQUITY,0.0978106856127234,0,0.00588642400096479,0,0,0,0,0,0,0.0719725467966322,0,0.006972818753699,0,0,0,0,0,0,0.128147961373357,0,0,0,0,0.273976517400972,0
X5.HK.EQUITY,-4.33680868994202e-19,0,0.213783978044021,0,0.0348911442193073,0,0.0314363605979096,0,0,0,0,0,0,0,0,0.144223119881433,0.00461510220628234,0.00117983155818422,0,0,0,0,0,-0.269329427060891,0
X2548.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0687364904786751,0,0,0,0,0,0,0,0,0,0,0.153512389523223,0,0,0.583755253182599,0
X1808.TT.EQUITY,0.0515049364411679,0,0,0,0.0719778671166152,0,0,0,0.245033218462423,0,0,0,0,0,0,0,0,0,0.187611604143906,0,0,0,0,0.529500136721873,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051878745977887,0,0,0.00573420549712366,0,0,0.0477679972073646,0,0,0.581062170433663,0
X2880.TT.EQUITY,0,0,0.209564815048253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152406894093292,0,0,0,0,0,0.360194984882977,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0850717440316835,0,0,0,0,0,0,0.0722483806720493,0,0,0,0.0488653125194557,0,0,0.502604096373302,0
X601108.CH.EQUITY,0,0.141507906506589,0.0339253312885069,0,-0.0175281367312692,0,0,-0.0047770057228601,0,0,0,0,0,0,0,0,-0.0177799713429769,-0.00857497146461312,0.00242132823524532,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0.0696475448544674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971478818900741,0,0,0.343721145129476,0
X9940.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680027122438523,0,0,0.684685485235837,0
X1463.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126951567763164,0,0,0,0,0,0.435095358214955,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108247868951124,-1.73472347597681e-18,0.00530706732017846,0,0,0,0.0255449267512452,0,0,0.524644682340017,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.142055142606507,0,0,0,0,0,0,0,0,0,0,0.0338021259131486,0,0,0.668206473577013,0
X2855.TT.EQUITY,0.0300999407833223,0,0,0,0,0,0,0,0,0.0698155869547319,0,0,0,0,0,0,0,0.0237811377283347,0,0,0.0187792181321929,0,0,0.680340725062219,0
X5871.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.037823963671904,0,0,0.112981931211326,0,0,0.000581101328746728,0.0343894216761952,0,0,0,0,0.712180466955681,0
X000656.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0,-0.0105347171022292,0,0,0,0,0,-0.0118731485882985,0,0,0,0,0,-0.0159162222378652,0.000436891879168676,0.026250906329943,0,0,0,0,0,0
X2520.TT.EQUITY,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0448361920695739,0,0,0,0.0881474832667218,0,0,0,0,0,0
X000783.CH.EQUITY,0.0303880396218399,0.13282713333596,0.00329253542177364,0,-0.00775173678505506,0,0,0.00982824470475143,0,0,-0.0283731480890229,0,0.00905972611619782,0,0,0.0131867268080941,-0.00132445846729126,-0.00388748205650641,0,0,0,0,0,-0.00894883077047556,0
