,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2548.TT.EQUITY,X1808.TT.EQUITY,X6005.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X2501.TT.EQUITY,X2880.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X9940.TT.EQUITY,X000656.CH.EQUITY,X2855.TT.EQUITY,X5871.TT.EQUITY,X2867.TT.EQUITY,X1463.TT.EQUITY,X600848.CH.EQUITY,X601108.CH.EQUITY,X600109.CH.EQUITY,X2520.TT.EQUITY,X2820.TT.EQUITY
X2892.TT.EQUITY,0,0,-0.0312517763577852,0,0,0,0.0938869515658191,0,0.13824639381171,0,0.202094306174504,0,0,0,0,0,0.142806671546231,0.244004795316866,0.0691909522005863,0,0,0,0,0,0
X5880.TT.EQUITY,0.48908700083112,0,0,0,0,0,0,0,0,0,0,0.0449613443230446,0,0,0.0938020433321532,0,0,0,0.0211500860629001,0,0,0,0,0.258890377693016,0.0933584588819139
X83.HK.EQUITY,-1.29407305110816,0,0,0,0,0,0.594829130876062,0,1.97495420006797,-0.557146274868141,0,0,0,0.579742964268716,0,0,0,0,0.264476476426161,0.0869422597831171,0,0,0,0,0
X601878.CH.EQUITY,0,0.0248933680729951,0.00776645817417916,0,0,0,0,0,0,0,0,0.0124674329022115,0,0,0,0,0,0.0201287882768321,-0.0482290650763402,0,0,0.330345969698389,0.198555713107795,0,0
X601377.CH.EQUITY,0.00637791637533489,0,0.00189846012767991,0.0737427725420691,0,0,0.013469271303389,0,0,-0.00426281727944979,0.00158735139093501,0,0,0,0,0,0,0,-0.00552303067679572,0,0,0.119134103684124,0.261546273998895,0,0
X2548.TT.EQUITY,0,0.0552102463956069,0,0,0,0,0,0,-0.0220955992358799,0.0645551334496695,0.106819427034932,0,0.108096367808576,0,0.0657355388267597,0,0.214912161558599,0.109941343547346,0.0110829536923116,-0.0173511661230843,0,0,0,0.29360140674548,0
X1808.TT.EQUITY,0,0,0,0,0,0.348775330080591,0,0,0,0,0,0,0,0.0458991065322628,0.284480119634375,0,0.284129507156424,0,0.00339795765454745,0,0,0,0,0.10862733316165,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0.100354240476062,0,0.113265409491015,0.305450662468228,0,0.0617317117976382,0.467224266924181,0,0.0536809368682784,-0.486257579997029,0.0197179010077752,0,0,0,0,0.214988021465643,0
X5.HK.EQUITY,0,0,0.338588554380993,0,0,0,-0.768702519987566,0.664142103286747,0,-0.739827491397444,0.652751616478513,0.690371348824264,0,0,1.31098751367606,0,0,0,0,0,0,0,0,0,-2.1029569577754
X5534.TT.EQUITY,-0.0157316638934537,0,0.0626220975683118,0,0,0,0,0,-0.181708150544991,0,0.471195750660911,0.37666851869899,0,0,0,0,0,0,0.0442279230218454,0.147569469488048,0,0,-0.349902795221006,0,0
X2501.TT.EQUITY,0,0,-0.0638224263917296,0.69478868190519,0,0.00594736260018088,0.180316154282311,0,0.0691404602822467,0.0682693146036656,0,0.175619433488793,0,-2.16840434497101e-19,0.351648030857673,0,0,0,2.16840434497101e-19,0.148100048257211,0,0,0,0,0
X2880.TT.EQUITY,0.404447675673254,0,0,0,0,0,0,0,0.0611210120835379,0.434020955033515,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0444860247899707,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,-0.0073754520724627,0,0,0,-0.0427022194431715,-0.0775905752854833,0.0312074507841576,0,-0.0119261278415667,0.355529938183984,0,0.361238842062022,-0.161714969059286,0,0,0.197805508619735,0.00758546028514744,0,0,-0.418916792337735,0,0.280319819772015,0
X3040.TT.EQUITY,0,0,0,0,0,0,0.276141484753639,0,-0.0707773917220365,0,0.012882689639567,-0.064476398024453,0.125053356056972,0,0.100890284723532,0,0.216050747995562,0,0,0.0951011357511858,0,0,0,0.153936844338427,0
X9940.TT.EQUITY,0,0,-0.00474047541447206,0,0,0,0.197763630517618,0,0,0,0.172949301100458,0.148780057388455,0,0,0,0,0,0.309363676103092,0.0369734450189957,0,0,0,0,0.0417940961058953,0
X000656.CH.EQUITY,0,0,0.000471865271095001,0,0,-0.0295693056876853,0,0,0.0173424540384074,-0.0324632535903848,0.0560919630410036,-0.0112343233573731,-0.00640582993844322,0.0740221316392985,0,0,-0.0342543237277666,0,0.00594786332120722,-0.00125130962389824,0,0,0,-0.0139956991083268,0
X2855.TT.EQUITY,0.040309721804877,0.176210664148282,0,0,0,0,0.152986823501451,0.231449272469363,-0.0161299838296241,0,0,0,0,0.168420866206426,-0.328554299284149,0,0,0.0284836235296257,0.0511634551023267,0.0555366449016615,0,0,0,0.395410580139591,0
X5871.TT.EQUITY,3.46944695195361e-18,0,0,0,0,0.423125965263867,0.0277836419615041,0,0,0,0,0.0562705527004627,0.0761094195143005,0,0,0,0,0,0.0262059374887849,0,0,0,0,0.330614566794307,0
X2867.TT.EQUITY,0,-0.224098571652525,0.0423280125012886,0,0,0,0.0764987232111215,0.193723659552676,-0.0860652063806529,0,-0.0743741224452236,0,0,0.196400052656143,0.0903110582868785,0,0.0442982742356814,0.533877869334739,0,0.153888454756011,0,0,0,0,0
X1463.TT.EQUITY,-0.24922215396887,0,0,-0.855827847312478,-1.09484523350804,0,-0.0716002804927103,-0.233018896858556,0.131376764502366,0,0.506718251065487,-0.509242535738609,1.15791029182264,0,0.0605429656373344,0,0,0,0.0856823293341271,0,0,0,0,0,0
X600848.CH.EQUITY,0.029296059492441,0,-0.00397952462789021,0.00456403370290819,0,0,-0.00927636163717492,0.0135098110636472,-0.00355964554840143,-0.0216891331006009,0.0173349487945371,0,0,0.0521469325161817,0,0,0,0.0290922982321799,0,-0.0228990781405522,0,0,0.029825907256891,-0.0642767541654507,0
