,X2849.TT.EQUITY,X5880.TT.EQUITY,X2892.TT.EQUITY,X83.HK.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2548.TT.EQUITY,X1808.TT.EQUITY,X6005.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X9940.TT.EQUITY,X5871.TT.EQUITY,X600848.CH.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X000656.CH.EQUITY,X601108.CH.EQUITY,X600109.CH.EQUITY,X2820.TT.EQUITY
X2849.TT.EQUITY,0,0,0,0,0,0,0,0.122277705417387,0,0,0,0,0.0471981333782588,0,0,0.0867737485769105,0.0515491995559604,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0.0366772099065147,0,0,0,0.124079627016167,0,0.071074418930041,0.0466479242184606,0,0.100739574171616,0,0,0,0.0123408431163143,0,0,0,0
X2892.TT.EQUITY,0,0.209426911072807,0,0,0,0,0,0.0133564470314184,0,0,0,0.248361658039184,0,0.0197356592770127,0.106938979198429,0,0.169013681318231,0,0,0,0.018257036969016,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.107692384642744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0.016583585934582,0.00152356918179624,0,0.0997432201968201,0,0.0246520539889127,0,-0.00656219441675459,-0.0187208658024255,0,0,0,0,0,0,0,-0.0201585866327831,0,-0.0106054830152044,0,0.103711731961883,0.0803171799341034,0
X601377.CH.EQUITY,0.00655905439325328,0,0.00842937987463992,0,0.10034229987694,0,0,0,-0.00128736808487695,0.00219577931464728,0,0,0,0,0.01554035290204,0,0,0,-0.00773602667164355,0,-0.0110669750393815,0,0,0,0
X2548.TT.EQUITY,0,0,0,0.00391063632754159,0,0,0,0.211058044882586,0,0,0,0,0,0.0909286161484359,0,0.066174338374313,0.08765327807945,0,0,0,0.00388148249769232,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0.645760624406504,0,0,0,0,0,0.103363283911636,0,0.361780485888013,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.0865769374379739,0,0,0,0,0,0.151897782137622,0.24870493382383,0,0,0,0.00403404905589882,0,0,0.0139515345222041,0.115415781854868,0,0,0,0,0.00241282466419325,0,0,0,0
X5.HK.EQUITY,0,0,0,0.383587610235298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0.138137541311557,0.0619317702687484,0,0,0,0,0,0.115050789045137,0,0,0,0,0,0,0.00625767846420918,0,0,0,0
X2880.TT.EQUITY,0,0.14262143809871,0.17977469366709,0,0,0,0,0.0913851799260998,0,0,0,0,0,0,0.0448934504731063,0,0.0910290983602474,0,0,0,0.0232964279312403,0,0,0,0
X2501.TT.EQUITY,0.00213781644906795,0,0,0,0,0,0,0.121930961962142,0,0,0,0,0,0,0.089241568267436,0.292972451497737,0.0474942988363657,0,0.0646846967611295,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.0548825030007904,0,0,0,0,0,0,0,0.123647364761247,0,0.254799076923135,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0.373856831398591,0,0,0,0,0,0.351480299388763,0,0.0194419250510551,0.0555916807191905,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0,0,0,0,0,0,0.154071041420698,0.103835816060507,0,0,0,0,0,0,0,0,0.282233156444774,0,0,0,0,0,0,0,0
X5871.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146656356699756,0.0512229232996457,0.322678550819442,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,-0.00129872754754727,0,0,0,0,0,-0.0017197281198675,-0.0121538667990079,0,0,0,0.0249795036025858,0,0,0,-0.0184321352334814,0,0.000334588381042442,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0.0733095468292125,0.00999200403406161,0,0,0,0,0,0,0.157732408285051,0.0294195929595536,0,0,0,0,0.0202402502050419,0,0,0,0
X2855.TT.EQUITY,-4.33680868994202e-19,0,0,0,0,0,0,0.0517997607546424,0,0,0,0,0,0,0,0,0.0189299828594408,0,0,0,0.0178739842514459,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0.0217922656831334,0,0,0,1.73472347597681e-18,-2.71050543121376e-20,0.0635813370874231,0,0,0.157512779948342,0,0.0255628612445405,0,0,0,0,0,0
X000656.CH.EQUITY,0,-0.0274650472841272,0,-2.16840434497101e-19,0,0,0,-0.0151619466760828,0,0,0,0,0.00867826964068347,0,0.0595560294312986,0,0,0,0.00572221554718211,-0.0243576090530137,-0.00478704658157808,0,0,0,0
X601108.CH.EQUITY,0,0,0.00867831264521433,0,0.0753552981338742,0,0,0.020663936169238,0,0,-0.0338365053703909,0.0332787074324363,0,0,0,0,0,0,-0.0169042397515614,0,-0.00773306662983842,0,0,0,0
X600109.CH.EQUITY,0,0,0,-0.00238973097519672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0.0530696434684897,0,0,0,0,0.254196023974248,0.0712406009694265,0,0,0,0,0.00417088632371481,0,0,0,0.0890427968948626,0,0,0,0,0,0,0,0
