,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0489386282272542,0,0,0,0,0,0,0,0,0,0,0.0507340299667505,0,0,0,0,0,0.113261787374314,0,0.0355383284644577,0,4.33680868994202e-19,-0.0094672751743256,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.639836575014295,0,0,0,0,0,0,0,0,-0.0133478172454663,0,-1.0842021724855e-19,0,0,0,0.0584896106510847,0,0,0,0.069352324982684,0,-0.00162490090198454,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0392861300119074,0,0.0835774846359128,0.0527978349367856,0,0,0,0.119864215983245,0,0,0,0.0611902163167476,0.124551133014015,0,0,0.392041715234026,0,-0.0577946777956974,0.0344574672383061,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.130770546565689,0,0,0,0.0785351387631289,0.113486539210323,0.0307479766538102,0,0,0,0,-0.0106589047744365,0,0,0,0,0,0,0,-0.00335516126935773,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0315905404150317,0,0,0,0,0.229784457346213,0,0,0,0,0.0386596995220567,0.0435774302985718,0.156751676876966,0,0,0.0251522558102275,0,0,0.0148504056734082,0,-0.0381551302716261,0,0,0
X939.HK.EQUITY,0,0.708517729114349,0,0,0,0,0.0160739198045838,0,0,0,0,0,0.144955969895075,-0.0136164774963977,0,0,0,0,0,0,0.0561508304757479,0,-8.67361737988404e-19,0,0,0,0.025863444232233,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.307638915187404,0,0.405208592954861,0,0,0,-0.218835521201775,0.211225826135991,0,0,0,0,0,0,0.651514491243357,0.330161098126747,0,0,0,-0.148732740362852,-0.248220296764082,0,0
X2628.HK.EQUITY,0,0,0,0.806077764779207,0,-0.235704019605454,0.0674874475791644,0,0,0,0,0,0.0929037602699366,0,0.330452842751799,0,0,0.127726954926859,0,0,0,0.322180632075076,0,0,0,0,-0.00291840423070927,0,0.00648893433900086,0
X601288.CH.EQUITY,0,0,0.0780070807515223,0,0.0882558183328263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231641989542719,0.0201476655626772,0,0.097278366742179,0,0,0,0,0.0136744359079737
X600036.CH.EQUITY,0,0,0.23353531487752,0,0,0,0.17516818478761,0,0,0,0,0,0,0.0490055842934989,-0.0651492349847937,0,0.240564406518216,0,0,0,0.0789900300656438,0,0,0,0,0,0.0113156350832528,-0.017451824428115,-0.0577110421767593,0
X601988.CH.EQUITY,0,0,0.162514398484419,0,0,0,0,0,0,0.116499366415242,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0398389140973176,0.018797220779993,0,0.0290856110188061,0,0,0,0,0
X3988.HK.EQUITY,0,0.483092616602308,0.0908416634739271,0,0,0,0.0512922649924214,-8.67361737988404e-19,0,0,0,0,0.0522249685869762,0,0,0,0,0,0,0,0,0,0.0362947963940326,0,0,0,0,0,0,0.0197880089885904
X1299.HK.EQUITY,0,0,0,0.330899630204133,0,0,0.0313859088514098,0,0,0,0,-0.0959015371893802,0,0.0375951080012504,0.439864293794992,-0.123752810880206,0,0,0,0,0,0,0.0748172763117933,0,0,0.210254847871417,0.0762912557797459,0,-0.201682550868764,0.166016863513015
