,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5.HK.EQUITY,X1808.TT.EQUITY,X2548.TT.EQUITY,X601878.CH.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X3040.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X5871.TT.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X601108.CH.EQUITY,X2867.TT.EQUITY,X600109.CH.EQUITY,X600848.CH.EQUITY,X2820.TT.EQUITY,X000656.CH.EQUITY,X2905.TT.EQUITY
X2892.TT.EQUITY,0,0,-0.061218757745935,0.149894416843791,0,0,0,0,1.38777878078145e-17,0,0.267347938180326,0.256830126891225,0,0,0,0.127839554474458,0,0.205831110425032,0,0,0,0,0,0,0
X5880.TT.EQUITY,0.204768269262838,0,0,0,0.0465897248125107,0,0,0,0,0,0,0.309353158540781,0,0,-3.46944695195361e-18,0.0674899907161077,0.0178088760785291,0.327312218791179,0,0,0,0,0,0,0
X83.HK.EQUITY,-3.27811966914,-0.974428168736558,0,1.9073512601297,1.38777878078145e-17,0,0,-1.02335029097686,-0.203295172564045,0,0,0,0,0,0,0,0.066653418002646,0,0,0,0,0,0,0,3.995986405735
X5.HK.EQUITY,0.330398758509741,-0.0767279377537158,0.440670431675485,0,0,-0.769904290855292,0,0.782681830489203,-0.681135208140319,0,0,-0.354686738194736,0,0.943702657427171,0.0916972515189351,0,0,0,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0,-0.0568189191008459,0.134948397289453,0,0,0,0,0.0279822292623712,0,-0.11279019820845,0.0729055679808892,0.0557081057230085,-0.147653659831959,0.0841655300046113,0,0,0,0,0,0,0,0.118184947344145,0,1.05297108209436
X2548.TT.EQUITY,0,0,0,0,0.227900686636154,0,0,0,0,0,0,0,0,0,0,0.240558879846631,0,0.214679322085633,0,0.220132863999078,0,0,0,0,0.0929558266205484
X601878.CH.EQUITY,0.0238993459287028,0,0.00220584009127049,0.0120040539256602,0,0,0,0,0,0,0,0,-0.0231489921450449,0,0,0.0589221620747203,0,0,0,0,0,0,-0.0689408574045763,0,0
X6005.TT.EQUITY,0,0,-0.0487151795261797,0.104208082311979,0,0,0,0,0,0,0.262822728268244,0,0.0248478504465408,0,0.284051068221063,-0.585141975475623,0,0,0,0.353508538707072,0,0,0,0,0.399361828829297
X5534.TT.EQUITY,0,0,0.143947427652984,-0.359241462020904,0,0,0,0,0,0,0.172830069327624,0.498231800006892,0,0.7585389640337,0,0,-0.0190909916982505,0,0,0,-0.529575774565566,0,-0.131522371251901,0,-0.312724243663814
X601377.CH.EQUITY,0.0560071754502662,0,0.00184488462520356,0,0.0147140074006908,4.33680868994202e-19,0.0334025056218391,0,-0.0296120875719568,0,0,0,0.0392581064468953,0,0.00724152212466638,0,-0.0182073660188044,-0.032505278649804,0,-0.0163790339125253,0.169641881159492,0,-0.0153167762432095,0,0
X2880.TT.EQUITY,0.736576231235306,0.815678090858108,0.0347354998242699,-0.023907400596403,-0.454721440553288,0,0,0.0684383318618185,0.0281306671045817,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,-0.106394313229543,0,0,0,0,0
X2501.TT.EQUITY,0.52142391699768,0,0.0180569803299374,-0.031318468814926,0.183758013882098,0,0,0,0,0,0.144319322541282,0,0,0,0.129132016545996,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0.0805346790216874,-0.192156791610154,0.408493739441412,0,0,0,0,0,0,0.130782861962456,0,0,0.390492962540945,0,0.133781999037045,0,0,0,0,0,-0.358614831352,0,0.153116608906516
X2885.TT.EQUITY,0,0,0,0,-0.0216788195479669,0,0,0,0.0111967005732489,0,0.274004984604042,-0.0282056704257968,0.361345033224788,0,-0.157683635365665,0.314479307122912,0.0212927746328751,0,-0.316647863039953,0,0,0,0,0,0.181212032348508
X9940.TT.EQUITY,0,0,-0.00873556674753798,0,0.0504890468643387,0.200720176423323,0,0,0,0,0,0.339933977548469,0,0.0729931570875385,0,0.237775991750434,0,0,0,0,0,0,0.0312202550466431,0,0
X5871.TT.EQUITY,0,0,0,0,0,0.579111097091912,0,0,0,0,0.0223597609457612,0,0.135852544838639,0.0285187229520478,0,0,0.0745692617144512,0,0,0.0228319756019371,0,0,0,0,0.138361286118551
X1463.TT.EQUITY,-0.248326175353611,0,-0.0680349782776819,0.186279685504549,0.242325708952346,0,0,-0.308179387344349,0.221134915285588,0,-0.227614425504706,0.264807844186316,0.822952168391499,0.0946939980063527,0,-0.135421158584551,0,-0.0849129186963803,0,0,0,0,0,0,0
X2855.TT.EQUITY,0.176757960970074,0.00665515098618377,0,0,0.11672678243341,0.10525688218675,0,0,0.0509566146162851,0,0,0,0,0,-0.177961245237569,0,0.0446947449904992,0,0,0.094348038086535,0,0,0,0,0.575927797486488
X601108.CH.EQUITY,0.0664490917360277,0,0,-0.00694130763896514,0,0,0,0,-0.0777788588455915,0,0,0,0,0.0506452999078109,-0.090217574526399,0,-0.0154932337865967,2.16840434497101e-19,0,0.11504696048768,0.0320791495864846,0,-0.0499418755165707,0,0
X2867.TT.EQUITY,0,-0.051223360692679,0.0195403558956914,-0.0718986353449018,0.17523957908568,-1.38777878078145e-17,0,0.265999949322926,0,0,0,0,0.107788570518483,0,0,0.566147031760789,0.152439771034066,0.117384760410977,0,0,0,0,0,0,-0.291890123020448
X600109.CH.EQUITY,0.0457135622209748,0,-0.00214070789294764,0.0160331757052821,0,0,0,-0.0183719886526645,0,0,-0.0113400954638145,-0.0535564869929241,0.0488462628615388,0,0,0,-0.00732762601675371,0,0,0,0,0,-0.012958050005386,0,0
X600848.CH.EQUITY,0.0197313720133812,0,0.0044312933087812,-0.00776530400733854,0.0294149046603941,0,0.115834896667718,0,0,0,-0.0173797774600897,0.0221942755098456,0,0,-0.0242856062904748,0,-0.012974907861731,0,0,0,0,0,-0.0427193563334337,0,0
X2820.TT.EQUITY,-0.0747473928896335,0,0,-0.0378572891427051,0,0.310380267154852,0,0,-0.257045063155101,0,-0.0620826147906909,0,0,0,0.681913487591279,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,-0.00356810625599862,0.0150273278851702,0,-0.0401961105204113,0,0,-0.031274351683841,0,-0.00844094818585963,0.0575539512125738,0.0726217611093763,-0.0147570417771714,0,0,0,-0.0300894288796538,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0.0118288997362581,-0.022758047593296,0.206935182407505,0,0,0,0,0,0.0220291625277742,0,0,0.284355669481098,0.0968992636135631,0.0303076221590342,0.0717105313370038,0.333424140412718,0,0,0,0,0,0,0
