,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.00579033394499868,0.405299101939978,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0542313645325052,0,0,0.140651190375528,0,0,0,0.00445017220662686,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.455477179231564,0,0,0,0,0.127195609940038,0,0,0,0.0354255268695416,0,0,0,0,0.156237950986608,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.20206775482269,0,0,0,0,0.0347579581197787,0,0.103353638512361,0,0,0,0.27671913004351,0,0,0.11549959646446,0,0,0.0721635096178101,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.563531163903132,0,0.0663864829890498,0,0,0,0,0,0,0,0,0,0.0576273887716758,0,0.0763874364645523,0,0.0343918737355426,0.0308849894423512,0,0,0,0,0.0110393174106524,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.684129096490094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0205886952231484,0
X2318.HK.EQUITY,0,0,0.213367050830789,0,0,0,0,0,0,0,0,0,0.148205700293213,0.0703409549615725,0,0,0.0345751385537144,-0.0268661216313264,0,0.104919111412278,0,0,0,0,0,0,-0.0118186141873292,0,0.0172414520413645,0
X601288.CH.EQUITY,0,0,0,0.211904430945549,0,0,0,0,0,0,0,0,0.0111412656175557,0.0261858202677441,0.0812175571036403,0,0,0.0225795935664759,0,0,0,0,0.135237846449407,0,0,0,0,0,0.0252659110645978,0
X5.HK.EQUITY,0,0,0,0.0652726038881492,0,0,0,0,0,0,0,0,-0.0370661540753979,-0.0130248585151542,0,0,0,0,0,0.164249757762068,0,0,0,0.245557148645827,0,0,0.012488143927645,0,0,-0.0851884309569532
X601988.CH.EQUITY,0,0,0,0.105802563321314,0,0,0,0,0,0,0,0,0.115941315028214,0,0,0,0,0.02947535264775,0,0.039024555636399,0,0,0,0,0,0,0.0110596106258105,0,0,0
X3988.HK.EQUITY,0,0.0869246196097978,0,0,0.513828386561647,0,0,0,0,0,0,0,0,0.0520568475787259,0,0,0,0.0067926197932229,0,0,0,0,0.0571908128212155,0,0,0,0.0062440560584997,0,0,0
