,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.443216708576431,0,0,0,0,0.115564387198345,0,0,0,0.0488234124685801,0,0,0,0,0.117204462560536,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0274775248289325,0,0
X601398.CH.EQUITY,0,0,0.370590618984654,0,0.0271115733049811,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0784918836774749,0,0,0,0,0,0,0,0.108884838292878,0,0.0034876919554452,0,0,0
X601939.CH.EQUITY,0.00866859981325026,0.206665272153384,0,0,0.0314182837568069,0,0.275679629680935,0,0,0,0,0,0,0.0844554522707636,0,0,0.0753463250676678,0,0,0,0,0.044627011391653,0.0112693039667689,0,0.0921419628092076,0,0.000750678353981691,0,0,0
X939.HK.EQUITY,0.453033959404141,0,0.0652823422960846,0,0,0,0,0,0.274854525158801,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.00794107706056165,0,0.0174838941788948,0
X601318.CH.EQUITY,0,0,0,0,0,0.0659237960774127,0,0,0,0,0,0,0,0.335873655827053,0,0,0,0,0,0,0,0.0987546326826799,0,0,0,0,-0.01180760082993,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.248581333894067,0,0,0,0,0,0,0,0.127017551389508,0.0551011010808225,0,0,0.174110935368232,0,0,0,0,0,-0.00748671946158786,0,0,0.022774320516804,8.67361737988404e-19,0,0,0
X601288.CH.EQUITY,0,0,0.221086184102899,0,0,0,0,0,0,0,0,0,0,0.0740051153534368,0,0,0,0,0,0,0,0.0511660259188899,0.0146977291931757,0,0.0503021303865058,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0947851031363521,0,0,0,0,0,0,0,0,0,0,0,0.12956309177185,0.175750826809866,-0.0140444093725158,0,-0.066971192112706,0,0.00779320561717727,0,0,0
X3988.HK.EQUITY,0.295617838923124,0,0,0.376370260429077,0,0,0,0,0,0,0,0,0.0807549322991003,0,0,0,0,0,0,0,0,0,-0.0290238098025294,0,0.0712372786867365,0,-0.00610904559672066,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0375255006476815,0,0,0,0,0,0,0,0,0.123710186999883,0,0,0,0,0,0,0,0.0516027500736916,0.0435963018972972,0,0.0089874526501843,0,0.0110692410046113,0,0,0
