,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.363843597578925,0,0.0313645706170238,0,0,0,0,0,0,0,0,0,0,0,0.0597281342983234,0,0,0,0,0,0,0,0.117488192340463,0,0.00352412443180972,0,0,0
X1398.HK.EQUITY,0,0,0.0142098257779442,0.481805669967823,0,0,0,0,0,0.0587516092465211,0,0,0.0299669462554989,0,0,0,0,0,0,0.141069993686875,0,0,0,0,0,0,0,0,0.0362296812142322,0
X601939.CH.EQUITY,0.18816517634095,0.0231004175006086,0,0,0.0324950706421538,0,0.107074211405151,0,0,0,0,0,0,0.0872155641603274,0.0778309264979688,0,0,0,0,0,0.0264555832779673,0.116011145046421,0,0,0.0762669652015074,0,0.000793848241029565,0,0,0
X939.HK.EQUITY,0,0.551217651159082,0,0,0,0,0,0,0,0.0836193579742729,0.0618107807371634,0,0,0,0,0.0761627608996917,0.0232493747002305,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0777337267958494,0,0,0,0,0,0,0,0.238206715408495,0,0,0.0436565608462265,0,0,0,4.33680868994202e-19,0.292444804204824,0,0,0.0038454061879689,0,-0.0200388456357312,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.148946213990315,0,0,0,0,0,0,0,0.125745309100016,0.167366244563907,0,0,0,0,0,0,0,0,0,0,0,0,-0.00472931849112209,0,0,0
X601288.CH.EQUITY,0,0,0.21270625072577,0,0,0,0,0,0,0,0,0,0,0.0749713353016724,0,0,0,0,0,0,0.0160409569288368,0.0556402843148892,0,0,0.0462654311856033,0,-2.71050543121376e-20,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0319475133664319,0,0,0,0,0.107627596443064,0,0,0,0,-0.0196363264032805,0.132040667036849,0.14254108593922,0,-0.0116920283901919,0,0.00880655750999273,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.042232723958282,0,0,0,0,0,0,0,0,0.127230108900238,0,0,0,0,0,0,0.0448904002324641,0.0556729393402189,0,0,0,0,0.0109718032925117,0,0,0
X3988.HK.EQUITY,0,0.143117380480665,0,0.463358673126467,0,0,0,0,0,0,0,0,0.0838838929698685,0,0,0,0,0,0,0,0,0,0,0,0.0356268193854906,0,-0.00753100411464827,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.131252301750591,0,0,0,0,0,0,0,0.0194723756141649,0,0,0,0,0,0,0,0,0,0.272771465242385,0,0,0,0,0,0.180445650659861,0
X600036.CH.EQUITY,0,0,0,0,0.353993294999138,0,0,0,0,0,0,0,0,0.143509396725131,0.163747579577053,0,0,0,0,0,0.0233799824043719,0,0,0,0.134653049636738,0,0.00400175619229127,0,0,0
X2628.HK.EQUITY,0,0,0,0,0.358394076850339,0,0,0,0,0,0,0,0,0.125757727243666,0,0,0,0,0,0,-0.0331656890031974,0,0,0,0.208233511507166,0,-0.0140659601973306,0.139844580133611,0,0
X601628.CH.EQUITY,0,0,0,0,0.334297442426439,0,0,0,0,0,0,0,0.281486039325161,0,0,0,0.102956397760248,0,0,0,0.162359254387776,0,0,0,0.436092419387492,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0397670928716317,0,0.281876483576706,0,0,0,0,0,0,0,0,0.038367819231572,0,0,0.207972310548452,0,0,0.0257598280977775,0,0.0107403058217042,0,0,0,0,0.0021484238088081,0,0,0
