,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.0311059862703578,0.416106780009239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134253253776878,0,0,0.00308200896097341,0,0.0294162310200366,0
X1398.HK.EQUITY,0,0,0,0,0.134077960383356,0.547144366171188,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0714456150404007,0.00650482749053982,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.23399701683568,0,0,0,0,0,0,0,0,0.0845156690380403,0.13395705040011,0,0,0,0,0,0,0,0,0.0848730075013889,0,0,0,-0.00572535826558633,0,0,0
X601318.CH.EQUITY,0,0,0.244553841495527,0,0,0,0,0,0,0,0,0,0,0.291200134821072,0,0,0.103840300591803,0,0,0,0,0.0290964429993245,0,0,0,0,-0.0154221329539935,0,0,0
X601939.CH.EQUITY,0.188157519179043,0.0231091359511999,0,0.0324965718602202,0,0,0.107040631253852,0,0,0,0,0,0,0.0872162136740541,0,0.0778293600355724,0,0,0,0,0.0264573242298707,0.116018247050188,0,0.0762699029103596,0,0,0.000793817471297351,0,0,0
X939.HK.EQUITY,0,0.722040169288651,0,0,0,0,0,0,0.0662143653006704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283096048230092,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.230447561539043,0,0,0,0,0,0,0,0,0.067588643451435,0,0,0,0,0,0,0.0162747419281425,0.0515881447881151,0,0.0559454356366589,0,0,0.000400683162831427,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.146041495610476,0,0,0.15746974890516,0,0,0.146128294179706,0,0,0,0,0.0169746498531568,-0.0561715936964211,0,0.0847303495049923,0,0,0,0.0203930421957719,0,0.0833281771302953,0
X3988.HK.EQUITY,0,0.144956642708677,0,0,0,0.454728677728004,0,0,0,0,0,0,0.112743155266394,0,0,0,0,0,0,0,0,0,0,0.00855278352316199,0,0,-0.00661153986545102,0,0.000130923783079127,0
X601988.CH.EQUITY,0,0,0,0.0432648176144387,0,0,0,0,0,0,0,0,0,0.126742885310166,0,0,0,0,0,0,0.045058948659593,0.0539703402052505,0,0,0,0,0.0110163003394258,0,0,0
X600036.CH.EQUITY,0,0,0,0.44094110911571,0.00875151345612579,0,0,0,0,0,0,0,0,0.171538937203004,0,0,0,0,0,0,0.0169433690553795,0,0,0.081630324887415,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523530216695288,0,0.210373266948486,0,0.0795351248721215,0,0,0.0557604323081447,0.2677598226178,0,0,0,0.0133567842293296,0,0,-0.229924442396677
X2628.HK.EQUITY,0,0,0.260769545778783,0.0804090358364677,0,0,0,0,0,0,0,0,0,0.237693160545112,0,0,0,0,0,0,-0.0772064127425982,0.144034698674087,0,0.0461694445158157,0,0,-0.0211299878254361,0,0,0
X601628.CH.EQUITY,0,0,0,0.215030489789533,0,0,0,0,0,0,0.148536735030267,0,0.0881532787909016,0,0,0,0.0399688270932993,0,0,0,0.184936578431401,0,0,0.550475489143577,0,0,-0.000761454376292612,0.211020370135858,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.428558811351853,0,0,0,0,0,0,0.126262489167764,0.0768800913616356,0,0,0,0,0,0,-0.0237218333588376,0,0,0,0,0,0,0,0,0
