,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.134080661637457,0.547141271447334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714456979247698,0.00650460097983213,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0.0182208332819122,0,0.375824295870379,0,0,0,0,0,0,0,0,0,0,0,0.105906181932897,0,0,0,0,0,0,0.026114574312415,0,0,-0.000954232406672341,0,0,0
X601318.CH.EQUITY,0,0,0,0.0816055818230258,0,0,0,0,0,0,0.0577210610611916,0,0,0,0,0,0.318936608074853,0,0,0,0,0.140595467679961,0,0.419087754631315,0,0,-0.0195484080282363,0,0,0
X2318.HK.EQUITY,0,0,0.243036580644319,0,0,0,0,0,0,0,0,0,0.0857686939460788,0.146771667419613,0,0,0,0,0,0,0,0,0,0,0,0,-0.00649394433088683,0,0,0
X601939.CH.EQUITY,0,0.165305647399463,0.0262406552015226,0,0,0,0.276053335266527,0,0,0,0,0,0,0.0884695478099691,0,0,0.041017464418539,0,0,0,0.0141784775910231,0.101021783989401,0,0.0508298346811793,0,0,0.00140106208680244,0,0,0
X939.HK.EQUITY,0.528072874303771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118369597005108,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.201689878635718,0,0,0,0,0,0,0,0,0.0835652931786235,0,0,0,0,0,0,0.0156652589545703,0.0542284209896699,0,0.0358597343794449,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0523130203392043,0,0,0.16363580386478,0,0,0.194000925865606,0,0,0,0,0,-0.0210730359028559,0.0214041006922615,0,-0.0124030282239722,0,0,0.0176529897111275,0,0.0597376364747709,0
X601988.CH.EQUITY,0,0,0.0422392518102361,0,0,0,0,0,0,0,0,0,0,0.12722784709547,0,0,0,0,0,0,0.044891177918684,0.0556731533154445,0,0,0,0,0.0109721468361782,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.512107436498151,0,0,0,0,0,0,0.0968642367923354,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00696937339552948,0.0685529765911907,0,0
X600036.CH.EQUITY,0,0,0.44094110911571,0,0.00875151345612561,0,0,0,0,0,0,0,0,0.171538937203004,0,0,0,0,0,0,0.0169433690553795,0,0,0.081630324887415,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.180997506188077,0,0.0188578927269032,0,0,0.052421827468354,0.270418582322522,0,0.0780009544338618,0,0.0208686052928077,0,0,-0.197754523341096
X2628.HK.EQUITY,0,0,0.129571453620179,0.214965203069371,0,0,0,0,0,0,0,0,0,0.192311259644024,0,0,0,0,0,0,-0.0664632363220339,0.12230413671896,0,0.0507413707975465,0.0673344776949955,0,-0.00748765212605815,0.0816870663328938,0,0
X601628.CH.EQUITY,0,0,0.338234717070832,0,0,0,0,0,0,0,0,0,0.154006005403208,0,0,0,0.188339660075023,0,0,0,0.167631144540404,0,0,0.415693906522405,0,0,-0.00541730134615497,0.0747347189862747,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.379186876614068,0,0,0,0,0,0,0.123345774921172,0.0769747325681202,0,0,0,0,0,0,-0.0253739223562114,0,0,0,0.0360853084365144,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.043355383682495,0,0.0550070446354661,0,0,0,0,0,0,0,0,0.00558805848322634,0,0,0.238944639560061,0,0,0,0,0.00870870267079221,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.150000332742564,0,0,0,0,0,0.150127060502581,0,0,0.247333293029911,0,0,0,0,0,0.193730109898832,0.00925016741313806,0.00433408804013247,0,0.0288698722273356,0,0,0,0,0,0
X16.HK.EQUITY,0.0837098450797768,0,0,0,0.0294066443381466,0,0,0,0,0,0,0,0.158561237787933,-0.0749657443815226,0,-0.0117129983382227,-0.115956332156104,0,0,0,-0.0284013518177447,0,0,0.112595972609244,0,0,0.00890213134566599,0,-0.0589927836139669,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.224642316547231,-6.93889390390723e-18,0,0,0,-0.0521063801148255,0,0,0,-0.00644964876185578,0,0.104745133725496,0.0651506827336478,0,0,-0.00986539464526587,0,0,0
X600000.CH.EQUITY,0,0,0.10914299016702,0,0,0,0,0,0,0,0.256806701564437,0,0,0.0984645739943506,0,0,0.0887514195595425,0,0,0,0,0,0,0.111580463499767,0,0,0,0,0,0
X601319.CH.EQUITY,0.409204489960434,0,-0.266249160820154,-0.0873082192746083,0,0,0,0,1.29890015487371,0,-0.250289363193504,0,0,0,0,0,0,0,0,0,0,0.692221003163582,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.313234672169537,0,0,0,0,0,0,0,0,0,0,0.211893221392796,0,0,0,0,0,0,0.0450893276548031,0,0,0,0,0,0.0443461710688658,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.050272749748783,0,0.207836860754942,0.0364776830558834,0,0,0,0,0,0.0520938665120386,0,-0.020272329572558,0,0,0,0.1179445233704,0,-0.0189516201553138,0,0,0
X601601.CH.EQUITY,0,0,0.370811765697371,0,0.0923938860064469,0,0,0,0,0,0,0,0.146917095506611,0.0657710879668368,0,0,0,0,0,0,0,0,0,0,0,0,0.0163354084805302,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.272969139647957,0.113195021654611,0,0,0,0,0,0.0551858642044118,0.00830451833748479,0,0,0,0,0,-0.0279946642459658,0,0,0
FXI.US.EQUITY,0,0,-0.0716101616699493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192031860473401,0,0,0,0,0,-0.270791150262457,0,0,0
VXFXI.INDEX,0,0,-1.04919727531594,0,0,0,0,0,0,0,0,0,0.184533316105212,0,0,0,0,0,0,0,0.140956669910145,0,0,0,0,-3.0309659385176,0,0,0,0.082742448522416
CN10YR,0,0,3.30567341928285e-06,0,0,0,0,0,0,5.15083317072493e-06,0,0,0,1.74181598076888e-05,0,0,0,0,0,0,-7.00016909062833e-07,0,0,0,0,0,-2.16502932171962e-06,0,0.99993328412237,0.999917819012166
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3655349351507e-07,0,0,0,0,0,0,1.17428053983274e-06,0,0,0,0,0,-3.72530914990604e-07,0.99998604029771,0,-0.999976751582809
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84171114281236e-06,0,0,0,0,0,0,2.05072435623503e-06,0,0,0,0,0,0,0.999939037396276,-0.999955862707709,0
