,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.250564557251914,0,0,0,0,0,0,0,0,0,0,0,0.23665894446761,0,0,0.0227582916301875,0,0,0,0,0,0,-0.00140658399799337,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.0525512584411285,0.641974431209583,0,0,0,0,0,0,0,0,0,0,0.0513532514564145,0,0,0.0455773632755982,0,-0.0128260488423632,0,0,0,0,0.00820530590954798,0,0.0170855662086591,0
X601318.CH.EQUITY,0,0,0,0.307227434348513,0,0,0,0,0,0,0,0,0.294299123185104,1.73472347597681e-18,0,0,0,0,0,0,0,0.141670408672511,0.0778371105727937,0,0,0,-0.0217377596947522,0,0,0
X2318.HK.EQUITY,0,0,0.376410751323532,0,0,0,0,0,0,0,0,0,0.125269764389684,0.0271893285054921,0,0,0,0,0,0,0,0,0,0.0537046997731904,0,0,-0.0129894022449697,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142615442137232,0,0,0,0.223205763861645,0,0,0.0255774401769771,0,0.114586504389332,0,0,0,0,0.00355804810093001,0,0.0563934001306985,0
X939.HK.EQUITY,0,0.692256392078206,0,0,0,0,0,0,0,0,0,0,0,0,0.0582439032579208,0,0,0,0,-0.0306659165422712,0,0,0,0.0271933239088776,0.0125245089402029,0,0.00913599168748436,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.187909413550105,0,0,0,0,0,0,0,0.0885887406051793,0,0,0,0.0181744985163378,0,0,-4.33680868994202e-19,0,0.10138442787168,0,0,0,0,-0.00455428777565137,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0545651769224831,0,0.028275336524547,0,0,0,0,0,0.0391588863536487,0,0,0,0,0,0,0.217925373659087,0,0.00435799330484387,0.0830970994196627,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.34036571608714,0,0,0,0,0,0,0.0149997287003038,0,0,0,0,0,0,0,0,0,0,0.0618167214871926,0.0531197709377109,0,-0.00915796494014215,0.0737817707695572,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132266885924876,0,0,0,0.108275121438385,0,0,0.04976662637543,0,0.0420890026343344,0,0,0,0,0.00493615313224415,0,0,0
