,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0597938308532997,0,0,0,0,0,0,0,0.0308247642938909,0,0,0,0.262096021180927,0,0,0,0,0,0,0,0,0,0.00314779566569028,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.528973398747301,0,0,0,0,0,0,0.00712095468651935,0.075198309328739,0,0,0,0,0,0,0,0,0,0.0194826386208848,0,0,0.0109072057602283,0.0693811519271423,0,0
X2318.HK.EQUITY,0,0,0,0.282461095149827,0,0,0,0,0,0,0,0,0,0.189926522883511,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173591489399229,0,0,0
X601318.CH.EQUITY,0,0,0.320340358861449,0,0,0,0,0,0.00924874683447099,0,0,0,0.234552975913501,0,0,0,0,0,0,0,0,0.177762421720816,0.184015340765807,0,0,0,-0.027457387980659,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.213369576317656,0,0,0.106441420859236,0,0,0,0.214136613594863,0,0,0,0,0.0979718317115358,0,0,0,-0.0193822223729474,-0.00313282809480733,0,0.0417554894675793,0
X939.HK.EQUITY,0,0.615055793462722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115813853199921,0,-0.0444069211724179,0,0.0147654520986103,0,0,0,0.0535308447183209,0,0,0.000640666528596596,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0573015772676852,0,0,0,0.167165265099074,0,0,0,0,0.104224024829301,0,0,0,0,-0.00240248518795363,0,0.0613680829413708,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.067227227854085,0.0501733412674989,0.111371929535817,0,0,0,0,0.0568706517656115,0,0,0,0,0,0,0.0419936074862669,0,0,0,-1.73472347597681e-18,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.392666659708408,0,0,0,0,0,0,0,0.0301742561614146,0,0,0,0,0,0,0,0,0,0.0682299210574982,0,0,-0.00764695793510311,0.0814132920777656,0,0
X601988.CH.EQUITY,0,0,0,0.105535675856758,0,0,0,0,0,0,0.028399780884186,0,0.116088862031201,0,0,0,0,0,0,0,0,0.0563382498835432,0.0186548175814356,0,0,0,0.00692240282549319,0,0,0
X600036.CH.EQUITY,0,0,0,0.0426855661709425,0.274054757010852,0,0,0,0,0,0,0,0.220699422023122,0,0,0,0.108582033933664,0,0,0,0,0,0,0,0,0,0.0194823834420579,0,0.0103087659719564,0
X1299.HK.EQUITY,0,0,0,0.030494854987266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166165735895316,0,0.068019952240949,0,0.450247424574111,0,0,0.0168353350061309,0,0,-0.115745154496868
X601628.CH.EQUITY,0,0,0,0.159074181589067,0,0,0,0,0,0,0.0730693610698478,0,0,0.0471844515625377,0,0,0.139543682470943,0.394427095259524,0,0,0,0,0.416932937615556,0,0,0,-0.00408200059803814,0,0,0
X2628.HK.EQUITY,0,0.0865511497544065,0.533945671245547,0.0364242953444737,0,0,0,0,0,0,0,0.00467086291181215,0.163126181723925,0,0,0,0,0,0,0,0,0.0723157037748169,0,0.0198434630659,0,0,-0.00155993929185329,-3.46944695195361e-18,0,0
X601328.CH.EQUITY,0,0,0,0,0.242423757522249,0,0,0,0,0,0.0622925798980365,0,0.0737354604054288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552265160649195,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.268912418583791,0,0,0,0.0445262348948878,0,0,0.0682547650449348,0,0,0,0,0,0,0,0,0,0,0.20818432284115,0.0923124027936249,0,0.00153735544880211,0.00520265783801068,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.222985060460516,0,0,0,0,0,0.0445130193805707,0,0,0,0,0,0.45578302738788,0,0,0,0,0,0,-0.114991207752838,-0.0109770646575057,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.195816541379569,0,0,0,0,0.160533551398374,0.146561248216925,0,0,0,0,0,0,0,0.631670579720633,0.0374199611459221,0,0,0,0,0,0,0.0149956926865505
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0806940854236039,0,0.0189872124559542,0,0,0,0.62447912804186,0,0,0,0,0,0,0,0,0,0,0,-0.00537717428864426,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.401082697856254,0,0,0,0,0,0,-0.139103321806997,0,0.0993688954654641,0.105992988337381,-0.0587659337713706,0,0,0.0493788055559266,0.0297616909366409,0.0631954725906736,0,0.111220668314479
X11.HK.EQUITY,0,0,0,0.111620147555303,0,0,0,0,0,0,0,0,0,0.0405890683954842,0,0,0,0,0,0.141602478583612,0,0,0.000904246376978763,0.139020200307941,0,0,-0.00432995048400761,0,0,0
X000002.CH.EQUITY,0,0,0,0.193951763823919,0.233329170899658,0,0,0,0,0,0,0,0,0,0,0,0.0139586686658972,0.2657257600676,0,0.212651008841527,0,0,0,0,0,-0.172017148829807,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.110515130106027,0,0,0,0,0,0,0.126343232561701,0,0.258483029139316,0,0,0,0.128569325880023,0.0326248219145155,0.063397568240605,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0.223292348215409,0,0,0,0,0,0,0,0,0,0.334075010738718,0.0273403491832846,0.0427355863525165,0,0,0,0,0,0,0,0.0150087219451508,0,0,0,0,-0.0221754702478935,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00512278740281511,-0.0667870989199202,-0.040454476639889,0.189324891939333,0,0.262654161987663,0,0,0,0,0,0.0652505118274031,-0.109534049753833,0,0,0,0,0.0096078603615259,0.0141677403555007,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194739315602555,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14558341584965,0,0,-3.78395230576346,0,0,0,0
CN10YR,0,0,0,2.71499676362499e-06,0,0,0,0,-4.2351647362715e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47315024310817e-06,0,0.999964096110742,0.999963789681391
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82565053214541e-06,0,0,0,0,0,0,0,0,0.999994747999625,0,-0.999994521924939
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34661727806959e-07,0.99997154266887,-0.999978439760446,0
