,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0528481192802063,0,0.0325207631469975,0.020977118693588,0,0.586450782207325,0,0,0,0,0,0,0,0,0,0,-0.00283785109791409,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342188995933377,0,0,0,0,0,0.0151827685288893,0,0,-0.0100005986145886,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.197483166535383,0,0,0,0,0.0309828263646167,0,0,0,0.379467554150937,0,0,0,0,0,0,0,0,0,0,0,0.0072686403711194,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.257894302649601,0,0,0,0,0,0.0416358515094956,0,0,0,0,0.312619091884196,0,0,0,0.154574909143073,0,0,0,0,0,0,0.0354299267391099,0,-0.0218487463301423,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.116473831706815,0.100953485738577,0,0,0.176750170532397,0.151722746880685,0,0,0,0,0,0,0,0,0.00707270518561465,0,0.043701442684146,0
X939.HK.EQUITY,0,0.0235216661333779,0,0,0,0,0,0,0,0,0,0,0.0956402333269744,0,0,0.133388670264963,0.020445937728727,0,0,0,0,0,0,0.15745914450706,0,0,0.000457282003079118,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0378631406115265,0,0,0.0512483917721312,0,0,0.144468267606775,0.193119850931831,0,0,0,0,0,0,0,0,-0.00515055532921153,0.0229312803080734,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0524416698577573,0.159539104306281,0,0.0829682665285671,0,0,0,0,0.0356634248989357,-0.0157976403940787,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.0186170741780834,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.124759524023755,0,0,0,0,0,-0.0572233534904608,0,0,0,0,0.0788941738778239,0.158293664668601,0,-0.00160738145628813,1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0,0,0.113388667403205,0.0264802583826009,0,0,0.0992023949065707,0,0,0,0,0,0.0553094738719137,0,0,0,0.157018182359053,0,0,0,0,0,0.0443087617448566,0,0,0.00590120106894503,0,0,-0.0576620861661459
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.0672501986201062,0,-1.73472347597681e-18,0,0,0,0.0140574748201098,0,0,0,0,0,0.213002186018091,0,0,0,0.551949275855576,0,0,0.00113548941297194,0,0,-0.0358007806451764
X600036.CH.EQUITY,0,0,0,0.563249008156423,0,0,0,0,0,0,0,0,0,0,0,0.284828080827405,0,0.00671535503797418,0,0.146929631328494,0,0,0,0,0,-0.055115673576275,0.00803444866220581,0,0.0925938464624362,-0.154474353197596
