,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00785350527216433,0,0,0.584910667844539,0,0.00722858302389704,0,0,0,0,0,0.0453160621659753,0,0,0,0,0,0.0681846378078391,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173046245634359,0,0,0,0,0,0.0888700768456982,0,0,0,-0.00683286323222388,0,0,0
X2318.HK.EQUITY,0,0,0,0.33517708434067,0,0,0,0,0,0,0,0,0.278552685853601,0,0,0.0335815961482778,0,0,0,0,0,0,0,0.0862450244924615,0,0,0.0138415232953406,0,0,0
X601318.CH.EQUITY,0,0,0.284363196988094,0,0,0,0,0,0,0,0,0,0,0.296450238569312,0,0,0,0,0,0.071238392618143,0,0,0,0,0,0,-0.0232903376808107,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0389331320302342,0,0.0600535361943463,0,0.029004433008247,0,0,0,0,0,0.0106993999521155,0.207072758747477,0,0,0.0011807929090013,0,0,0
X601939.CH.EQUITY,0,0,0.0384608684112767,0.0652220361234825,0,0,0,0,0,0,0.0346137752540799,0,0,0.0287334204433069,0,0,0.093428309057878,0,0,0.0824293436481479,0,0,0,0,0,0,-0.00398181919828785,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0343691414747455,0,0.0510357752228105,0,0,0.157794969066945,0,0,0.191162263785375,0,0,0,0,0,0,-0.0051746901520339,0.0177274798286945,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.079651701525524,0,0,0.117221242959804,0.0262103810186341,0,0,0,0.0596180275622183,0,-0.0157167934976688,4.33680868994202e-19,0.0854426414356838,0,0,0.00875314363724669,0.0188740958710305,0,-0.00494940939191555,0,0,0
X601988.CH.EQUITY,0,0,0,0.139204805890852,0,0,0,0,0,0,0,0,0,0.0182025393694301,0,0,0,0,0,0.188006909407047,0,0,0,0.0455381719178539,0,0,0.000953360889726115,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0532393962260062,0,0,0,0.0629297120982466,0,-0.0400946479843522,0,0,0,0,0.1374095807878,0.0767821044688568,0,-0.00255156475197386,0,0,0
X600036.CH.EQUITY,0,0,0,0.498061138376181,0,0,0,0,0,0,0,0,0,0,0.280723859505062,0,0,0,-6.93889390390723e-18,0,0,0.194643182270564,0,0,0,0,0,0,0.0608335036235839,-0.193831700915985
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698568693591072,0,0,0,0,0,0,0,0.283583975714824,0,0.373835187943374,0,0,0,0,0,-0.0935354838179173
X2628.HK.EQUITY,0,0,0.494707321803403,0.0892542804103019,0,0,0,0,0,0,0,0,0,0.175063984869459,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0
X601628.CH.EQUITY,0,0,0,0.0473697337252492,0,0,0,0,0,0,0,0,0.0969031323160397,0,0,0,0.103822464238337,0,0.339330930724598,0,0,0,0.497534920936581,0,0,0,-0.0371759666501862,0,0.0643327183531645,0
X3328.HK.EQUITY,0.699453947401887,0,0,0,0,0,0,0,0.0456139315502645,0,0,0,0,0.0570496991735639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.258884823737156,0,0,0,0,0,0,0,0,0,0.173979463649611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.292408969441001,0,0,0,0,0,0,0.0182016773580677,0,0,0,0.487043849553515,0,0,0,0,0,0,0.0230925252671222,0,-0.00701185876126743,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121927264928125,0,0.554992749107975,0,-0.0627463781194824,0,0,0,0.0639367151966377,0,0,0,0,-0.0656373445033902,-0.104832344344147,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.182593034969794,0.0801382258924277,0,0,0,0,0,0.268710492502105,0,0,0.754848794126278,0,0,0,0.0158935400304931,0.109187972283612,0,0
X000002.CH.EQUITY,0,0,0,0.354605854858836,0,0,0.096716446779971,0,0,0,0.0207695475642251,0,0.157378567838015,0.13057470466071,0,0,0,0,0,0,0,0,0,0,0,-0.125613931556584,-0.0232548791118558,0.13958862636686,0,0
X11.HK.EQUITY,0,0,0.171663346283638,0,0,0,0,0,0,0,0,0,0.0294335561621542,-6.93889390390723e-18,0,0,0,0,0,0,0,0.229587848206932,0,0.079988584153859,0,0,-0.0122418753981389,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.104931967274848,0,0,0,0,0.51068702703127,0,-0.00845369808508222,0,0.0622191478022508,0,0,0,0,0.129137059302719,0,-0.0757406274907234,0.275224949978534,0,-0.0462062701944828,0.0341558150722781,0.00946655692868502,0,0
X601601.CH.EQUITY,0,0,0,0.126723706395778,0,0,0,0,0,0,0.0783023159945936,0,0,0.42546382154673,0,0,0,0.0693749258816809,0.0504420672653542,0,0,0,0,0,0,0,-0.0065974348514207,0,0,0
X388.HK.EQUITY,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0344326276633181,0,0,0,0,0,0,0,0,0,0.0883844188775343,0.104500103796619,0,0.377946215641655,0,-0.0149917404607948,0,0,0
X2388.HK.EQUITY,0,0,0.162026335984051,0,0,0,0,0,0,0.0672435622748242,0,0,0,0,0,0,0,0,-0.0892516288627897,0,0,0,0,0.516603943833162,0,0,0,0,-0.0753124766481457,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0888020532071186,0,0,0,0,0,0,0,0,0,0,0,0,-0.186392959251884,0,0,0
VXFXI.INDEX,0,0,0,-0.194351829666711,0,0,0,0,0,0,0,0,0,-0.857549014609275,0.0722336789107614,0,0,0,0,-0.0692233886089404,0.0499186723684479,0.307430547716321,0,0,0,-4.97790759285841,0,0,0,0.246084050449544
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.84144020944263e-07,0,0.999983163000406,0.999984208211066
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.36557329798606e-08,0.999986350812311,0,-0.999985613406562
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55208183357331e-06,0,0,0,0,0,0,0,0,5.94705261910643e-07,0.999910741722659,-0.999901620319823,0
