,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0183595270300896,0,0,0,0,0,0,0,0,0,0,0,0.189817131342271,0,0.0737728202864405,0,0,0,0,0.165085985377993,-0.0902053105530559,0,0.00432578256816677,0.000485870353621701,0.0466514824243954,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575605873744234,0,0,0,0.0155228758576738,0.114594479414869,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.33891399014855,0,0,0,0,0,0,0,6.93889390390723e-18,0.22751826314578,0,0.00754878174235872,0,0,0,0.0646357070801764,0.0797377929001881,0,0,-0.0375465123242779,0,0,0,0.00501592216263066,0,0,0
X2318.HK.EQUITY,0,0,0.153049772919801,0,0,0,0,0,0,0,0,0,0,0.151262174767886,0.0863584687598148,0,0,0,0,0,0,0,0,0,0.272468677268132,0,0.00273139528489918,0.0221632578849182,0,0
X939.HK.EQUITY,0,0.0141015100203252,0,0,0,0,0,0,0,0,0,0.151686909540304,0,0.0621903730057505,0,0,0,0,0.141740663021823,0,0,0,0,0,0.0232126978032965,0,0.0099584057014619,0,0.0390424032484448,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0871046229578195,0,0,0.155850438573923,0,0,0,0,0,0,0,0,0.0339274657808298,0,0,0,0.00697553825080754,0.0417504900841211,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.143785768534006,0,0,0,0.0193482817570571,0.0605777700912246,0,0.0217814943662878,0,0.0179342532756554,0,0,0,-0.0032055986671626,0,0,0.0190726591665632
X5.HK.EQUITY,0,0,-0.0210747650996426,0,0,0,0,0,0,0,0,0.071303478046842,0,0.0223072120722873,0,0,0,0,0,0,0.373027142440989,0.0797524214457055,0,0.0441359949001307,0.106423584933087,0,0.00811302886316272,0,0,0.0858606221779784
X601988.CH.EQUITY,0,0,0,0,0.172217877082381,0,0,0,0,0,0,0,0,0.0167442440549885,0,0,0.0939234887725864,0,0.0315823412870422,0,0.0760557985762588,0,0.0349898887951017,0,0,0,0.000491729704647626,0,0,0
X3988.HK.EQUITY,0,0.0645767147594907,0,0,0,0,0,0,0,0,0,0.00857807681319435,0,0.165018227477852,0,0,0,0,0.00186477313873847,4.33680868994202e-19,0,0,0.0160064049239532,0,0,0,0.000391328609789646,0,0,0
X600036.CH.EQUITY,0,0,0.488182116972551,0,0,0,0.224410966236356,0,0,0,0,-0.055098081293002,-6.93889390390723e-18,0,0,0.299164661876916,0,0.0276893551607622,0,0,0,0.0983472472965806,0.16596729787509,0,0,0,0.015992245805559,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.240507937463146,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.262301242114942,0,0.147828345754385,0,0.0054711574881467,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23482103955045,0.434804623955314,0,0,0,0,0,0,0.00921635753783777,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0940682001903021,0,0,0,0,0,0.179918244820155,0,0,0,0.269146163799479,0,0.0575790741570911,0,0.00281970985690496,0.0742494738895143,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639761855614438,0,0.245611543392567,0,0.0499095396214714,0.0488730128356224,0,0,0.0374568891762185,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0.394735300820386,0,0,0,0,0,0,0,0,0.0324872312891309,0,0,0.0210368641892794,0,0,0,0,0.0980011552471066,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0707026627177497,0,0,0.0096903359083791,0,0,0,0.34798507292087,0,0,0,0,0,0,-0.0112354508906183,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.131741402137561,0,0,0,0,0.0979620220773115,0.0527705535798719,0,0,0.255814378011779,0,0,0.0561209492978631,0,0,0,-0.00143380187089404,0,0,0
X601319.CH.EQUITY,0.079451610604962,0,0.189697464352038,0,0,0,0,0,0,0,0,0,0.061601683244446,0.202301698723743,0,0,0.0805561491033356,0,0,0.464242365741061,0,0,-0.0429034668956187,0.11663599950393,0,0,-0.0178738066995512,0,0,0
X601601.CH.EQUITY,0,0,0.439781186404441,0,0,0,0,0,-0.17444109830803,0,0,0,0.197220788867444,0,0,0,0.0328212755056297,0,0,0,0,0.213878336724252,0,0,0.105771097397046,0,-0.00434784855197579,0,-0.0819581818762767,0.0364698967225448
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0240829274452107,0,0,0,0,0,0,0,0,0,0.19398703811122,0.31347753537441,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,-0.0777222609581287,0,0,0,-0.30456169889521,0,0.497219936496802,0,0,0,0,0.254882697368229,0,0,0,0,0,0,0.315746201756549,0,0,0,-0.479539885524725,0,-0.0803623124845683,-0.0187809696114622,0.0851862592024433,0.343577810806594,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.211639508979407,0,0,0.0473129631064389,0,0,0,0,0,0.466685170554447,0,0,0.216289834618778,0,-0.0489095822195205,-0.0332285791175288,0.165872011104951,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.201269357381992,0,0,0,0,0,0,0,0.0114632064400022,0,0.154982286174115,0,0.162658451108317,0,0.0402348815200726,0,0,0.0745878008113601,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.633222944008003,0,0,0,0,0,0,0,0,0,-0.0845462921253513,0,0,0,0,-0.0203738632461804,0,0,0
FXI.US.EQUITY,0,0.0284807340004158,0,0,0,0,0,0,0,0,0,0,0,0.0837788946644196,0,0,0,0,0,0,0,0,0,0,0,0,-0.14104452442519,0,0,0
VXFXI.INDEX,0,0,0,0,1.24445080490936,0,0,0,0,0,-0.246664018152576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.31621258165821,0,0.0824649442934634,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.76128123888669e-07,0,0.999967334757833,0.999963748999729
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.52156423911946e-07,0,0,0,0,0,0,0,-3.03342149394272e-07,0.999984057355377,0,-0.999972164306029
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75917886764326e-06,1.35945079564393e-06,0,0,0,0,0,0,0,0.999961266960235,-0.999952323627202,0
