,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0747320275746647,0,0,0.379024527753676,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.0258082853225052,0,0.0552493823839086,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177160457528327,0,0,0,0,0,0,0,0,0.0960226497921212,0,0,0,-0.0110843035420266,0,0,0
X601318.CH.EQUITY,0,0,0,0.231711908441937,0,0,0,0,0,0,0,0,0.175025068189234,0,0,0,0,0.148976709265889,0,0.0629749435096895,0,0,0.120101292686196,0,0,0,0.0243639213806778,0,0,0
X2318.HK.EQUITY,0,0,0.368086306027389,0,0,0,0,0,0,0,0,0.142343469450897,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.20090276117163,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.00937932377099261,0,0,0,0,0,0,0,0,0,0.0924776832770156,0,0.14928219767758,0,0,0.10822800970104,0,0,0,0.00594804717674967,-1.73472347597681e-18,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0495286462364546,0,0.0800847450175766,0,0,0,0.037605521992182,0,0.122171911681717,0,0,0,0,0.0941452548340436,0,0.00333408385470354,0,0,0
X601288.CH.EQUITY,0.103035992237591,0,0,0,0,0,0,0.0156183774399812,0,0,0.0290895596680205,0,0.00755363346834142,0.0451871609529523,0,0,0,0,0.146321321899778,0,0,0,0,0,0,0,-0.00866341567999344,0,0,0.0745823592356174
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0713045064816472,0,0,0.0649879872378317,0,0,0.508769227297241,0,0,-0.0645706746736101,0,0,0,0.419393501833188,0,0,-0.00772967389282743,0,-0.118823155888697,0.141133602697015
X3988.HK.EQUITY,0,0.177556807990871,0,0,0,0.0850990010896385,0,0,0,0,0,0.0209444503231869,0,0.118309961934937,0,0,0,0,0,0.0164574495295516,0,0,0,0,0,0,-0.00368846879480519,0,0,0
X601988.CH.EQUITY,0.0580369805537216,0,0,0,0,0,0,0.00871511873248141,0,0,0,0,0,0.109777587901813,0.12014817135132,0,0,0,0.0641191092597403,0,0.0104021059957121,0,0,0,0,0,-0.011292058769749,0,0,0
X600036.CH.EQUITY,0,0,0.233212928353865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40709261840412,0,0,0.106126563134258,0,0.0664738775281173,0,0,0,0.0233247820242764,0,-0.146542142464709,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0761237076841853,0,0,0,0,0,0,0,0.35505293063374,0,0.043514503134681,0.212871354136925,0,0,0.0294738772596536,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121450666803985,0.0211404639792107,0,0,0,0.0760639273460328,0,0,0,0.247425129163139,0,0,0,0.0224726527078544,0.0441952480611871,0,0
X2628.HK.EQUITY,0,0.0555962520117272,0,0,0,0,0,0,0,0,0,0,0.227679931358675,0,0,0,0,0,0.164813220426973,0,0.137359684333147,0,0,0.084514342741054,0.118602423946264,0,0,0.028716445178086,0,0
X601166.CH.EQUITY,0,0,0,0,0.143457410574621,0,0,0,0,0,0,0,0.0939465033090547,0,0,0,0,0,0,0.129816000968574,0,0,0.270278966283637,0,0,0,-0.0166921991381552,0,-0.0149574726767792,0.0398875029221973
X3328.HK.EQUITY,0,0,0,0,0,0.16495781536012,0,0,0,0,0,0,0,0.107948856513489,0.0754127461423582,0,0,0,0.0269242691415571,0,0,0,0.0850177143418673,0.0278421167432273,0.144800117301353,0,-0.00788760389329447,0,0.00944349571892143,0
X601328.CH.EQUITY,-1.73472347597681e-18,0,0,0,0,0.01488351854665,0,0.109933691539679,0,0,0,0,0,0,0,0.0123830436149069,0,0.15463647304969,0.116743012773334,0.0821003199097452,0,0,0,0,0.0206359839006981,0,-0.00465631142118583,0.0309943479456659,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.416794949271316,0,0,0,0.19893210078435,0,0,0,0,0,0,0,0,0,0,0,-0.0145002943488912,0,0,0
X601319.CH.EQUITY,0,0,0.477425711599096,0,0,0,0,0,0,0,0,0.0290682382627362,0,0.335456203491688,0,0.0341835163647818,0,0,0,0,0,0,0,0,0.0680649526620058,0,0.0146781092986186,0,0,0
X000001.CH.EQUITY,0,0,0,0.30772104678742,0,0,0,0,0,0,0,0,-0.0218406236869676,0,0.033979219406672,0,0,0.532237408342698,0,0,0,0,4.33680868994202e-19,0,0,0.0369410019429526,0,0,-0.114964946173571,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.205375817175568,0,0.0659699338419313,0,0,0,0,0,-0.0462245116443606,0,0,0,0.437292163871834,0.100066985072991,0,-0.0280621278313893,0.127079158006057,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0183906751225779,0,0,0,0,0.0267609701204429,0,0,-2.16840434497101e-19,0,-0.0601458226747874,0,0.243947151511773,-0.207763193882692,0,0.264221977124878,0,0,0,-0.00475722281692661,0.212018619670318,0.199707927772394,0
X601601.CH.EQUITY,0,0.00319449728454454,0,0,0,0,0,0,0,0,0,0,0.178053416600895,0,0,0,0,0,0,0.329273721220421,0,0.247798136689061,0,0,0,0,0,0,-0.0568385702327163,0.0637679613913532
X11.HK.EQUITY,0.353940571274326,0,0,0,0,0,0,0.51712407483255,0,0,0,0.327506502461456,0,0,0,0,0,0,0,0,0.0485211417612806,0,-0.218607008160574,0,0,0,0,2.15865831411227e-05,0,0
X388.HK.EQUITY,0,0,0,0.386020165020236,0,0,0,0,0,0,0,0.474209207300239,0,0,0,0.129688215737154,0,0,0,0,0,0,0,0,0,0,-0.0184217704591679,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371626935192438,0.175479555392313,0,0,0,0,0,0.0411312902346081,0,0,0.0369854679397316,0,0,-0.100550754645118,0,0,0
VXFXI.INDEX,0,0.752123590385491,0,0,0,0,0,0,0,0,0,0,0,0.11990642455735,0,0,0,0,0,-0.44438921437177,0,0.935195868572719,0,0,0,-4.46794504963921,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41976649016503e-06,0,0,0,0,0,-1.37683923842183e-06,0,0.999974328668084,0.999959059877529
