,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0569889002283412,0,0,0.214624390679481,0,0,0,0,0,0,0,0,0.106891314710265,0,0,0,0,0,0,0,0,0,0.0115271059402845,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.448807419111893,0,0.119650930513876,0.090985606822153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072918182723525,0,-0.037537157688549,0
X601318.CH.EQUITY,0,0,0,0.197696483145699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727803949710267,0.106493273253982,0.0254125228417379,0,0.266638994376859,0,0,0,0,0.0247839380412489,0,0.0303968405055783,0
X2318.HK.EQUITY,0,0,0.33191541219322,0,0,0,0,0,0,0,0,0.173149949191475,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.138317767088919,0,-8.67361737988404e-19,0,0,0
X939.HK.EQUITY,0,0.0855818405150734,0,0,0,0,0,0,0,0,0,0.107951903722687,0,0.0512561602081672,0,0.0697175838156719,0,0.0399135355694652,0.0264951190743297,0.0956564206407628,0,0,0,0,0,0,0.00659531107685921,0,0,0
X601939.CH.EQUITY,0.449037055681558,0,0,0,0,0,0,0.0725778287102093,0,0,0,0,0.0677669799490035,0,0,0,0,0,0,0.116507992602276,0,0.0354726074136935,0,0,0,0,0.00209522559631358,0,0,0
X601288.CH.EQUITY,0.0755699556490112,0,0,0,0,0,0,0.0117948966525003,0,0,0,0,0,0.0875578823573726,0,0,0,0,0.127073191366402,0,0.0132264786620073,0,0,0,0,0,-0.00591745908837347,0,0,0.0559747209759282
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0635412127787442,0,0,0.143171925682996,0,0,0.107943634382429,0,0,0,0,-0.0503594775300187,0,0.48628053655353,0,0,0,0,-0.108549144225816,0.104736387716187
X601988.CH.EQUITY,0.0611307822127521,0,0,0,0,0,0,0.0384042353444077,0,0,0,0,0,0.135035380680498,0.0926776070248231,0,0,0,0.0317440642816946,0,0.0177568490969447,0,0,0,0,0,-0.00893321746543064,0,0,0
X3988.HK.EQUITY,0,0.175128910878296,0,0,0.0168552059761824,0,0,0,0,0,0,0,0,0.121188479039941,0,0,0,0,0,0.0511842961726648,0,0,0,0,0,0,-0.00593501446340682,0.0108886318036618,0,0
X600036.CH.EQUITY,0,0,0.059755629299027,0,0,0,0,0,0,0,0,0.108052855185556,0,0,0,0,0,0.43683379326472,0,0.157741636821855,0.185225152930762,0.0127703760867825,0,0,0,0,0.0283182935885021,0,-0.0313733893774001,0
X1299.HK.EQUITY,0,0,0,0.0458713127343185,0,0,0,0,0,0,0.109987092180453,0,0.0332783183335033,0,0,0,0,0,0,0,0.00802617301385233,0,0,0.370083244526916,0.264898228544556,0,0.0111559262286378,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017501181223742,0,0,0,0,0,0.162883187330067,0.302427073706656,0,0.00326029566260315,0,0,0.0325378282500401,0.011155513368599,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.273879980669831,0,0,0,0,0,0.166796355100529,0,0.113460857961994,0,0,0.0809073272848807,0.176476268448262,0,0,0.0179330233781346,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0381295947439446,0,0,0,0,0.0795701362360017,0,0.122607999128288,0,0.30610740547243,0,0,0,0,-0.0107334622022106,0.0169709968555122,0,0
X3328.HK.EQUITY,0,0,0,0.0639360660806107,0.0706642195713037,0,0,0,0,0,1.73472347597681e-18,0,0,0.050711016783299,0.125250160610126,0,0,0,0,0,0,0.0813667684823418,0,0,0.0179774898655211,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148037979167789,0,0,0,0.208223644830951,0.00423371972921642,0.0638885500037915,0,0,0,0,0,0,-0.00979674540754883,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.412315169285309,0,0,0,0.131062629381189,0,0.060644483371876,0,0,0,0,0,0,0,0,0,-0.0171033227729054,0,0,0
