,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.285191222021804,0,0,0,0,0,0,0,0,0.021976847963141,0,0,0,0,0,0,0.194388853847187,0,0.0174125212212428,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.31174156079408,0,0,0,0,0,-0.0480342164987845,0,0,0,0,0,0.219568487786321,0,0,0,0,0,0,0,0,0.00045850968300075,0,0,0
X601318.CH.EQUITY,0,0,0,0.0679141664415777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156336548071545,0,0.350304806451563,0,0,0,0,0,0.0129241004613506,0,0,0
X2318.HK.EQUITY,0,0,0.13122641868282,0,0.157772741122685,0,0,0,0,0,0.0396179720787726,0,0,0.136950927396452,0,0,0,0,0,0,0,0,0,0,0.120228366137682,0,-0.00317027347935509,0,0,0
X939.HK.EQUITY,0.0842833770996331,0,0,0,0,0,0,0,0,0,0,0,0,0.164348270759743,0,0,0.0665012106589592,0.0209367645703466,0,0.0732535407872904,0,0,0.149417356912314,0,0,0,0.00406039482025532,0,0,0
X601939.CH.EQUITY,0,0.393328788002316,0,0,0,0,0,0,0,0,0,0.0456315293163495,-3.46944695195361e-18,0,0,0,0,0.0402720758150829,0,0.119030960131847,0.0644224184693914,0,0.00384738290336818,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0425425591491108,0.02595235638067,0,0,0,0,0,0,0,0,0,0,0.0718092730054771,0,0,0,0,0.0551610223369883,0.123924056700103,0,0,0,0.0369524272466825,0,0,0,-4.33680868994202e-19,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.019707555504745,0.0507407353187353,0.225808306855486,0,0,0,0,0,0,0,0,0,0,0.383430525202349,0,0,0,0,-0.134915237450403,0
X601988.CH.EQUITY,0,0.08523975283583,0,0,0.0514545784326313,0.0567931841281758,0,0,0,0,0,0.0160325720114892,0.1133272374115,0,0.088301463752565,0,0,0,0.000267143682324351,0,0,0,0.0142846510111803,0,0,0,-0.00655772823606934,0,0,0
X3988.HK.EQUITY,0.277997114225597,0,0,0,0.0996276046954241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486746691098112,0,0,0.0740999229824632,0,0,0,-0.00375641387147322,0.0485210277411108,0,0
X600036.CH.EQUITY,0,0,0.354838519730821,0,0,0,0,0.0245562447673708,0,0,0,0.0381802229816059,0,0.073827306680332,0,0,0,0.180256526667393,0,0.0523624574891085,0,0,0.078900594085387,0,0,0,0.0204034572789844,0,-0.21251646110418,0
X601628.CH.EQUITY,0,0,0.143039752844585,0,0,0,0,0.0764999932831491,0,0,0,0,0,2.71050543121376e-20,0.0158315528171359,0,0,0,0.129813433344172,0,0.111503997722445,0,0,0,0,0,0.00961812242938535,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.222005667380903,0,0,0,0,0,0,0.0729096714841968,0,0,0,0.193363190978169,0.051668109643121,0.0571733477795019,0,0.00425165194957309,0.116153594764349,0,0
X1299.HK.EQUITY,0.0700332706477441,0,0,0,0,0,0,0,0,0,0,0,0.00316589574637142,0,0,0,0,0,0,0,0,0,0.0472169505396099,0.315519551236328,0.345039972740467,0,0.0148678785290173,0,0,0
