,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.269213953987736,0,0,0,0,0.50072313826567,0,0,0,0,0,0,0.110284780840318,0,0,0,0,0,0.0386364326181185,0,0,0,0.00430475303973538,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0150064125478829,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.215528660856267,0,0.0515440806705575,0.0601100556298755,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0.056771135500711,0,0,0.026216630688629,0.284866454413561,0,0,0,0,0,0.0730310444384554,0.0537107285389463,0.0277446255591084,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000619735637684705,0,0,0
X601318.CH.EQUITY,0.252116775419721,0,0.149695113911978,0,0,0,0,0,0,0,0.0073439108434865,0,0,0.0933346313726754,0,0,0,0.141700660425728,0,0.171591263603017,-0.0386709384515623,0.0741823428767478,0,0,-0.108733474658028,0,0.0136129147338014,0,0,0
X939.HK.EQUITY,0.387151017062957,0,0,0,0,0,0,0,0,0,0,0.0819578610153208,0,0,0,0,0.110912862234588,0,0,0.14564306870408,0.0680588436770238,0,0,0,0,0,0.00604571490663973,0,0,0
X601939.CH.EQUITY,0,0.407393754787818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182232852772021,0,0.000250564769650193,0.0157877923356668,0.0251374455320359,0.00549892910026673,0,0,0,-0.00706316864085723,0,0,0
X601288.CH.EQUITY,0,0.297474302074656,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0333417003207628,0,0,0,0.0734554788635384,0,0,0.0984703164543573,0,0,0,0,0,-0.00121270924372055,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.100383014099568,0,0,0,0,0,0,0.0247052946181474,0,0,0,0.20572198012835,0,0,0,0,0,0.425190419505358,0,-0.100508830511013,-0.0143583146255558,0,-0.12160245948729,0
X601988.CH.EQUITY,0,0.084318696627654,0,0,0.0260833935740222,0.0296507546890563,0,0,0,0,0,0,0.0453006349968912,0.0351225011499457,0.101234796215174,0,0,0.0142466686785364,0,0,0.0233559416035724,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.434451911669233,0,0,0,0.104135319083101,0,0,0,0,0,0,0,0.0746595998970624,0,0,0,0,0,0,0,0.0214589537060614,0,0,0,0,0,0,0.0115467329669381,0,0
